,Step,Average_Reward
0,8192.0,0.9375
1,16384.0,0.9375
2,24576.0,0.9375
3,32768.0,0.625
4,40960.0,1.5625
5,49152.0,2.1875
6,57344.0,2.8125
7,65536.0,1.875
8,73728.0,1.5625
9,81920.0,3.4375
10,90112.0,2.5
11,98304.0,3.125
12,106496.0,3.75
13,114688.0,2.1875
14,122880.0,3.4375
15,131072.0,4.375
16,139264.0,3.125
17,147456.0,2.8125
18,155648.0,3.125
19,163840.0,4.375
20,172032.0,2.1875
21,180224.0,4.0625
22,188416.0,3.75
23,196608.0,4.6875
24,204800.0,5.625
25,212992.0,4.375
26,221184.0,1.875
27,229376.0,4.375
28,237568.0,4.0625
29,245760.0,4.375
30,253952.0,5.0
31,262144.0,4.375
32,270336.0,3.75
33,278528.0,6.25
34,286720.0,7.1875
35,294912.0,8.125
36,303104.0,7.5
37,311296.0,7.1875
38,319488.0,4.375
39,327680.0,7.5
40,335872.0,7.1875
41,344064.0,6.25
42,352256.0,5.3125
43,360448.0,6.25
44,368640.0,6.25
45,376832.0,9.0625
46,385024.0,10.0
47,393216.0,12.1875
48,401408.0,11.25
49,409600.0,15.0
50,417792.0,11.875
51,425984.0,7.5
52,434176.0,9.0625
53,442368.0,6.5625
54,450560.0,9.6875
55,458752.0,6.5625
56,466944.0,6.5625
57,475136.0,10.625
58,483328.0,14.375
59,491520.0,12.5
60,499712.0,9.6875
61,507904.0,9.375
62,516096.0,15.625
63,524288.0,13.75
64,532480.0,15.625
65,540672.0,9.6875
66,548864.0,13.125
67,557056.0,13.4375
68,565248.0,9.375
69,573440.0,15.0
70,581632.0,13.4375
71,589824.0,14.6875
72,598016.0,11.875
73,606208.0,10.625
74,614400.0,8.75
75,622592.0,12.1875
76,630784.0,12.1875
77,638976.0,14.375
78,647168.0,8.125
79,655360.0,12.1875
80,663552.0,7.8125
81,671744.0,10.3125
82,679936.0,13.4375
83,688128.0,15.3125
84,696320.0,13.75
85,704512.0,11.875
86,712704.0,9.6875
87,720896.0,11.5625
88,729088.0,15.0
89,737280.0,11.875
90,745472.0,10.9375
91,753664.0,9.6875
92,761856.0,11.875
93,770048.0,10.9375
94,778240.0,10.625
95,786432.0,14.0625
96,794624.0,8.75
97,802816.0,6.5625
98,811008.0,9.6875
99,819200.0,9.6875
100,827392.0,8.75
101,835584.0,11.5625
102,843776.0,10.0
103,851968.0,11.875
104,860160.0,8.4375
105,868352.0,10.3125
106,876544.0,10.9375
107,884736.0,12.1875
108,892928.0,9.0625
109,901120.0,14.0625
110,909312.0,16.25
111,917504.0,10.625
112,925696.0,8.4375
113,933888.0,12.1875
114,942080.0,12.8125
115,950272.0,10.3125
116,958464.0,10.9375
117,966656.0,12.1875
118,974848.0,11.5625
119,983040.0,10.625
120,991232.0,13.4375
121,999424.0,9.375
122,1007616.0,12.5
123,1015808.0,15.0
124,1024000.0,13.125
125,1032192.0,10.9375
126,1040384.0,13.75
127,1048576.0,11.875
128,1056768.0,10.625
129,1064960.0,13.4375
130,1073152.0,7.5
131,1081344.0,14.375
132,1089536.0,12.5
133,1097728.0,10.0
134,1105920.0,13.75
135,1114112.0,12.1875
136,1122304.0,16.25
137,1130496.0,7.5
138,1138688.0,8.4375
139,1146880.0,9.6875
140,1155072.0,8.4375
141,1163264.0,6.875
142,1171456.0,10.0
143,1179648.0,7.8125
144,1187840.0,7.1875
145,1196032.0,9.375
146,1204224.0,9.0625
147,1212416.0,9.0625
148,1220608.0,10.9375
149,1228800.0,10.9375
150,1236992.0,7.1875
151,1245184.0,10.625
152,1253376.0,7.1875
153,1261568.0,11.5625
154,1269760.0,11.25
155,1277952.0,15.0
156,1286144.0,16.5625
157,1294336.0,13.75
158,1302528.0,13.75
159,1310720.0,12.8125
160,1318912.0,12.8125
161,1327104.0,8.4375
