,Step,Average_Reward
0,8192.0,0.9375
1,16384.0,1.25
2,24576.0,0.9375
3,32768.0,0.9375
4,40960.0,2.8125
5,49152.0,1.875
6,57344.0,2.5
7,65536.0,1.875
8,73728.0,2.1875
9,81920.0,2.5
10,90112.0,3.125
11,98304.0,0.625
12,106496.0,2.5
13,114688.0,2.8125
14,122880.0,2.8125
15,131072.0,3.75
16,139264.0,3.4375
17,147456.0,4.0625
18,155648.0,1.5625
19,163840.0,3.75
20,172032.0,4.0625
21,180224.0,3.125
22,188416.0,3.75
23,196608.0,5.3125
24,204800.0,4.0625
25,212992.0,5.0
26,221184.0,4.0625
27,229376.0,5.0
28,237568.0,4.0625
29,245760.0,3.125
30,253952.0,3.75
31,262144.0,4.6875
32,270336.0,5.3125
33,278528.0,7.1875
34,286720.0,5.0
35,294912.0,8.4375
36,303104.0,3.75
37,311296.0,6.25
38,319488.0,6.5625
39,327680.0,7.1875
40,335872.0,5.625
41,344064.0,7.8125
42,352256.0,7.5
43,360448.0,7.5
44,368640.0,8.75
45,376832.0,8.125
46,385024.0,5.9375
47,393216.0,8.75
48,401408.0,10.9375
49,409600.0,10.9375
50,417792.0,9.0625
51,425984.0,9.6875
52,434176.0,7.1875
53,442368.0,6.5625
54,450560.0,7.1875
55,458752.0,8.75
56,466944.0,12.1875
57,475136.0,8.125
58,483328.0,8.4375
59,491520.0,8.75
60,499712.0,8.75
61,507904.0,9.375
62,516096.0,8.4375
63,524288.0,11.875
64,532480.0,12.8125
65,540672.0,7.8125
66,548864.0,9.0625
67,557056.0,11.25
68,565248.0,10.625
69,573440.0,9.6875
70,581632.0,14.6875
71,589824.0,11.5625
72,598016.0,9.6875
73,606208.0,10.625
74,614400.0,11.5625
75,622592.0,10.0
76,630784.0,8.125
77,638976.0,9.0625
78,647168.0,11.875
79,655360.0,12.5
80,663552.0,9.375
81,671744.0,13.75
82,679936.0,12.1875
83,688128.0,12.5
84,696320.0,12.5
85,704512.0,14.375
86,712704.0,13.125
87,720896.0,10.3125
88,729088.0,14.6875
89,737280.0,15.9375
90,745472.0,11.875
91,753664.0,11.5625
92,761856.0,12.1875
93,770048.0,12.5
94,778240.0,14.0625
95,786432.0,13.4375
96,794624.0,11.875
97,802816.0,12.1875
98,811008.0,12.5
99,819200.0,15.0
100,827392.0,12.5
101,835584.0,13.125
102,843776.0,14.375
103,851968.0,14.6875
104,860160.0,9.6875
105,868352.0,15.0
106,876544.0,12.5
107,884736.0,13.4375
108,892928.0,15.0
109,901120.0,10.0
110,909312.0,15.0
111,917504.0,12.5
112,925696.0,14.0625
113,933888.0,15.9375
114,942080.0,11.5625
115,950272.0,17.5
116,958464.0,13.75
117,966656.0,15.625
118,974848.0,15.625
119,983040.0,15.0
120,991232.0,15.3125
121,999424.0,14.0625
122,1007616.0,16.875
123,1015808.0,17.8125
124,1024000.0,13.75
125,1032192.0,17.5
126,1040384.0,15.9375
127,1048576.0,14.375
128,1056768.0,13.4375
129,1064960.0,17.8125
130,1073152.0,13.4375
131,1081344.0,13.75
132,1089536.0,16.5625
133,1097728.0,14.375
134,1105920.0,18.75
135,1114112.0,14.0625
136,1122304.0,14.6875
137,1130496.0,15.3125
138,1138688.0,11.875
139,1146880.0,15.0
140,1155072.0,14.375
141,1163264.0,16.5625
142,1171456.0,18.4375
143,1179648.0,16.25
144,1187840.0,17.1875
145,1196032.0,16.5625
146,1204224.0,16.25
147,1212416.0,16.5625
148,1220608.0,15.9375
149,1228800.0,16.25
150,1236992.0,16.25
151,1245184.0,14.6875
152,1253376.0,17.5
153,1261568.0,15.0
154,1269760.0,16.875
155,1277952.0,16.25
156,1286144.0,14.375
157,1294336.0,20.0
158,1302528.0,18.125
159,1310720.0,18.4375
160,1318912.0,18.4375
161,1327104.0,20.625
162,1335296.0,18.75
163,1343488.0,15.0
164,1351680.0,19.0625
165,1359872.0,17.8125
166,1368064.0,19.6875
167,1376256.0,15.9375
168,1384448.0,22.1875
169,1392640.0,20.625
170,1400832.0,23.125
171,1409024.0,19.375
172,1417216.0,20.625
173,1425408.0,19.375
174,1433600.0,17.8125
175,1441792.0,20.3125
176,1449984.0,22.1875
177,1458176.0,21.5625
178,1466368.0,20.9375
179,1474560.0,18.125
180,1482752.0,21.25
181,1490944.0,19.0625
182,1499136.0,18.75
183,1507328.0,20.3125
184,1515520.0,17.8125
185,1523712.0,22.1875
186,1531904.0,21.25
187,1540096.0,19.0625
188,1548288.0,19.0625
189,1556480.0,19.375
190,1564672.0,20.3125
191,1572864.0,19.6875
192,1581056.0,21.5625
193,1589248.0,20.0
194,1597440.0,25.3125
195,1605632.0,20.9375
196,1613824.0,24.0625
197,1622016.0,19.0625
198,1630208.0,19.6875
199,1638400.0,23.125
200,1646592.0,17.5
201,1654784.0,19.375
202,1662976.0,18.4375
203,1671168.0,20.625
204,1679360.0,23.4375
205,1687552.0,19.0625
206,1695744.0,17.8125
207,1703936.0,20.0
208,1712128.0,21.875
209,1720320.0,18.125
210,1728512.0,19.375
211,1736704.0,21.5625
212,1744896.0,20.625
213,1753088.0,22.1875
214,1761280.0,20.9375
215,1769472.0,17.8125
216,1777664.0,22.1875
217,1785856.0,19.6875
218,1794048.0,19.0625
219,1802240.0,24.0625
220,1810432.0,24.0625
221,1818624.0,20.9375
222,1826816.0,22.5
223,1835008.0,21.25
224,1843200.0,19.0625
225,1851392.0,19.6875
226,1859584.0,23.75
227,1867776.0,21.5625
228,1875968.0,21.25
229,1884160.0,19.375
230,1892352.0,20.9375
231,1900544.0,23.125
232,1908736.0,21.875
233,1916928.0,21.25
234,1925120.0,20.625
235,1933312.0,21.5625
236,1941504.0,19.375
237,1949696.0,21.5625
238,1957888.0,25.9375
239,1966080.0,20.625
240,1974272.0,19.0625
241,1982464.0,24.375
242,1990656.0,21.25
243,1998848.0,22.8125
244,2007040.0,21.5625
245,2015232.0,17.8125
246,2023424.0,19.6875
247,2031616.0,23.125
248,2039808.0,20.625
249,2048000.0,24.0625
250,2056192.0,27.8125
251,2064384.0,29.6875
252,2072576.0,24.0625
253,2080768.0,23.4375
254,2088960.0,25.3125
255,2097152.0,24.0625
256,2105344.0,22.8125
257,2113536.0,25.3125
258,2121728.0,20.625
259,2129920.0,19.0625
260,2138112.0,25.9375
261,2146304.0,22.8125
262,2154496.0,26.875
263,2162688.0,21.875
264,2170880.0,20.0
265,2179072.0,23.4375
266,2187264.0,26.5625
267,2195456.0,21.25
268,2203648.0,22.8125
269,2211840.0,22.8125
270,2220032.0,24.6875
271,2228224.0,23.125
272,2236416.0,20.0
273,2244608.0,25.0
274,2252800.0,23.125
275,2260992.0,25.9375
276,2269184.0,25.9375
277,2277376.0,26.25
278,2285568.0,25.0
279,2293760.0,22.1875
280,2301952.0,24.375
281,2310144.0,28.4375
282,2318336.0,25.9375
283,2326528.0,22.1875
284,2334720.0,29.6875
285,2342912.0,27.5
286,2351104.0,25.0
287,2359296.0,24.0625
288,2367488.0,23.75
289,2375680.0,23.75
290,2383872.0,25.0
291,2392064.0,26.25
292,2400256.0,29.6875
293,2408448.0,24.0625
294,2416640.0,25.9375
295,2424832.0,26.5625
296,2433024.0,24.0625
297,2441216.0,25.625
298,2449408.0,25.3125
299,2457600.0,26.5625
300,2465792.0,25.0
301,2473984.0,22.5
302,2482176.0,23.75
303,2490368.0,23.4375
304,2498560.0,25.3125
305,2506752.0,24.375
306,2514944.0,23.75
307,2523136.0,21.5625
308,2531328.0,27.8125
