,Step,Average_Reward
0,8192.0,0.9375
1,16384.0,2.5
2,24576.0,1.25
3,32768.0,0.3125
4,40960.0,2.1875
5,49152.0,0.625
6,57344.0,1.875
7,65536.0,3.125
8,73728.0,2.1875
9,81920.0,5.625
10,90112.0,5.3125
11,98304.0,5.625
12,106496.0,8.125
13,114688.0,8.125
14,122880.0,7.5
15,131072.0,12.1875
16,139264.0,10.625
17,147456.0,10.9375
18,155648.0,9.375
19,163840.0,12.1875
20,172032.0,12.1875
21,180224.0,10.625
22,188416.0,15.0
23,196608.0,12.5
24,204800.0,18.125
25,212992.0,16.5625
26,221184.0,16.875
27,229376.0,14.6875
28,237568.0,16.5625
29,245760.0,17.1875
30,253952.0,17.5
31,262144.0,19.0625
32,270336.0,18.75
33,278528.0,15.0
34,286720.0,18.75
35,294912.0,19.0625
36,303104.0,20.3125
37,311296.0,17.1875
38,319488.0,20.3125
39,327680.0,19.0625
40,335872.0,20.9375
41,344064.0,18.75
42,352256.0,19.0625
43,360448.0,21.25
44,368640.0,18.75
45,376832.0,20.3125
46,385024.0,19.0625
47,393216.0,17.5
48,401408.0,22.1875
49,409600.0,20.0
50,417792.0,22.5
51,425984.0,23.75
52,434176.0,23.125
53,442368.0,21.875
54,450560.0,20.0
55,458752.0,22.8125
56,466944.0,22.8125
57,475136.0,22.5
58,483328.0,23.125
59,491520.0,20.3125
60,499712.0,22.8125
61,507904.0,20.625
62,516096.0,23.4375
63,524288.0,24.0625
64,532480.0,26.875
65,540672.0,21.5625
66,548864.0,23.125
67,557056.0,25.3125
68,565248.0,23.75
69,573440.0,25.3125
70,581632.0,26.25
71,589824.0,21.875
72,598016.0,23.4375
73,606208.0,21.25
74,614400.0,23.4375
75,622592.0,20.9375
76,630784.0,20.9375
77,638976.0,22.1875
78,647168.0,22.8125
79,655360.0,21.5625
80,663552.0,24.0625
81,671744.0,25.0
82,679936.0,24.0625
83,688128.0,24.375
84,696320.0,22.1875
85,704512.0,23.75
86,712704.0,24.375
87,720896.0,22.1875
88,729088.0,25.9375
89,737280.0,20.3125
90,745472.0,24.6875
91,753664.0,24.6875
92,761856.0,22.8125
93,770048.0,24.375
