,Step,Average_Reward
0,8192.0,0.625
1,16384.0,0.9375
2,24576.0,0.9375
3,32768.0,1.25
4,40960.0,0.625
5,49152.0,1.25
6,57344.0,1.25
7,65536.0,2.5
8,73728.0,1.25
9,81920.0,2.8125
10,90112.0,2.5
11,98304.0,4.375
12,106496.0,4.375
13,114688.0,8.75
14,122880.0,7.5
15,131072.0,10.9375
16,139264.0,10.3125
17,147456.0,11.25
18,155648.0,12.8125
19,163840.0,11.875
20,172032.0,12.5
21,180224.0,16.25
22,188416.0,16.875
23,196608.0,12.5
24,204800.0,14.6875
25,212992.0,15.0
26,221184.0,17.5
27,229376.0,19.375
28,237568.0,16.5625
29,245760.0,17.1875
30,253952.0,17.8125
31,262144.0,18.75
32,270336.0,21.5625
33,278528.0,19.6875
34,286720.0,23.125
35,294912.0,17.1875
36,303104.0,21.25
37,311296.0,22.8125
38,319488.0,22.8125
39,327680.0,23.75
40,335872.0,22.5
41,344064.0,23.125
42,352256.0,20.625
43,360448.0,23.4375
44,368640.0,21.25
45,376832.0,23.125
46,385024.0,20.625
47,393216.0,23.75
48,401408.0,21.25
49,409600.0,24.0625
50,417792.0,21.875
51,425984.0,22.1875
52,434176.0,19.375
53,442368.0,25.9375
54,450560.0,24.6875
55,458752.0,26.875
56,466944.0,21.25
57,475136.0,24.6875
58,483328.0,22.8125
59,491520.0,23.4375
60,499712.0,23.75
61,507904.0,25.9375
62,516096.0,26.875
63,524288.0,27.1875
64,532480.0,24.0625
65,540672.0,23.4375
66,548864.0,22.1875
67,557056.0,29.375
68,565248.0,22.8125
69,573440.0,25.3125
70,581632.0,24.6875
71,589824.0,26.875
72,598016.0,27.1875
73,606208.0,29.375
74,614400.0,26.25
75,622592.0,29.375
76,630784.0,25.625
77,638976.0,28.75
78,647168.0,25.0
79,655360.0,25.625
80,663552.0,31.25
81,671744.0,24.6875
82,679936.0,27.1875
83,688128.0,26.875
84,696320.0,23.75
85,704512.0,34.375
86,712704.0,31.5625
87,720896.0,26.5625
88,729088.0,28.4375
89,737280.0,25.625
90,745472.0,27.8125
91,753664.0,25.9375
92,761856.0,27.5
93,770048.0,31.25
94,778240.0,31.25
95,786432.0,32.1875
96,794624.0,28.125
97,802816.0,27.5
98,811008.0,28.4375
99,819200.0,30.9375
100,827392.0,30.625
101,835584.0,27.1875
102,843776.0,29.375
103,851968.0,30.3125
104,860160.0,28.125
105,868352.0,28.4375
106,876544.0,29.6875
107,884736.0,30.3125
108,892928.0,28.4375
109,901120.0,29.0625
110,909312.0,31.25
111,917504.0,25.9375
112,925696.0,28.4375
113,933888.0,29.0625
114,942080.0,32.1875
115,950272.0,31.875
116,958464.0,30.3125
117,966656.0,30.9375
118,974848.0,31.5625
119,983040.0,34.6875
120,991232.0,26.5625
121,999424.0,31.25
122,1007616.0,26.875
123,1015808.0,31.5625
124,1024000.0,32.1875
125,1032192.0,27.5
126,1040384.0,25.0
127,1048576.0,31.875
128,1056768.0,29.6875
129,1064960.0,29.6875
130,1073152.0,33.4375
131,1081344.0,33.4375
132,1089536.0,30.625
133,1097728.0,34.0625
134,1105920.0,29.6875
135,1114112.0,33.75
136,1122304.0,31.25
137,1130496.0,27.8125
138,1138688.0,28.125
139,1146880.0,31.875
140,1155072.0,31.875
141,1163264.0,31.5625
142,1171456.0,34.0625
143,1179648.0,31.25
144,1187840.0,30.3125
145,1196032.0,33.125
146,1204224.0,30.3125
147,1212416.0,30.9375
148,1220608.0,32.8125
149,1228800.0,32.5
150,1236992.0,31.5625
151,1245184.0,30.3125
152,1253376.0,34.6875
153,1261568.0,31.875
154,1269760.0,28.4375
155,1277952.0,32.1875
156,1286144.0,31.875
157,1294336.0,30.625
158,1302528.0,32.5
159,1310720.0,33.4375
160,1318912.0,33.4375
161,1327104.0,36.25
162,1335296.0,31.875
163,1343488.0,32.5
164,1351680.0,33.4375
165,1359872.0,28.4375
166,1368064.0,34.375
167,1376256.0,28.75
168,1384448.0,35.0
169,1392640.0,31.5625
170,1400832.0,32.1875
171,1409024.0,31.5625
172,1417216.0,29.0625
173,1425408.0,32.1875
174,1433600.0,31.5625
175,1441792.0,30.9375
176,1449984.0,32.5
177,1458176.0,33.75
178,1466368.0,37.1875
179,1474560.0,31.25
180,1482752.0,34.375
181,1490944.0,30.0
182,1499136.0,33.4375
183,1507328.0,29.6875
184,1515520.0,34.375
185,1523712.0,31.875
186,1531904.0,35.0
187,1540096.0,30.0
188,1548288.0,29.375
189,1556480.0,30.9375
190,1564672.0,30.9375
191,1572864.0,30.625
192,1581056.0,30.3125
193,1589248.0,30.3125
194,1597440.0,32.8125
195,1605632.0,32.1875
196,1613824.0,33.4375
197,1622016.0,34.6875
198,1630208.0,30.625
199,1638400.0,35.0
200,1646592.0,30.9375
201,1654784.0,35.9375
202,1662976.0,34.375
203,1671168.0,33.4375
204,1679360.0,31.5625
205,1687552.0,31.5625
206,1695744.0,34.0625
207,1703936.0,37.5
208,1712128.0,35.625
209,1720320.0,31.25
210,1728512.0,35.0
211,1736704.0,33.75
212,1744896.0,31.5625
213,1753088.0,33.125
214,1761280.0,33.75
215,1769472.0,30.0
216,1777664.0,37.8125
217,1785856.0,31.25
218,1794048.0,31.5625
219,1802240.0,32.1875
220,1810432.0,29.0625
221,1818624.0,31.25
222,1826816.0,28.4375
223,1835008.0,30.3125
224,1843200.0,31.5625
225,1851392.0,30.9375
226,1859584.0,28.75
227,1867776.0,37.1875
228,1875968.0,34.0625
229,1884160.0,34.0625
230,1892352.0,30.625
231,1900544.0,33.125
232,1908736.0,27.8125
233,1916928.0,27.8125
234,1925120.0,33.125
235,1933312.0,31.875
236,1941504.0,28.125
237,1949696.0,32.5
238,1957888.0,32.8125
239,1966080.0,31.875
240,1974272.0,30.625
241,1982464.0,33.125
242,1990656.0,31.5625
243,1998848.0,35.3125
244,2007040.0,31.875
245,2015232.0,34.6875
246,2023424.0,30.625
247,2031616.0,35.625
248,2039808.0,37.1875
249,2048000.0,33.125
250,2056192.0,32.8125
251,2064384.0,31.875
252,2072576.0,34.375
253,2080768.0,32.1875
254,2088960.0,31.875
255,2097152.0,32.8125
256,2105344.0,33.125
257,2113536.0,33.75
258,2121728.0,36.5625
259,2129920.0,35.0
260,2138112.0,33.75
261,2146304.0,33.125
262,2154496.0,34.6875
263,2162688.0,34.0625
264,2170880.0,33.75
265,2179072.0,35.625
266,2187264.0,30.9375
267,2195456.0,33.4375
268,2203648.0,34.6875
269,2211840.0,31.5625
270,2220032.0,31.875
271,2228224.0,33.125
272,2236416.0,30.9375
273,2244608.0,35.625
274,2252800.0,31.5625
275,2260992.0,32.5
276,2269184.0,29.0625
277,2277376.0,33.75
278,2285568.0,30.3125
279,2293760.0,32.1875
280,2301952.0,28.4375
281,2310144.0,32.8125
282,2318336.0,30.0
283,2326528.0,27.8125
284,2334720.0,27.8125
285,2342912.0,33.4375
286,2351104.0,31.875
287,2359296.0,31.25
288,2367488.0,34.6875
289,2375680.0,32.1875
290,2383872.0,32.5
291,2392064.0,32.8125
292,2400256.0,32.1875
293,2408448.0,31.875
294,2416640.0,28.125
295,2424832.0,34.6875
296,2433024.0,31.875
297,2441216.0,35.0
298,2449408.0,30.3125
299,2457600.0,27.8125
300,2465792.0,34.0625
301,2473984.0,31.25
302,2482176.0,31.875
303,2490368.0,30.0
304,2498560.0,31.875
305,2506752.0,30.3125
306,2514944.0,35.625
307,2523136.0,31.25
308,2531328.0,32.1875
309,2539520.0,34.375
310,2547712.0,31.5625
311,2555904.0,30.9375
312,2564096.0,32.1875
313,2572288.0,29.6875
314,2580480.0,33.75
315,2588672.0,34.0625
316,2596864.0,34.375
317,2605056.0,33.75
318,2613248.0,37.5
319,2621440.0,34.6875
320,2629632.0,29.375
321,2637824.0,34.6875
322,2646016.0,30.9375
323,2654208.0,31.875
324,2662400.0,33.4375
325,2670592.0,31.25
326,2678784.0,31.875
327,2686976.0,32.8125
328,2695168.0,30.625
329,2703360.0,36.5625
330,2711552.0,33.4375
331,2719744.0,33.75
332,2727936.0,32.8125
333,2736128.0,34.0625
334,2744320.0,32.8125
335,2752512.0,32.8125
336,2760704.0,32.1875
337,2768896.0,32.1875
338,2777088.0,35.0
339,2785280.0,30.9375
340,2793472.0,30.9375
341,2801664.0,35.625
342,2809856.0,30.3125
343,2818048.0,33.75
344,2826240.0,30.0
345,2834432.0,33.125
346,2842624.0,32.8125
347,2850816.0,35.3125
348,2859008.0,37.5
349,2867200.0,28.125
350,2875392.0,36.875
351,2883584.0,35.9375
352,2891776.0,28.75
353,2899968.0,34.375
354,2908160.0,37.1875
355,2916352.0,32.8125
356,2924544.0,31.875
357,2932736.0,30.0
358,2940928.0,32.5
359,2949120.0,37.5
360,2957312.0,33.75
361,2965504.0,35.625
362,2973696.0,36.5625
363,2981888.0,30.9375
364,2990080.0,36.25
365,2998272.0,31.875
366,3006464.0,33.4375
367,3014656.0,33.75
368,3022848.0,37.8125
369,3031040.0,31.5625
370,3039232.0,32.8125
371,3047424.0,34.0625
372,3055616.0,34.0625
373,3063808.0,36.5625
374,3072000.0,34.0625
375,3080192.0,36.25
376,3088384.0,30.9375
377,3096576.0,31.875
378,3104768.0,36.5625
379,3112960.0,37.1875
380,3121152.0,28.75
381,3129344.0,34.6875
382,3137536.0,29.375
383,3145728.0,37.8125
384,3153920.0,31.875
385,3162112.0,36.5625
386,3170304.0,32.5
387,3178496.0,32.5
388,3186688.0,31.25
389,3194880.0,35.9375
390,3203072.0,34.6875
391,3211264.0,35.0
392,3219456.0,35.0
