,Step,Average_Reward
0,8192.0,0.0
1,16384.0,0.625
2,24576.0,1.25
3,32768.0,1.25
4,40960.0,0.3125
5,49152.0,0.0
6,57344.0,1.875
7,65536.0,0.625
8,73728.0,0.625
9,81920.0,1.25
10,90112.0,0.9375
11,98304.0,2.1875
12,106496.0,1.875
13,114688.0,0.9375
14,122880.0,0.625
15,131072.0,0.625
16,139264.0,1.875
17,147456.0,1.25
18,155648.0,0.9375
19,163840.0,1.5625
20,172032.0,2.5
21,180224.0,1.875
22,188416.0,2.1875
23,196608.0,1.25
24,204800.0,0.9375
25,212992.0,2.5
26,221184.0,1.875
27,229376.0,0.9375
28,237568.0,2.8125
29,245760.0,3.75
30,253952.0,2.1875
31,262144.0,3.4375
32,270336.0,5.0
33,278528.0,8.75
34,286720.0,11.25
35,294912.0,10.0
36,303104.0,12.5
37,311296.0,12.5
38,319488.0,14.6875
39,327680.0,15.9375
40,335872.0,17.5
41,344064.0,18.4375
42,352256.0,20.9375
43,360448.0,18.125
44,368640.0,20.3125
45,376832.0,25.0
46,385024.0,19.6875
47,393216.0,22.8125
48,401408.0,17.5
49,409600.0,23.4375
50,417792.0,20.3125
51,425984.0,24.375
52,434176.0,21.875
53,442368.0,21.25
54,450560.0,24.375
55,458752.0,20.0
56,466944.0,23.125
57,475136.0,25.3125
58,483328.0,23.125
59,491520.0,25.3125
60,499712.0,23.75
61,507904.0,23.4375
62,516096.0,23.125
63,524288.0,24.375
64,532480.0,20.3125
65,540672.0,23.75
66,548864.0,26.875
67,557056.0,19.0625
68,565248.0,22.8125
69,573440.0,21.875
70,581632.0,19.0625
71,589824.0,22.8125
72,598016.0,21.25
73,606208.0,19.6875
74,614400.0,23.75
75,622592.0,20.9375
76,630784.0,21.875
77,638976.0,20.0
78,647168.0,24.0625
79,655360.0,19.6875
80,663552.0,18.75
81,671744.0,24.0625
82,679936.0,19.0625
83,688128.0,24.6875
84,696320.0,22.5
85,704512.0,20.9375
86,712704.0,21.25
87,720896.0,19.6875
88,729088.0,24.375
89,737280.0,24.6875
90,745472.0,25.625
91,753664.0,22.1875
92,761856.0,23.125
93,770048.0,26.25
94,778240.0,23.75
95,786432.0,19.6875
96,794624.0,22.8125
97,802816.0,22.1875
98,811008.0,23.4375
99,819200.0,23.4375
100,827392.0,20.625
101,835584.0,23.125
102,843776.0,26.5625
103,851968.0,24.0625
104,860160.0,24.0625
105,868352.0,27.5
106,876544.0,24.6875
107,884736.0,22.5
108,892928.0,22.5
109,901120.0,24.0625
110,909312.0,25.625
111,917504.0,22.5
112,925696.0,23.125
113,933888.0,20.3125
114,942080.0,23.4375
115,950272.0,20.625
116,958464.0,20.625
117,966656.0,23.75
118,974848.0,22.8125
119,983040.0,21.875
120,991232.0,23.125
121,999424.0,25.625
122,1007616.0,23.4375
123,1015808.0,23.4375
124,1024000.0,20.625
125,1032192.0,28.4375
126,1040384.0,24.0625
127,1048576.0,25.625
128,1056768.0,19.375
129,1064960.0,24.0625
130,1073152.0,22.5
131,1081344.0,25.625
132,1089536.0,25.3125
133,1097728.0,25.3125
134,1105920.0,23.75
135,1114112.0,21.5625
136,1122304.0,22.8125
137,1130496.0,25.0
138,1138688.0,25.625
139,1146880.0,25.625
140,1155072.0,23.75
141,1163264.0,25.0
142,1171456.0,23.75
143,1179648.0,23.125
144,1187840.0,30.0
145,1196032.0,22.5
146,1204224.0,24.6875
147,1212416.0,24.6875
148,1220608.0,23.4375
149,1228800.0,28.4375
150,1236992.0,22.5
151,1245184.0,23.75
152,1253376.0,25.3125
153,1261568.0,25.625
154,1269760.0,23.4375
155,1277952.0,25.3125
156,1286144.0,23.75
157,1294336.0,25.0
158,1302528.0,21.25
159,1310720.0,23.125
160,1318912.0,20.3125
161,1327104.0,24.0625
162,1335296.0,24.6875
163,1343488.0,25.0
164,1351680.0,20.9375
165,1359872.0,23.4375
166,1368064.0,20.0
167,1376256.0,21.25
168,1384448.0,25.3125
169,1392640.0,21.5625
170,1400832.0,23.125
171,1409024.0,20.625
172,1417216.0,25.3125
173,1425408.0,24.6875
174,1433600.0,20.0
175,1441792.0,25.625
176,1449984.0,23.125
177,1458176.0,26.875
178,1466368.0,24.0625
179,1474560.0,23.75
180,1482752.0,25.9375
181,1490944.0,26.875
182,1499136.0,26.5625
183,1507328.0,26.25
184,1515520.0,24.0625
185,1523712.0,25.0
186,1531904.0,26.25
187,1540096.0,23.125
188,1548288.0,25.3125
189,1556480.0,23.125
190,1564672.0,24.0625
191,1572864.0,25.0
192,1581056.0,24.375
193,1589248.0,24.0625
194,1597440.0,25.3125
195,1605632.0,19.6875
196,1613824.0,25.3125
197,1622016.0,22.1875
198,1630208.0,22.5
199,1638400.0,24.375
200,1646592.0,21.5625
201,1654784.0,25.3125
202,1662976.0,28.125
203,1671168.0,21.25
204,1679360.0,22.1875
205,1687552.0,23.75
206,1695744.0,25.0
207,1703936.0,25.0
208,1712128.0,22.1875
209,1720320.0,21.25
210,1728512.0,23.125
211,1736704.0,23.4375
212,1744896.0,25.625
213,1753088.0,25.625
214,1761280.0,20.9375
215,1769472.0,22.8125
216,1777664.0,24.0625
217,1785856.0,26.25
218,1794048.0,21.875
219,1802240.0,25.625
220,1810432.0,22.1875
221,1818624.0,22.8125
222,1826816.0,24.0625
223,1835008.0,20.9375
224,1843200.0,21.875
225,1851392.0,25.625
226,1859584.0,25.625
227,1867776.0,23.125
228,1875968.0,22.8125
229,1884160.0,20.0
230,1892352.0,20.0
231,1900544.0,18.75
232,1908736.0,21.25
233,1916928.0,21.25
234,1925120.0,22.5
235,1933312.0,23.125
236,1941504.0,22.8125
237,1949696.0,21.25
238,1957888.0,26.25
239,1966080.0,24.0625
240,1974272.0,21.5625
241,1982464.0,24.6875
242,1990656.0,21.875
243,1998848.0,24.6875
244,2007040.0,26.5625
245,2015232.0,23.125
246,2023424.0,20.9375
247,2031616.0,25.625
248,2039808.0,22.5
249,2048000.0,22.8125
250,2056192.0,26.25
251,2064384.0,23.125
252,2072576.0,24.0625
253,2080768.0,26.5625
254,2088960.0,23.125
255,2097152.0,20.625
256,2105344.0,22.8125
257,2113536.0,21.25
258,2121728.0,25.9375
259,2129920.0,24.0625
260,2138112.0,25.0
261,2146304.0,25.625
262,2154496.0,26.875
263,2162688.0,20.0
264,2170880.0,17.8125
265,2179072.0,22.1875
266,2187264.0,23.125
267,2195456.0,22.1875
268,2203648.0,20.625
269,2211840.0,28.125
270,2220032.0,25.3125
271,2228224.0,23.125
272,2236416.0,24.6875
273,2244608.0,23.125
274,2252800.0,26.25
275,2260992.0,27.1875
276,2269184.0,28.125
277,2277376.0,24.375
278,2285568.0,25.625
279,2293760.0,23.75
280,2301952.0,27.8125
281,2310144.0,23.125
282,2318336.0,22.8125
283,2326528.0,21.25
284,2334720.0,23.125
285,2342912.0,23.75
286,2351104.0,27.1875
287,2359296.0,21.25
288,2367488.0,20.625
289,2375680.0,23.4375
290,2383872.0,24.375
291,2392064.0,21.5625
292,2400256.0,20.3125
293,2408448.0,21.875
294,2416640.0,22.8125
295,2424832.0,24.6875
296,2433024.0,22.8125
297,2441216.0,20.3125
298,2449408.0,24.6875
299,2457600.0,26.5625
300,2465792.0,20.9375
301,2473984.0,26.875
302,2482176.0,21.5625
303,2490368.0,24.375
304,2498560.0,24.6875
305,2506752.0,22.8125
306,2514944.0,25.9375
307,2523136.0,26.25
308,2531328.0,20.9375
309,2539520.0,26.25
310,2547712.0,23.75
311,2555904.0,24.375
312,2564096.0,25.625
313,2572288.0,21.875
314,2580480.0,25.3125
315,2588672.0,22.5
316,2596864.0,21.5625
317,2605056.0,23.75
318,2613248.0,23.75
319,2621440.0,24.375
320,2629632.0,22.8125
321,2637824.0,28.4375
322,2646016.0,27.5
323,2654208.0,24.6875
324,2662400.0,24.6875
325,2670592.0,24.375
326,2678784.0,23.125
327,2686976.0,25.3125
328,2695168.0,23.75
329,2703360.0,28.4375
330,2711552.0,27.8125
331,2719744.0,22.1875
332,2727936.0,24.6875
333,2736128.0,23.125
334,2744320.0,24.375
335,2752512.0,22.8125
336,2760704.0,22.8125
337,2768896.0,29.6875
338,2777088.0,21.5625
339,2785280.0,24.375
340,2793472.0,25.9375
341,2801664.0,22.8125
342,2809856.0,22.5
343,2818048.0,22.5
344,2826240.0,24.0625
345,2834432.0,21.5625
346,2842624.0,26.25
347,2850816.0,24.0625
348,2859008.0,29.0625
349,2867200.0,23.75
350,2875392.0,26.5625
351,2883584.0,24.0625
352,2891776.0,29.6875
353,2899968.0,24.375
354,2908160.0,26.5625
355,2916352.0,25.3125
356,2924544.0,21.5625
357,2932736.0,26.5625
358,2940928.0,26.5625
359,2949120.0,24.6875
360,2957312.0,25.3125
361,2965504.0,23.125
362,2973696.0,26.5625
363,2981888.0,22.8125
364,2990080.0,26.5625
365,2998272.0,27.1875
366,3006464.0,21.5625
367,3014656.0,24.0625
368,3022848.0,18.75
369,3031040.0,23.125
370,3039232.0,24.6875
371,3047424.0,20.0
372,3055616.0,23.125
