,Step,Average_Reward
0,8192.0,0.0
1,16384.0,1.5625
2,24576.0,0.9375
3,32768.0,1.5625
4,40960.0,1.875
5,49152.0,3.125
6,57344.0,6.5625
7,65536.0,6.875
8,73728.0,9.6875
9,81920.0,11.5625
10,90112.0,11.875
11,98304.0,14.0625
12,106496.0,15.0
13,114688.0,16.875
14,122880.0,18.75
15,131072.0,15.625
16,139264.0,20.0
17,147456.0,19.0625
18,155648.0,23.4375
19,163840.0,20.9375
20,172032.0,24.6875
21,180224.0,23.125
22,188416.0,22.8125
23,196608.0,20.0
24,204800.0,21.875
25,212992.0,23.125
26,221184.0,23.4375
27,229376.0,24.6875
28,237568.0,24.375
29,245760.0,23.4375
30,253952.0,22.5
31,262144.0,23.75
32,270336.0,22.1875
33,278528.0,18.4375
34,286720.0,19.6875
35,294912.0,18.125
36,303104.0,19.6875
37,311296.0,23.4375
38,319488.0,22.1875
39,327680.0,23.4375
40,335872.0,20.3125
41,344064.0,23.75
42,352256.0,17.8125
43,360448.0,27.1875
44,368640.0,22.5
45,376832.0,21.875
46,385024.0,19.6875
47,393216.0,21.5625
48,401408.0,22.5
49,409600.0,20.0
50,417792.0,23.4375
51,425984.0,21.875
52,434176.0,22.5
53,442368.0,22.8125
54,450560.0,21.25
55,458752.0,23.4375
56,466944.0,22.5
57,475136.0,23.4375
58,483328.0,26.875
59,491520.0,24.0625
60,499712.0,27.5
61,507904.0,21.25
62,516096.0,25.3125
63,524288.0,22.1875
64,532480.0,26.5625
65,540672.0,25.625
66,548864.0,25.9375
67,557056.0,20.9375
68,565248.0,28.4375
69,573440.0,26.5625
70,581632.0,23.125
71,589824.0,24.0625
72,598016.0,20.625
73,606208.0,19.375
74,614400.0,23.125
75,622592.0,25.9375
76,630784.0,23.125
77,638976.0,24.0625
78,647168.0,27.1875
79,655360.0,29.0625
80,663552.0,23.75
81,671744.0,27.1875
82,679936.0,24.375
83,688128.0,25.0
84,696320.0,24.375
85,704512.0,25.3125
86,712704.0,25.625
87,720896.0,23.4375
88,729088.0,25.0
89,737280.0,20.9375
90,745472.0,23.75
91,753664.0,23.4375
92,761856.0,24.6875
93,770048.0,24.6875
94,778240.0,20.9375
95,786432.0,26.875
96,794624.0,23.125
97,802816.0,26.5625
98,811008.0,22.8125
99,819200.0,25.0
100,827392.0,21.875
101,835584.0,22.5
102,843776.0,24.375
103,851968.0,23.4375
104,860160.0,25.625
105,868352.0,22.8125
106,876544.0,26.25
107,884736.0,24.375
108,892928.0,26.875
109,901120.0,26.5625
110,909312.0,24.6875
111,917504.0,20.625
112,925696.0,24.0625
113,933888.0,24.375
114,942080.0,22.5
115,950272.0,24.6875
116,958464.0,20.9375
117,966656.0,20.0
118,974848.0,25.3125
119,983040.0,23.75
120,991232.0,22.8125
121,999424.0,26.5625
122,1007616.0,27.5
123,1015808.0,24.6875
124,1024000.0,23.4375
125,1032192.0,25.0
126,1040384.0,24.375
127,1048576.0,27.1875
128,1056768.0,27.5
129,1064960.0,23.4375
130,1073152.0,25.625
131,1081344.0,26.5625
132,1089536.0,25.3125
133,1097728.0,27.8125
134,1105920.0,30.9375
135,1114112.0,24.6875
136,1122304.0,24.375
137,1130496.0,29.6875
138,1138688.0,28.75
139,1146880.0,25.625
140,1155072.0,24.375
141,1163264.0,24.0625
142,1171456.0,22.8125
143,1179648.0,25.9375
144,1187840.0,26.875
145,1196032.0,24.375
146,1204224.0,25.0
147,1212416.0,29.0625
148,1220608.0,27.1875
149,1228800.0,28.125
150,1236992.0,29.0625
151,1245184.0,28.75
152,1253376.0,27.5
153,1261568.0,24.6875
154,1269760.0,28.125
155,1277952.0,26.25
156,1286144.0,26.25
157,1294336.0,25.0
158,1302528.0,28.75
159,1310720.0,22.1875
160,1318912.0,27.5
161,1327104.0,24.6875
162,1335296.0,25.9375
163,1343488.0,26.25
164,1351680.0,30.0
165,1359872.0,24.6875
166,1368064.0,29.0625
167,1376256.0,28.125
168,1384448.0,32.1875
169,1392640.0,23.4375
170,1400832.0,26.25
171,1409024.0,28.4375
172,1417216.0,26.875
173,1425408.0,26.875
174,1433600.0,30.3125
175,1441792.0,25.9375
176,1449984.0,31.25
177,1458176.0,24.6875
178,1466368.0,20.9375
179,1474560.0,27.8125
180,1482752.0,28.125
181,1490944.0,26.25
182,1499136.0,24.6875
183,1507328.0,29.375
184,1515520.0,25.0
185,1523712.0,23.75
186,1531904.0,24.375
187,1540096.0,25.3125
188,1548288.0,24.6875
189,1556480.0,25.625
190,1564672.0,23.125
191,1572864.0,27.8125
192,1581056.0,24.6875
193,1589248.0,25.0
194,1597440.0,24.375
195,1605632.0,24.0625
196,1613824.0,22.8125
197,1622016.0,26.875
198,1630208.0,24.375
199,1638400.0,26.5625
200,1646592.0,22.1875
201,1654784.0,21.5625
202,1662976.0,27.8125
203,1671168.0,24.375
204,1679360.0,22.5
205,1687552.0,25.9375
206,1695744.0,26.25
207,1703936.0,23.125
208,1712128.0,24.6875
209,1720320.0,24.0625
210,1728512.0,26.25
211,1736704.0,25.3125
212,1744896.0,27.5
213,1753088.0,24.0625
214,1761280.0,26.25
215,1769472.0,25.3125
216,1777664.0,24.0625
217,1785856.0,25.0
218,1794048.0,25.3125
219,1802240.0,24.6875
220,1810432.0,23.125
221,1818624.0,22.5
222,1826816.0,23.4375
223,1835008.0,21.5625
224,1843200.0,24.0625
225,1851392.0,23.75
226,1859584.0,25.9375
227,1867776.0,26.5625
228,1875968.0,21.5625
229,1884160.0,20.625
230,1892352.0,21.25
231,1900544.0,24.6875
232,1908736.0,25.3125
233,1916928.0,23.4375
234,1925120.0,24.6875
235,1933312.0,23.4375
236,1941504.0,27.8125
237,1949696.0,25.0
238,1957888.0,25.3125
239,1966080.0,24.0625
240,1974272.0,18.75
241,1982464.0,25.3125
242,1990656.0,26.25
243,1998848.0,27.5
244,2007040.0,21.25
245,2015232.0,25.625
246,2023424.0,22.1875
247,2031616.0,24.375
248,2039808.0,27.1875
249,2048000.0,25.0
250,2056192.0,26.875
251,2064384.0,26.5625
252,2072576.0,24.6875
253,2080768.0,23.125
254,2088960.0,24.375
255,2097152.0,24.375
256,2105344.0,27.8125
257,2113536.0,24.6875
258,2121728.0,25.9375
259,2129920.0,23.4375
260,2138112.0,24.6875
261,2146304.0,26.5625
262,2154496.0,21.875
263,2162688.0,25.3125
264,2170880.0,23.75
265,2179072.0,28.4375
266,2187264.0,29.0625
267,2195456.0,27.1875
268,2203648.0,24.0625
269,2211840.0,24.0625
270,2220032.0,27.8125
271,2228224.0,26.875
272,2236416.0,26.25
273,2244608.0,24.375
274,2252800.0,30.3125
275,2260992.0,26.875
276,2269184.0,25.3125
277,2277376.0,29.0625
278,2285568.0,24.0625
279,2293760.0,30.3125
280,2301952.0,27.1875
281,2310144.0,27.1875
282,2318336.0,28.125
283,2326528.0,26.25
284,2334720.0,24.375
285,2342912.0,27.5
286,2351104.0,25.625
287,2359296.0,28.125
288,2367488.0,25.9375
289,2375680.0,25.0
290,2383872.0,29.6875
291,2392064.0,27.5
292,2400256.0,26.5625
293,2408448.0,29.0625
294,2416640.0,26.25
295,2424832.0,26.25
296,2433024.0,26.5625
297,2441216.0,25.625
298,2449408.0,29.0625
299,2457600.0,23.4375
300,2465792.0,28.75
301,2473984.0,26.5625
302,2482176.0,26.875
303,2490368.0,24.0625
304,2498560.0,25.3125
305,2506752.0,28.4375
306,2514944.0,27.1875
307,2523136.0,25.0
308,2531328.0,27.8125
309,2539520.0,26.875
310,2547712.0,24.375
311,2555904.0,24.6875
312,2564096.0,28.4375
313,2572288.0,28.75
314,2580480.0,24.6875
315,2588672.0,25.625
316,2596864.0,27.1875
317,2605056.0,23.75
318,2613248.0,26.875
319,2621440.0,25.9375
320,2629632.0,28.75
321,2637824.0,24.375
322,2646016.0,27.1875
323,2654208.0,28.125
324,2662400.0,25.0
325,2670592.0,28.125
326,2678784.0,26.5625
327,2686976.0,26.5625
328,2695168.0,25.625
329,2703360.0,25.625
330,2711552.0,30.0
331,2719744.0,30.3125
332,2727936.0,25.9375
333,2736128.0,26.25
334,2744320.0,29.0625
335,2752512.0,26.875
336,2760704.0,27.1875
337,2768896.0,26.5625
338,2777088.0,27.1875
339,2785280.0,25.3125
340,2793472.0,30.3125
341,2801664.0,24.0625
342,2809856.0,32.1875
343,2818048.0,25.9375
344,2826240.0,25.9375
345,2834432.0,30.3125
346,2842624.0,25.625
347,2850816.0,28.4375
348,2859008.0,25.9375
349,2867200.0,26.875
350,2875392.0,26.5625
351,2883584.0,23.75
352,2891776.0,25.9375
353,2899968.0,28.4375
354,2908160.0,28.4375
355,2916352.0,30.9375
356,2924544.0,30.3125
357,2932736.0,25.0
358,2940928.0,26.875
359,2949120.0,25.0
360,2957312.0,25.3125
361,2965504.0,25.0
362,2973696.0,26.5625
363,2981888.0,25.625
364,2990080.0,27.5
365,2998272.0,24.0625
366,3006464.0,27.8125
367,3014656.0,25.3125
368,3022848.0,25.625
369,3031040.0,27.1875
370,3039232.0,28.4375
371,3047424.0,31.25
372,3055616.0,27.8125
373,3063808.0,28.125
374,3072000.0,29.0625
375,3080192.0,28.4375
376,3088384.0,33.125
377,3096576.0,25.3125
378,3104768.0,27.1875
379,3112960.0,24.6875
380,3121152.0,28.125
381,3129344.0,24.6875
382,3137536.0,25.625
383,3145728.0,29.0625
384,3153920.0,23.4375
385,3162112.0,26.25
386,3170304.0,23.4375
387,3178496.0,30.3125
388,3186688.0,22.8125
389,3194880.0,27.1875
390,3203072.0,25.9375
391,3211264.0,26.25
392,3219456.0,25.9375
393,3227648.0,27.8125
394,3235840.0,25.3125
395,3244032.0,22.5
396,3252224.0,22.1875
397,3260416.0,27.5
398,3268608.0,25.0
399,3276800.0,28.125
400,3284992.0,27.1875
401,3293184.0,24.0625
402,3301376.0,24.6875
403,3309568.0,22.8125
404,3317760.0,26.875
405,3325952.0,26.5625
406,3334144.0,25.0
407,3342336.0,25.3125
408,3350528.0,25.625
409,3358720.0,23.75
410,3366912.0,29.0625
411,3375104.0,29.0625
412,3383296.0,24.0625
413,3391488.0,26.875
414,3399680.0,24.6875
415,3407872.0,29.6875
416,3416064.0,25.0
417,3424256.0,28.75
418,3432448.0,30.0
419,3440640.0,27.5
420,3448832.0,25.3125
421,3457024.0,28.4375
422,3465216.0,28.4375
423,3473408.0,30.0
424,3481600.0,25.9375
425,3489792.0,29.6875
426,3497984.0,28.125
427,3506176.0,29.0625
428,3514368.0,28.125
429,3522560.0,28.125
430,3530752.0,23.125
431,3538944.0,27.1875
432,3547136.0,26.25
433,3555328.0,24.375
434,3563520.0,24.6875
435,3571712.0,26.5625
436,3579904.0,24.375
437,3588096.0,27.5
438,3596288.0,28.125
439,3604480.0,29.6875
440,3612672.0,29.0625
441,3620864.0,27.5
442,3629056.0,29.0625
443,3637248.0,28.4375
444,3645440.0,28.125
445,3653632.0,26.5625
446,3661824.0,28.125
447,3670016.0,28.125
448,3678208.0,28.75
449,3686400.0,25.9375
450,3694592.0,29.375
451,3702784.0,29.6875
452,3710976.0,27.5
453,3719168.0,27.5
454,3727360.0,29.375
455,3735552.0,28.4375
456,3743744.0,23.75
457,3751936.0,26.25
458,3760128.0,30.0
459,3768320.0,29.375
460,3776512.0,25.3125
461,3784704.0,25.3125
462,3792896.0,26.875
463,3801088.0,27.1875
464,3809280.0,26.5625
465,3817472.0,29.6875
466,3825664.0,23.125
467,3833856.0,30.3125
468,3842048.0,27.8125
469,3850240.0,30.9375
470,3858432.0,29.375
471,3866624.0,28.4375
472,3874816.0,29.375
473,3883008.0,28.4375
474,3891200.0,30.3125
475,3899392.0,29.0625
476,3907584.0,30.3125
477,3915776.0,31.875
478,3923968.0,27.1875
479,3932160.0,31.875
480,3940352.0,32.5
481,3948544.0,25.3125
482,3956736.0,33.125
483,3964928.0,26.875
484,3973120.0,31.5625
485,3981312.0,29.0625
