,Step,Average_Reward
0,8192.0,0.9375
1,16384.0,1.25
2,24576.0,2.1875
3,32768.0,1.25
4,40960.0,0.9375
5,49152.0,1.875
6,57344.0,1.875
7,65536.0,3.125
8,73728.0,2.8125
9,81920.0,4.6875
10,90112.0,3.125
11,98304.0,4.375
12,106496.0,4.6875
13,114688.0,3.75
14,122880.0,4.0625
15,131072.0,4.375
16,139264.0,2.8125
17,147456.0,5.625
18,155648.0,5.3125
19,163840.0,4.6875
20,172032.0,10.625
21,180224.0,10.625
22,188416.0,10.3125
23,196608.0,10.0
24,204800.0,11.875
25,212992.0,13.4375
26,221184.0,15.3125
27,229376.0,14.375
28,237568.0,10.0
29,245760.0,18.125
30,253952.0,15.3125
31,262144.0,14.0625
32,270336.0,19.6875
33,278528.0,17.8125
34,286720.0,13.75
35,294912.0,19.0625
36,303104.0,18.75
37,311296.0,19.375
38,319488.0,17.5
39,327680.0,19.0625
40,335872.0,21.5625
41,344064.0,19.0625
42,352256.0,21.5625
43,360448.0,23.4375
44,368640.0,20.9375
45,376832.0,16.875
46,385024.0,20.625
47,393216.0,21.25
48,401408.0,12.8125
49,409600.0,22.5
50,417792.0,19.375
51,425984.0,21.5625
52,434176.0,22.5
53,442368.0,21.875
54,450560.0,18.75
55,458752.0,24.375
56,466944.0,18.4375
57,475136.0,22.8125
58,483328.0,26.5625
59,491520.0,22.5
60,499712.0,20.0
61,507904.0,16.25
62,516096.0,18.125
63,524288.0,21.25
64,532480.0,17.5
65,540672.0,16.875
66,548864.0,17.1875
67,557056.0,17.1875
68,565248.0,18.4375
69,573440.0,15.0
70,581632.0,20.3125
71,589824.0,18.125
72,598016.0,15.9375
73,606208.0,16.875
74,614400.0,15.9375
75,622592.0,18.4375
76,630784.0,19.6875
77,638976.0,16.5625
78,647168.0,19.0625
79,655360.0,16.5625
80,663552.0,20.0
81,671744.0,16.875
82,679936.0,20.625
83,688128.0,20.9375
84,696320.0,20.0
85,704512.0,21.5625
86,712704.0,21.5625
87,720896.0,18.125
88,729088.0,22.1875
89,737280.0,16.5625
90,745472.0,22.1875
91,753664.0,16.5625
92,761856.0,21.5625
93,770048.0,17.8125
94,778240.0,16.25
95,786432.0,18.4375
96,794624.0,20.9375
97,802816.0,24.0625
98,811008.0,25.3125
99,819200.0,24.0625
100,827392.0,21.875
101,835584.0,25.3125
102,843776.0,26.875
103,851968.0,22.8125
104,860160.0,19.375
105,868352.0,25.9375
106,876544.0,21.5625
107,884736.0,21.875
108,892928.0,25.3125
109,901120.0,23.125
110,909312.0,21.25
111,917504.0,26.875
112,925696.0,25.9375
113,933888.0,21.5625
114,942080.0,22.8125
115,950272.0,19.6875
116,958464.0,20.9375
117,966656.0,22.8125
118,974848.0,16.5625
119,983040.0,22.5
120,991232.0,20.9375
121,999424.0,24.0625
122,1007616.0,18.4375
123,1015808.0,20.625
124,1024000.0,19.0625
125,1032192.0,21.5625
126,1040384.0,23.125
127,1048576.0,17.5
128,1056768.0,20.3125
129,1064960.0,20.0
130,1073152.0,22.1875
131,1081344.0,22.5
132,1089536.0,20.3125
133,1097728.0,20.0
134,1105920.0,19.375
135,1114112.0,23.4375
136,1122304.0,20.9375
137,1130496.0,23.125
138,1138688.0,19.375
139,1146880.0,15.625
140,1155072.0,17.1875
141,1163264.0,16.5625
142,1171456.0,19.6875
143,1179648.0,20.3125
144,1187840.0,15.3125
145,1196032.0,15.9375
146,1204224.0,20.0
147,1212416.0,15.9375
148,1220608.0,16.5625
149,1228800.0,15.0
150,1236992.0,11.875
151,1245184.0,14.375
152,1253376.0,20.9375
153,1261568.0,17.1875
154,1269760.0,15.0
155,1277952.0,15.0
156,1286144.0,19.0625
157,1294336.0,16.875
158,1302528.0,18.125
159,1310720.0,20.625
160,1318912.0,21.875
161,1327104.0,18.75
162,1335296.0,13.4375
163,1343488.0,16.875
164,1351680.0,21.5625
165,1359872.0,13.4375
166,1368064.0,18.75
167,1376256.0,16.25
168,1384448.0,21.25
169,1392640.0,15.9375
170,1400832.0,18.125
171,1409024.0,14.375
172,1417216.0,15.625
173,1425408.0,19.0625
174,1433600.0,19.0625
175,1441792.0,17.8125
176,1449984.0,17.5
177,1458176.0,19.375
178,1466368.0,21.25
179,1474560.0,15.9375
180,1482752.0,17.1875
181,1490944.0,20.625
182,1499136.0,22.5
183,1507328.0,19.375
184,1515520.0,18.4375
185,1523712.0,22.1875
186,1531904.0,18.75
187,1540096.0,19.0625
188,1548288.0,23.125
189,1556480.0,22.8125
190,1564672.0,20.3125
191,1572864.0,17.1875
192,1581056.0,15.3125
193,1589248.0,19.375
194,1597440.0,16.5625
195,1605632.0,23.75
196,1613824.0,21.5625
197,1622016.0,23.125
198,1630208.0,19.375
199,1638400.0,24.6875
200,1646592.0,20.625
201,1654784.0,18.4375
202,1662976.0,23.4375
203,1671168.0,18.125
204,1679360.0,20.0
205,1687552.0,17.1875
206,1695744.0,20.625
207,1703936.0,20.3125
208,1712128.0,16.5625
209,1720320.0,24.375
210,1728512.0,25.9375
211,1736704.0,17.8125
212,1744896.0,20.0
213,1753088.0,18.4375
214,1761280.0,22.8125
215,1769472.0,18.125
216,1777664.0,22.5
217,1785856.0,21.875
218,1794048.0,22.5
219,1802240.0,18.4375
220,1810432.0,19.375
221,1818624.0,22.1875
222,1826816.0,25.625
223,1835008.0,19.375
224,1843200.0,21.25
225,1851392.0,20.3125
226,1859584.0,22.1875
227,1867776.0,19.0625
228,1875968.0,16.875
229,1884160.0,18.125
230,1892352.0,25.0
231,1900544.0,23.75
232,1908736.0,21.5625
233,1916928.0,20.625
234,1925120.0,22.5
235,1933312.0,20.9375
236,1941504.0,19.375
237,1949696.0,25.9375
238,1957888.0,18.4375
239,1966080.0,25.625
240,1974272.0,21.875
241,1982464.0,16.5625
242,1990656.0,15.9375
243,1998848.0,22.5
244,2007040.0,15.625
245,2015232.0,19.6875
246,2023424.0,20.3125
247,2031616.0,17.5
248,2039808.0,17.8125
249,2048000.0,17.5
250,2056192.0,18.75
251,2064384.0,19.375
252,2072576.0,17.1875
253,2080768.0,21.25
254,2088960.0,18.4375
255,2097152.0,17.1875
256,2105344.0,20.3125
257,2113536.0,16.5625
258,2121728.0,18.125
259,2129920.0,17.8125
260,2138112.0,15.9375
261,2146304.0,20.3125
262,2154496.0,21.875
263,2162688.0,22.8125
264,2170880.0,13.4375
265,2179072.0,20.3125
266,2187264.0,16.5625
267,2195456.0,15.9375
268,2203648.0,19.0625
269,2211840.0,20.3125
270,2220032.0,19.0625
271,2228224.0,20.9375
272,2236416.0,20.625
273,2244608.0,12.8125
274,2252800.0,20.625
275,2260992.0,22.5
276,2269184.0,19.0625
277,2277376.0,17.1875
278,2285568.0,13.4375
279,2293760.0,20.3125
280,2301952.0,19.375
281,2310144.0,17.8125
282,2318336.0,19.6875
283,2326528.0,17.5
284,2334720.0,17.1875
285,2342912.0,12.8125
286,2351104.0,19.375
287,2359296.0,18.125
288,2367488.0,22.5
289,2375680.0,15.625
290,2383872.0,20.3125
291,2392064.0,19.375
292,2400256.0,18.4375
293,2408448.0,16.5625
294,2416640.0,17.5
295,2424832.0,15.3125
296,2433024.0,17.8125
297,2441216.0,18.75
298,2449408.0,18.75
299,2457600.0,21.25
300,2465792.0,21.875
301,2473984.0,21.875
302,2482176.0,19.375
303,2490368.0,18.125
304,2498560.0,21.5625
305,2506752.0,18.4375
306,2514944.0,15.0
307,2523136.0,19.0625
308,2531328.0,17.5
