,Step,Average_Reward
0,8192.0,0.9375
1,16384.0,1.5625
2,24576.0,2.5
3,32768.0,0.625
4,40960.0,0.9375
5,49152.0,0.9375
6,57344.0,2.8125
7,65536.0,1.25
8,73728.0,2.1875
9,81920.0,2.1875
10,90112.0,2.5
11,98304.0,3.75
12,106496.0,4.6875
13,114688.0,3.75
14,122880.0,5.3125
15,131072.0,6.875
16,139264.0,5.9375
17,147456.0,12.8125
18,155648.0,15.3125
19,163840.0,17.1875
20,172032.0,18.75
21,180224.0,22.8125
22,188416.0,23.125
23,196608.0,21.875
24,204800.0,30.0
25,212992.0,22.5
26,221184.0,27.8125
27,229376.0,27.8125
28,237568.0,29.6875
29,245760.0,28.75
30,253952.0,29.6875
31,262144.0,28.4375
32,270336.0,27.5
33,278528.0,23.75
34,286720.0,28.75
35,294912.0,28.75
36,303104.0,28.4375
37,311296.0,24.6875
38,319488.0,23.75
39,327680.0,23.125
40,335872.0,27.1875
41,344064.0,26.5625
42,352256.0,30.3125
43,360448.0,27.1875
44,368640.0,22.1875
45,376832.0,22.5
46,385024.0,23.75
47,393216.0,24.0625
48,401408.0,26.25
49,409600.0,25.3125
50,417792.0,21.875
51,425984.0,24.6875
52,434176.0,20.9375
53,442368.0,19.6875
54,450560.0,20.0
55,458752.0,27.8125
56,466944.0,21.25
57,475136.0,21.5625
58,483328.0,24.375
59,491520.0,23.125
60,499712.0,19.375
61,507904.0,17.1875
62,516096.0,27.1875
63,524288.0,24.375
64,532480.0,24.375
65,540672.0,23.75
66,548864.0,24.6875
67,557056.0,24.375
68,565248.0,24.6875
69,573440.0,29.6875
70,581632.0,26.875
71,589824.0,20.9375
72,598016.0,23.4375
73,606208.0,20.9375
74,614400.0,20.625
75,622592.0,18.125
76,630784.0,24.375
77,638976.0,26.875
78,647168.0,20.9375
79,655360.0,22.1875
80,663552.0,27.8125
81,671744.0,22.8125
82,679936.0,18.75
83,688128.0,16.5625
84,696320.0,22.5
85,704512.0,24.0625
86,712704.0,20.9375
87,720896.0,21.875
88,729088.0,19.6875
89,737280.0,20.3125
90,745472.0,18.125
91,753664.0,22.8125
92,761856.0,19.6875
93,770048.0,19.0625
94,778240.0,15.0
95,786432.0,15.3125
96,794624.0,19.6875
97,802816.0,13.4375
98,811008.0,14.6875
99,819200.0,16.25
100,827392.0,14.375
101,835584.0,13.75
102,843776.0,14.375
103,851968.0,15.3125
104,860160.0,15.0
105,868352.0,15.625
106,876544.0,15.9375
107,884736.0,15.9375
108,892928.0,13.75
109,901120.0,13.125
110,909312.0,12.8125
111,917504.0,9.6875
112,925696.0,15.3125
113,933888.0,16.875
114,942080.0,20.3125
115,950272.0,18.125
116,958464.0,13.75
117,966656.0,16.25
118,974848.0,19.0625
119,983040.0,19.6875
120,991232.0,13.75
121,999424.0,12.5
122,1007616.0,14.6875
123,1015808.0,20.0
124,1024000.0,17.8125
125,1032192.0,31.5625
126,1040384.0,24.6875
127,1048576.0,20.9375
128,1056768.0,18.75
129,1064960.0,20.625
130,1073152.0,15.3125
131,1081344.0,19.6875
132,1089536.0,20.0
133,1097728.0,20.0
134,1105920.0,15.9375
135,1114112.0,18.125
136,1122304.0,13.75
137,1130496.0,17.1875
138,1138688.0,15.3125
139,1146880.0,12.5
140,1155072.0,12.8125
141,1163264.0,14.375
142,1171456.0,15.9375
143,1179648.0,14.0625
144,1187840.0,10.0
145,1196032.0,11.5625
146,1204224.0,10.0
147,1212416.0,12.1875
148,1220608.0,10.9375
149,1228800.0,13.4375
150,1236992.0,13.125
151,1245184.0,12.8125
