,Step,Average_Reward
0,2048.0,0.0
1,4096.0,0.0
2,6144.0,0.625
3,8192.0,0.0
4,10240.0,0.625
5,12288.0,0.3125
6,14336.0,0.3125
7,16384.0,0.0
8,18432.0,0.0
9,20480.0,0.625
10,22528.0,0.0
11,24576.0,0.0
12,26624.0,0.0
13,28672.0,0.0
14,30720.0,0.625
15,32768.0,0.3125
16,34816.0,0.0
17,36864.0,0.3125
18,38912.0,0.3125
19,40960.0,0.0
20,43008.0,0.3125
21,45056.0,0.625
22,47104.0,0.3125
23,49152.0,0.0
24,51200.0,0.9375
25,53248.0,0.0
26,55296.0,0.3125
27,57344.0,0.3125
28,59392.0,0.3125
29,61440.0,0.0
30,63488.0,0.3125
31,65536.0,0.3125
32,67584.0,0.0
33,69632.0,0.625
34,71680.0,0.3125
35,73728.0,0.0
36,75776.0,0.0
37,77824.0,0.0
38,79872.0,0.9375
39,81920.0,0.3125
40,83968.0,0.9375
41,86016.0,0.0
42,88064.0,0.9375
43,90112.0,0.0
44,92160.0,0.3125
45,94208.0,0.0
46,96256.0,0.3125
47,98304.0,0.625
48,100352.0,0.0
49,102400.0,0.625
50,104448.0,0.9375
51,106496.0,1.875
52,108544.0,1.875
53,110592.0,0.625
54,112640.0,0.9375
55,114688.0,0.625
56,116736.0,0.3125
57,118784.0,0.3125
58,120832.0,0.0
59,122880.0,0.9375
60,124928.0,0.625
61,126976.0,1.875
62,129024.0,0.625
63,131072.0,0.9375
64,133120.0,3.4375
65,135168.0,2.5
66,137216.0,3.125
67,139264.0,1.5625
68,141312.0,0.625
69,143360.0,1.5625
70,145408.0,3.125
71,147456.0,0.0
72,149504.0,2.5
73,151552.0,1.875
74,153600.0,1.875
75,155648.0,1.5625
76,157696.0,3.125
77,159744.0,0.625
78,161792.0,1.875
79,163840.0,2.8125
80,165888.0,1.25
81,167936.0,3.4375
82,169984.0,3.125
83,172032.0,3.125
84,174080.0,2.1875
85,176128.0,1.25
86,178176.0,0.9375
87,180224.0,2.5
88,182272.0,0.625
89,184320.0,2.8125
90,186368.0,2.5
91,188416.0,2.5
92,190464.0,2.8125
93,192512.0,2.5
94,194560.0,3.75
95,196608.0,3.125
96,198656.0,3.75
97,200704.0,2.8125
98,202752.0,2.8125
99,204800.0,2.8125
100,206848.0,3.4375
101,208896.0,3.75
102,210944.0,1.5625
103,212992.0,4.0625
104,215040.0,4.6875
105,217088.0,3.75
106,219136.0,3.125
107,221184.0,3.75
108,223232.0,3.75
109,225280.0,3.75
110,227328.0,3.4375
111,229376.0,2.1875
112,231424.0,5.3125
113,233472.0,4.0625
114,235520.0,2.8125
115,237568.0,3.125
116,239616.0,4.0625
117,241664.0,4.375
118,243712.0,1.875
119,245760.0,5.625
120,247808.0,4.375
121,249856.0,5.0
122,251904.0,4.375
123,253952.0,5.0
124,256000.0,4.6875
125,258048.0,4.0625
126,260096.0,4.6875
127,262144.0,5.3125
128,264192.0,4.0625
129,266240.0,3.75
130,268288.0,4.6875
131,270336.0,4.0625
132,272384.0,3.125
133,274432.0,4.6875
134,276480.0,4.375
135,278528.0,5.0
136,280576.0,4.375
137,282624.0,4.6875
138,284672.0,6.25
139,286720.0,2.1875
140,288768.0,3.75
141,290816.0,5.0
142,292864.0,5.625
143,294912.0,2.8125
144,296960.0,4.6875
145,299008.0,5.3125
146,301056.0,4.0625
147,303104.0,4.375
148,305152.0,5.9375
149,307200.0,1.875
150,309248.0,3.4375
151,311296.0,4.6875
152,313344.0,3.125
153,315392.0,5.3125
154,317440.0,5.625
155,319488.0,5.625
156,321536.0,3.75
157,323584.0,6.5625
158,325632.0,5.625
159,327680.0,5.625
160,329728.0,5.3125
161,331776.0,4.6875
162,333824.0,4.375
163,335872.0,5.625
164,337920.0,5.3125
165,339968.0,4.0625
166,342016.0,6.5625
167,344064.0,6.875
168,346112.0,6.5625
169,348160.0,3.125
170,350208.0,5.0
171,352256.0,3.75
172,354304.0,3.75
173,356352.0,5.3125
174,358400.0,5.0
175,360448.0,4.375
176,362496.0,5.3125
177,364544.0,5.625
178,366592.0,6.875
179,368640.0,6.5625
180,370688.0,5.3125
181,372736.0,5.9375
182,374784.0,7.1875
183,376832.0,3.4375
184,378880.0,5.0
185,380928.0,5.0
186,382976.0,5.0
187,385024.0,4.6875
188,387072.0,6.25
189,389120.0,5.9375
190,391168.0,4.375
191,393216.0,5.625
192,395264.0,5.3125
193,397312.0,4.375
194,399360.0,7.5
195,401408.0,5.3125
196,403456.0,6.5625
197,405504.0,5.3125
198,407552.0,5.9375
199,409600.0,5.3125
200,411648.0,3.4375
201,413696.0,3.75
202,415744.0,5.625
203,417792.0,5.625
204,419840.0,4.375
205,421888.0,5.3125
206,423936.0,7.5
207,425984.0,5.3125
208,428032.0,4.0625
209,430080.0,7.1875
210,432128.0,5.625
211,434176.0,5.0
212,436224.0,6.25
213,438272.0,5.3125
214,440320.0,7.5
215,442368.0,4.6875
216,444416.0,4.6875
217,446464.0,7.5
218,448512.0,6.25
219,450560.0,5.0
220,452608.0,5.625
221,454656.0,5.625
222,456704.0,4.0625
