,Step,Average_Reward
0,8192.0,1.25
1,16384.0,0.9375
2,24576.0,0.9375
3,32768.0,0.625
4,40960.0,0.9375
5,49152.0,0.9375
6,57344.0,0.625
7,65536.0,2.8125
8,73728.0,2.5
9,81920.0,2.5
10,90112.0,0.9375
11,98304.0,1.25
12,106496.0,1.5625
13,114688.0,0.3125
14,122880.0,0.9375
15,131072.0,2.1875
16,139264.0,0.3125
17,147456.0,1.5625
18,155648.0,1.875
19,163840.0,1.5625
20,172032.0,1.875
21,180224.0,1.5625
22,188416.0,1.25
23,196608.0,0.9375
24,204800.0,1.25
25,212992.0,1.875
26,221184.0,1.25
27,229376.0,2.8125
28,237568.0,2.8125
29,245760.0,0.3125
30,253952.0,2.1875
31,262144.0,2.5
32,270336.0,3.125
33,278528.0,1.5625
34,286720.0,2.5
35,294912.0,0.9375
36,303104.0,2.1875
37,311296.0,2.8125
38,319488.0,1.875
39,327680.0,4.0625
40,335872.0,1.25
41,344064.0,3.4375
42,352256.0,2.5
43,360448.0,3.125
44,368640.0,3.75
45,376832.0,3.4375
46,385024.0,2.5
47,393216.0,2.8125
48,401408.0,3.125
49,409600.0,3.75
50,417792.0,2.8125
51,425984.0,1.875
52,434176.0,2.8125
53,442368.0,2.5
54,450560.0,4.0625
55,458752.0,1.25
56,466944.0,3.125
57,475136.0,3.4375
58,483328.0,2.5
59,491520.0,4.6875
60,499712.0,5.9375
61,507904.0,5.9375
62,516096.0,4.375
63,524288.0,4.375
64,532480.0,6.25
65,540672.0,8.125
66,548864.0,4.6875
67,557056.0,4.6875
68,565248.0,5.0
69,573440.0,8.125
70,581632.0,7.5
71,589824.0,6.25
72,598016.0,7.1875
73,606208.0,7.8125
74,614400.0,9.0625
75,622592.0,9.0625
76,630784.0,9.6875
77,638976.0,9.6875
78,647168.0,10.625
79,655360.0,10.3125
80,663552.0,11.5625
81,671744.0,9.0625
82,679936.0,14.0625
83,688128.0,11.25
84,696320.0,12.8125
85,704512.0,11.875
86,712704.0,10.625
87,720896.0,14.375
88,729088.0,12.8125
89,737280.0,16.25
90,745472.0,12.5
91,753664.0,14.6875
92,761856.0,16.875
93,770048.0,11.875
94,778240.0,15.625
95,786432.0,16.25
96,794624.0,13.125
97,802816.0,10.9375
98,811008.0,11.25
99,819200.0,15.0
100,827392.0,10.9375
101,835584.0,13.125
102,843776.0,11.25
103,851968.0,17.1875
104,860160.0,14.0625
105,868352.0,13.4375
106,876544.0,17.5
107,884736.0,10.3125
108,892928.0,12.8125
109,901120.0,13.75
110,909312.0,14.6875
111,917504.0,15.625
112,925696.0,15.625
113,933888.0,15.9375
114,942080.0,12.8125
115,950272.0,17.1875
116,958464.0,13.75
117,966656.0,15.0
118,974848.0,17.5
119,983040.0,16.5625
120,991232.0,15.9375
121,999424.0,19.375
122,1007616.0,11.5625
123,1015808.0,12.1875
124,1024000.0,10.0
125,1032192.0,15.0
126,1040384.0,15.9375
127,1048576.0,12.5
128,1056768.0,15.0
129,1064960.0,13.75
130,1073152.0,17.1875
131,1081344.0,12.5
132,1089536.0,15.9375
133,1097728.0,17.5
134,1105920.0,13.75
135,1114112.0,16.875
136,1122304.0,13.125
137,1130496.0,13.125
138,1138688.0,16.25
139,1146880.0,13.75
140,1155072.0,17.5
141,1163264.0,15.0
142,1171456.0,14.6875
143,1179648.0,17.1875
144,1187840.0,16.5625
145,1196032.0,17.8125
146,1204224.0,15.625
147,1212416.0,16.25
148,1220608.0,15.0
149,1228800.0,15.3125
150,1236992.0,16.5625
151,1245184.0,14.375
152,1253376.0,12.1875
153,1261568.0,13.125
154,1269760.0,17.1875
155,1277952.0,14.6875
156,1286144.0,14.0625
157,1294336.0,15.0
158,1302528.0,16.25
159,1310720.0,16.5625
160,1318912.0,16.5625
161,1327104.0,14.0625
162,1335296.0,17.1875
163,1343488.0,15.9375
164,1351680.0,13.125
165,1359872.0,17.5
166,1368064.0,20.3125
167,1376256.0,18.125
168,1384448.0,16.25
169,1392640.0,20.625
170,1400832.0,16.875
171,1409024.0,12.8125
172,1417216.0,19.0625
173,1425408.0,16.25
174,1433600.0,18.4375
175,1441792.0,17.5
176,1449984.0,16.5625
177,1458176.0,18.125
178,1466368.0,18.75
179,1474560.0,15.9375
180,1482752.0,15.0
181,1490944.0,16.5625
182,1499136.0,19.0625
183,1507328.0,15.3125
184,1515520.0,19.0625
185,1523712.0,17.5
186,1531904.0,15.9375
187,1540096.0,17.1875
188,1548288.0,17.8125
189,1556480.0,14.0625
190,1564672.0,14.6875
191,1572864.0,17.8125
192,1581056.0,15.625
193,1589248.0,14.0625
194,1597440.0,18.125
195,1605632.0,16.875
196,1613824.0,17.8125
197,1622016.0,17.1875
198,1630208.0,16.5625
199,1638400.0,18.75
200,1646592.0,15.3125
201,1654784.0,15.625
202,1662976.0,18.75
203,1671168.0,20.625
204,1679360.0,15.3125
205,1687552.0,19.6875
206,1695744.0,17.8125
207,1703936.0,17.8125
