,Step,Average_Reward
0,8192.0,1.25
1,16384.0,1.25
2,24576.0,1.875
3,32768.0,0.625
4,40960.0,1.25
5,49152.0,1.5625
6,57344.0,2.1875
7,65536.0,1.25
8,73728.0,0.9375
9,81920.0,2.1875
10,90112.0,3.125
11,98304.0,4.6875
12,106496.0,1.875
13,114688.0,5.3125
14,122880.0,3.125
15,131072.0,5.3125
16,139264.0,5.0
17,147456.0,5.3125
18,155648.0,9.0625
19,163840.0,9.0625
20,172032.0,12.8125
21,180224.0,9.6875
22,188416.0,12.1875
23,196608.0,12.5
24,204800.0,18.4375
25,212992.0,12.5
26,221184.0,19.375
27,229376.0,21.25
28,237568.0,19.6875
29,245760.0,20.9375
30,253952.0,18.75
31,262144.0,18.75
32,270336.0,16.875
33,278528.0,18.4375
34,286720.0,23.75
35,294912.0,19.0625
36,303104.0,21.5625
37,311296.0,21.875
38,319488.0,22.5
39,327680.0,18.75
40,335872.0,22.8125
41,344064.0,25.0
42,352256.0,19.6875
43,360448.0,19.6875
44,368640.0,20.625
45,376832.0,21.25
46,385024.0,24.0625
47,393216.0,20.3125
48,401408.0,19.6875
49,409600.0,17.8125
50,417792.0,22.1875
51,425984.0,26.25
52,434176.0,20.9375
53,442368.0,22.5
54,450560.0,16.5625
55,458752.0,20.625
56,466944.0,20.625
57,475136.0,23.75
58,483328.0,25.625
59,491520.0,21.875
60,499712.0,24.6875
61,507904.0,22.8125
62,516096.0,23.4375
63,524288.0,20.625
64,532480.0,24.375
65,540672.0,20.3125
66,548864.0,21.25
67,557056.0,22.5
68,565248.0,22.1875
69,573440.0,23.75
70,581632.0,23.4375
71,589824.0,24.0625
72,598016.0,24.0625
73,606208.0,22.1875
74,614400.0,23.125
75,622592.0,22.8125
76,630784.0,25.0
77,638976.0,23.4375
78,647168.0,21.875
79,655360.0,23.4375
80,663552.0,26.25
81,671744.0,26.25
82,679936.0,27.1875
83,688128.0,19.375
84,696320.0,27.1875
85,704512.0,27.8125
86,712704.0,21.5625
87,720896.0,22.5
88,729088.0,22.8125
89,737280.0,25.9375
90,745472.0,22.5
91,753664.0,23.75
92,761856.0,22.1875
93,770048.0,25.3125
94,778240.0,24.6875
95,786432.0,22.8125
96,794624.0,25.9375
97,802816.0,27.5
98,811008.0,24.6875
99,819200.0,24.0625
100,827392.0,24.0625
101,835584.0,22.1875
102,843776.0,21.5625
103,851968.0,26.25
104,860160.0,26.5625
105,868352.0,21.875
106,876544.0,25.0
107,884736.0,24.0625
108,892928.0,25.3125
109,901120.0,23.75
110,909312.0,20.0
111,917504.0,25.9375
112,925696.0,23.4375
113,933888.0,22.5
114,942080.0,23.75
115,950272.0,22.1875
116,958464.0,25.0
117,966656.0,25.9375
118,974848.0,27.5
119,983040.0,23.4375
120,991232.0,26.25
