,Step,Average_Reward
0,8192.0,1.25
1,16384.0,1.25
2,24576.0,0.3125
3,32768.0,1.5625
4,40960.0,1.5625
5,49152.0,2.1875
6,57344.0,1.875
7,65536.0,2.1875
8,73728.0,1.5625
9,81920.0,2.8125
10,90112.0,3.4375
11,98304.0,4.6875
12,106496.0,3.4375
13,114688.0,8.75
14,122880.0,7.1875
15,131072.0,7.5
16,139264.0,9.6875
17,147456.0,11.25
18,155648.0,12.8125
19,163840.0,12.5
20,172032.0,13.125
21,180224.0,14.375
22,188416.0,12.5
23,196608.0,16.25
24,204800.0,16.5625
25,212992.0,19.0625
26,221184.0,15.625
27,229376.0,16.5625
28,237568.0,19.375
29,245760.0,18.4375
30,253952.0,18.75
31,262144.0,17.5
32,270336.0,20.0
33,278528.0,15.9375
34,286720.0,20.625
35,294912.0,18.4375
36,303104.0,20.9375
37,311296.0,21.25
38,319488.0,22.8125
39,327680.0,19.375
40,335872.0,23.4375
41,344064.0,23.125
42,352256.0,22.5
43,360448.0,18.75
44,368640.0,18.4375
45,376832.0,19.6875
46,385024.0,18.75
47,393216.0,22.5
48,401408.0,20.3125
49,409600.0,20.9375
50,417792.0,22.1875
51,425984.0,22.8125
52,434176.0,19.0625
53,442368.0,25.0
54,450560.0,19.375
55,458752.0,21.5625
56,466944.0,21.875
57,475136.0,20.9375
58,483328.0,23.125
59,491520.0,24.375
60,499712.0,22.5
61,507904.0,25.3125
62,516096.0,25.0
63,524288.0,20.625
64,532480.0,24.375
65,540672.0,25.625
66,548864.0,25.3125
67,557056.0,22.5
68,565248.0,28.75
69,573440.0,20.0
70,581632.0,19.375
71,589824.0,26.875
72,598016.0,27.1875
73,606208.0,22.5
74,614400.0,23.75
75,622592.0,30.3125
76,630784.0,25.0
77,638976.0,23.75
78,647168.0,24.375
79,655360.0,22.8125
80,663552.0,23.75
81,671744.0,24.6875
82,679936.0,23.4375
83,688128.0,23.75
84,696320.0,22.8125
85,704512.0,24.375
86,712704.0,20.625
87,720896.0,23.4375
88,729088.0,25.625
89,737280.0,25.0
90,745472.0,28.125
91,753664.0,27.5
92,761856.0,25.9375
93,770048.0,25.0
94,778240.0,27.5
95,786432.0,26.875
96,794624.0,27.1875
97,802816.0,27.8125
98,811008.0,25.9375
99,819200.0,24.375
100,827392.0,24.6875
101,835584.0,30.625
102,843776.0,23.4375
103,851968.0,23.75
104,860160.0,23.4375
105,868352.0,23.75
106,876544.0,25.625
107,884736.0,22.1875
108,892928.0,23.4375
109,901120.0,23.75
110,909312.0,23.125
111,917504.0,22.5
112,925696.0,24.6875
113,933888.0,22.5
114,942080.0,23.125
115,950272.0,24.6875
116,958464.0,25.625
117,966656.0,22.8125
118,974848.0,27.1875
119,983040.0,26.25
120,991232.0,27.1875
121,999424.0,23.75
