,Step,Average_Reward
0,8192.0,1.25
1,16384.0,1.25
2,24576.0,0.3125
3,32768.0,0.9375
4,40960.0,1.875
5,49152.0,0.625
6,57344.0,2.5
7,65536.0,1.25
8,73728.0,1.875
9,81920.0,2.5
10,90112.0,1.875
11,98304.0,1.875
12,106496.0,3.4375
13,114688.0,5.3125
14,122880.0,5.9375
15,131072.0,8.125
16,139264.0,8.125
17,147456.0,7.5
18,155648.0,10.625
19,163840.0,7.8125
20,172032.0,12.5
21,180224.0,10.9375
22,188416.0,13.125
23,196608.0,13.75
24,204800.0,15.625
25,212992.0,15.625
26,221184.0,13.4375
27,229376.0,16.25
28,237568.0,15.3125
29,245760.0,14.6875
30,253952.0,19.375
31,262144.0,20.3125
32,270336.0,16.25
33,278528.0,20.0
34,286720.0,17.5
35,294912.0,16.5625
36,303104.0,20.0
37,311296.0,22.5
38,319488.0,18.125
39,327680.0,18.4375
40,335872.0,20.625
41,344064.0,23.75
42,352256.0,23.4375
43,360448.0,20.0
44,368640.0,20.3125
45,376832.0,23.4375
46,385024.0,23.75
47,393216.0,22.8125
48,401408.0,23.75
49,409600.0,21.5625
50,417792.0,21.875
51,425984.0,21.5625
52,434176.0,20.3125
53,442368.0,20.9375
54,450560.0,23.125
55,458752.0,21.25
56,466944.0,22.5
57,475136.0,25.625
58,483328.0,24.0625
59,491520.0,21.875
60,499712.0,24.375
61,507904.0,25.0
62,516096.0,20.3125
63,524288.0,21.5625
64,532480.0,24.0625
65,540672.0,21.25
66,548864.0,25.625
67,557056.0,25.625
68,565248.0,25.625
69,573440.0,23.75
70,581632.0,25.9375
71,589824.0,24.375
72,598016.0,22.5
73,606208.0,23.125
74,614400.0,25.625
75,622592.0,26.25
76,630784.0,29.375
77,638976.0,24.375
78,647168.0,21.875
79,655360.0,23.125
80,663552.0,25.625
81,671744.0,26.25
82,679936.0,24.0625
83,688128.0,25.0
84,696320.0,23.125
85,704512.0,25.9375
86,712704.0,24.0625
87,720896.0,24.375
88,729088.0,26.5625
89,737280.0,27.8125
90,745472.0,26.25
91,753664.0,22.5
92,761856.0,27.5
93,770048.0,22.5
94,778240.0,25.9375
95,786432.0,26.5625
96,794624.0,29.6875
97,802816.0,23.4375
98,811008.0,25.625
99,819200.0,26.25
100,827392.0,25.0
101,835584.0,26.25
102,843776.0,26.875
103,851968.0,27.5
104,860160.0,28.125
105,868352.0,25.625
106,876544.0,26.875
107,884736.0,23.4375
108,892928.0,27.5
109,901120.0,29.0625
110,909312.0,26.5625
111,917504.0,23.4375
112,925696.0,24.0625
113,933888.0,26.875
114,942080.0,25.3125
115,950272.0,23.75
116,958464.0,27.8125
117,966656.0,27.8125
118,974848.0,29.6875
119,983040.0,26.5625
120,991232.0,27.8125
121,999424.0,25.9375
122,1007616.0,29.0625
