,Step,Average_Reward
0,8192.0,0.625
1,16384.0,1.25
2,24576.0,1.25
3,32768.0,0.9375
4,40960.0,2.5
5,49152.0,2.1875
6,57344.0,2.1875
7,65536.0,0.9375
8,73728.0,0.625
9,81920.0,2.5
10,90112.0,1.875
11,98304.0,2.1875
12,106496.0,1.5625
13,114688.0,0.9375
14,122880.0,1.875
15,131072.0,0.9375
16,139264.0,1.25
17,147456.0,0.625
18,155648.0,2.1875
19,163840.0,0.9375
20,172032.0,0.9375
21,180224.0,2.1875
22,188416.0,1.25
23,196608.0,4.0625
24,204800.0,3.75
25,212992.0,3.125
26,221184.0,2.5
27,229376.0,0.9375
28,237568.0,2.5
29,245760.0,3.4375
30,253952.0,4.0625
31,262144.0,2.1875
32,270336.0,2.1875
33,278528.0,1.875
34,286720.0,2.8125
35,294912.0,3.75
36,303104.0,1.5625
37,311296.0,4.375
38,319488.0,1.875
39,327680.0,1.875
40,335872.0,2.1875
41,344064.0,3.125
42,352256.0,4.375
43,360448.0,3.4375
44,368640.0,6.5625
45,376832.0,2.1875
46,385024.0,1.5625
47,393216.0,3.75
48,401408.0,6.5625
49,409600.0,2.5
50,417792.0,1.875
51,425984.0,5.0
52,434176.0,3.125
53,442368.0,7.1875
54,450560.0,4.6875
55,458752.0,3.125
56,466944.0,2.1875
57,475136.0,5.9375
58,483328.0,3.4375
59,491520.0,3.4375
60,499712.0,5.3125
61,507904.0,4.375
62,516096.0,7.1875
63,524288.0,2.8125
64,532480.0,3.75
65,540672.0,5.0
66,548864.0,4.375
67,557056.0,3.75
68,565248.0,5.3125
69,573440.0,4.375
70,581632.0,3.4375
71,589824.0,5.9375
72,598016.0,5.9375
73,606208.0,6.875
74,614400.0,2.5
75,622592.0,4.375
76,630784.0,4.6875
77,638976.0,4.375
78,647168.0,6.5625
79,655360.0,8.125
80,663552.0,3.4375
81,671744.0,3.4375
82,679936.0,6.875
83,688128.0,4.0625
84,696320.0,7.1875
85,704512.0,5.0
86,712704.0,5.0
87,720896.0,6.875
88,729088.0,4.6875
89,737280.0,6.5625
90,745472.0,5.0
91,753664.0,5.9375
92,761856.0,5.625
93,770048.0,6.5625
94,778240.0,5.9375
95,786432.0,5.0
96,794624.0,5.9375
97,802816.0,3.75
98,811008.0,8.75
99,819200.0,4.0625
100,827392.0,5.0
101,835584.0,5.3125
102,843776.0,5.3125
103,851968.0,6.25
104,860160.0,7.1875
105,868352.0,6.5625
106,876544.0,5.9375
107,884736.0,9.0625
108,892928.0,7.5
109,901120.0,9.375
110,909312.0,5.3125
111,917504.0,8.125
112,925696.0,6.5625
113,933888.0,6.5625
114,942080.0,5.3125
115,950272.0,7.1875
116,958464.0,7.8125
117,966656.0,7.5
118,974848.0,9.375
119,983040.0,8.4375
120,991232.0,8.4375
121,999424.0,5.3125
122,1007616.0,6.25
123,1015808.0,5.0
124,1024000.0,12.5
125,1032192.0,5.0
126,1040384.0,9.0625
127,1048576.0,9.375
128,1056768.0,7.5
129,1064960.0,8.125
130,1073152.0,5.625
131,1081344.0,10.0
132,1089536.0,9.375
133,1097728.0,7.8125
134,1105920.0,8.125
135,1114112.0,8.125
136,1122304.0,9.375
137,1130496.0,11.5625
138,1138688.0,6.5625
139,1146880.0,8.125
140,1155072.0,8.4375
141,1163264.0,9.0625
142,1171456.0,8.125
143,1179648.0,8.125
144,1187840.0,9.375
145,1196032.0,10.9375
146,1204224.0,10.9375
147,1212416.0,13.4375
148,1220608.0,9.0625
149,1228800.0,11.875
150,1236992.0,13.125
