,Step,Average_Reward
0,8192.0,0.625
1,16384.0,0.625
2,24576.0,2.1875
3,32768.0,1.875
4,40960.0,0.625
5,49152.0,1.5625
6,57344.0,1.25
7,65536.0,1.5625
8,73728.0,1.875
9,81920.0,4.375
10,90112.0,4.375
11,98304.0,7.5
12,106496.0,9.6875
13,114688.0,8.75
14,122880.0,11.875
15,131072.0,10.9375
16,139264.0,13.125
17,147456.0,17.1875
18,155648.0,14.0625
19,163840.0,15.625
20,172032.0,12.1875
21,180224.0,14.375
22,188416.0,15.0
23,196608.0,17.1875
24,204800.0,15.0
25,212992.0,18.125
26,221184.0,20.625
27,229376.0,19.0625
28,237568.0,18.125
29,245760.0,16.5625
30,253952.0,21.5625
31,262144.0,21.5625
32,270336.0,19.6875
33,278528.0,19.375
34,286720.0,20.0
35,294912.0,20.9375
36,303104.0,20.625
37,311296.0,24.375
38,319488.0,20.3125
39,327680.0,23.125
40,335872.0,20.0
41,344064.0,24.6875
42,352256.0,22.8125
43,360448.0,21.25
44,368640.0,20.625
45,376832.0,23.125
46,385024.0,20.0
47,393216.0,23.75
48,401408.0,19.375
49,409600.0,24.6875
50,417792.0,25.3125
51,425984.0,20.9375
52,434176.0,20.625
53,442368.0,22.5
54,450560.0,21.25
55,458752.0,18.4375
56,466944.0,22.1875
57,475136.0,19.6875
58,483328.0,25.0
59,491520.0,23.125
60,499712.0,27.1875
61,507904.0,19.375
62,516096.0,21.25
63,524288.0,25.0
64,532480.0,22.1875
65,540672.0,22.5
66,548864.0,22.8125
67,557056.0,21.25
68,565248.0,25.625
69,573440.0,22.1875
70,581632.0,24.0625
71,589824.0,24.375
72,598016.0,26.5625
73,606208.0,26.875
74,614400.0,25.3125
75,622592.0,24.375
76,630784.0,25.9375
77,638976.0,27.8125
78,647168.0,24.6875
79,655360.0,26.25
80,663552.0,26.25
81,671744.0,25.0
82,679936.0,24.375
83,688128.0,23.75
84,696320.0,24.6875
85,704512.0,22.8125
86,712704.0,26.875
87,720896.0,24.375
88,729088.0,25.625
89,737280.0,24.6875
90,745472.0,23.4375
91,753664.0,25.0
92,761856.0,26.5625
