,Step,Average_Reward
0,8192.0,1.25
1,16384.0,1.25
2,24576.0,1.875
3,32768.0,0.625
4,40960.0,1.5625
5,49152.0,1.25
6,57344.0,1.875
7,65536.0,0.3125
8,73728.0,1.875
9,81920.0,2.5
10,90112.0,0.9375
11,98304.0,1.5625
12,106496.0,0.625
13,114688.0,2.1875
14,122880.0,1.25
15,131072.0,1.5625
16,139264.0,1.875
17,147456.0,1.875
18,155648.0,1.25
19,163840.0,2.5
20,172032.0,1.25
21,180224.0,1.25
22,188416.0,0.9375
23,196608.0,1.5625
24,204800.0,1.5625
25,212992.0,1.875
26,221184.0,2.8125
27,229376.0,0.9375
28,237568.0,1.25
29,245760.0,2.5
30,253952.0,3.125
31,262144.0,2.5
32,270336.0,2.8125
33,278528.0,2.5
34,286720.0,1.875
35,294912.0,2.1875
36,303104.0,3.4375
37,311296.0,4.375
38,319488.0,3.75
39,327680.0,2.5
40,335872.0,2.1875
41,344064.0,1.875
42,352256.0,4.0625
43,360448.0,4.375
44,368640.0,1.5625
45,376832.0,4.0625
46,385024.0,3.75
47,393216.0,1.5625
48,401408.0,2.5
49,409600.0,1.5625
50,417792.0,0.625
51,425984.0,3.75
52,434176.0,3.75
53,442368.0,1.875
54,450560.0,4.0625
55,458752.0,3.75
56,466944.0,1.25
57,475136.0,3.75
58,483328.0,3.125
59,491520.0,4.0625
60,499712.0,3.125
61,507904.0,3.125
62,516096.0,3.75
63,524288.0,4.6875
64,532480.0,2.8125
65,540672.0,3.4375
66,548864.0,2.1875
67,557056.0,3.125
68,565248.0,2.8125
69,573440.0,3.125
70,581632.0,4.6875
71,589824.0,4.375
72,598016.0,5.625
73,606208.0,3.75
74,614400.0,3.125
75,622592.0,3.4375
76,630784.0,3.4375
77,638976.0,1.875
78,647168.0,3.125
79,655360.0,4.375
80,663552.0,5.0
81,671744.0,4.0625
82,679936.0,3.125
83,688128.0,4.0625
84,696320.0,4.0625
85,704512.0,4.6875
86,712704.0,6.25
87,720896.0,4.6875
88,729088.0,5.3125
89,737280.0,2.1875
90,745472.0,2.8125
91,753664.0,4.375
92,761856.0,4.375
93,770048.0,3.75
94,778240.0,5.9375
95,786432.0,3.4375
96,794624.0,3.125
97,802816.0,3.4375
98,811008.0,3.75
99,819200.0,2.5
100,827392.0,4.6875
101,835584.0,6.875
102,843776.0,4.0625
103,851968.0,3.75
104,860160.0,4.0625
105,868352.0,5.625
106,876544.0,4.375
107,884736.0,5.625
108,892928.0,3.75
109,901120.0,4.375
110,909312.0,4.0625
111,917504.0,3.4375
112,925696.0,5.3125
113,933888.0,5.3125
114,942080.0,5.9375
115,950272.0,4.6875
116,958464.0,6.25
117,966656.0,4.0625
118,974848.0,6.25
119,983040.0,5.3125
120,991232.0,3.125
121,999424.0,5.3125
