,Step,Average_Reward
0,8192.0,1.25
1,16384.0,0.9375
2,24576.0,1.5625
3,32768.0,0.3125
4,40960.0,0.625
5,49152.0,1.875
6,57344.0,1.5625
7,65536.0,1.875
8,73728.0,2.5
9,81920.0,1.5625
10,90112.0,2.1875
11,98304.0,1.875
12,106496.0,1.5625
13,114688.0,1.25
14,122880.0,1.875
15,131072.0,0.9375
16,139264.0,0.3125
17,147456.0,0.9375
18,155648.0,2.1875
19,163840.0,3.125
20,172032.0,1.5625
21,180224.0,1.25
22,188416.0,1.5625
23,196608.0,1.25
24,204800.0,1.5625
25,212992.0,2.1875
26,221184.0,1.875
27,229376.0,3.125
28,237568.0,1.25
29,245760.0,2.5
30,253952.0,2.8125
31,262144.0,1.25
32,270336.0,1.5625
33,278528.0,1.5625
34,286720.0,2.8125
35,294912.0,2.5
36,303104.0,2.1875
37,311296.0,0.9375
38,319488.0,1.875
39,327680.0,2.8125
40,335872.0,0.9375
41,344064.0,3.75
42,352256.0,2.1875
43,360448.0,1.875
44,368640.0,3.4375
45,376832.0,2.8125
46,385024.0,3.4375
47,393216.0,2.8125
48,401408.0,2.1875
49,409600.0,2.8125
50,417792.0,2.5
51,425984.0,1.25
52,434176.0,1.875
53,442368.0,3.4375
54,450560.0,4.6875
55,458752.0,0.9375
56,466944.0,2.1875
57,475136.0,2.8125
58,483328.0,1.875
59,491520.0,6.25
60,499712.0,2.8125
61,507904.0,1.25
62,516096.0,3.125
63,524288.0,3.75
64,532480.0,3.75
65,540672.0,3.125
66,548864.0,4.375
67,557056.0,6.5625
68,565248.0,5.3125
69,573440.0,1.875
70,581632.0,3.4375
71,589824.0,3.4375
72,598016.0,3.75
73,606208.0,4.6875
74,614400.0,3.125
75,622592.0,2.8125
76,630784.0,3.4375
77,638976.0,2.1875
78,647168.0,3.75
79,655360.0,2.5
80,663552.0,5.3125
81,671744.0,5.0
82,679936.0,2.5
83,688128.0,5.0
84,696320.0,5.0
85,704512.0,4.6875
86,712704.0,2.5
87,720896.0,4.375
88,729088.0,5.3125
89,737280.0,6.5625
90,745472.0,3.125
91,753664.0,3.75
92,761856.0,4.375
93,770048.0,5.625
94,778240.0,5.625
95,786432.0,3.4375
96,794624.0,4.375
97,802816.0,5.9375
98,811008.0,5.3125
99,819200.0,3.75
100,827392.0,3.125
101,835584.0,5.0
102,843776.0,6.5625
103,851968.0,4.6875
104,860160.0,3.75
105,868352.0,6.25
106,876544.0,4.375
107,884736.0,2.5
108,892928.0,3.4375
109,901120.0,6.875
110,909312.0,6.25
111,917504.0,5.3125
112,925696.0,5.625
113,933888.0,4.0625
114,942080.0,5.0
115,950272.0,3.4375
116,958464.0,4.6875
117,966656.0,6.25
118,974848.0,5.9375
119,983040.0,4.6875
120,991232.0,3.4375
121,999424.0,5.625
122,1007616.0,7.1875
123,1015808.0,5.3125
124,1024000.0,7.1875
125,1032192.0,4.375
126,1040384.0,6.875
127,1048576.0,5.9375
128,1056768.0,4.0625
129,1064960.0,5.3125
130,1073152.0,3.4375
131,1081344.0,5.0
132,1089536.0,3.75
133,1097728.0,5.9375
134,1105920.0,5.0
135,1114112.0,5.9375
136,1122304.0,6.25
137,1130496.0,5.9375
138,1138688.0,3.4375
139,1146880.0,7.8125
140,1155072.0,6.875
141,1163264.0,5.3125
142,1171456.0,4.375
143,1179648.0,5.625
144,1187840.0,7.1875
145,1196032.0,5.3125
146,1204224.0,6.25
147,1212416.0,4.375
148,1220608.0,6.25
149,1228800.0,4.6875
150,1236992.0,7.8125
151,1245184.0,7.8125
152,1253376.0,5.9375
153,1261568.0,6.25
154,1269760.0,8.4375
155,1277952.0,6.5625
156,1286144.0,6.875
157,1294336.0,4.6875
158,1302528.0,5.9375
159,1310720.0,8.4375
160,1318912.0,7.5
161,1327104.0,6.5625
162,1335296.0,5.0
163,1343488.0,4.6875
164,1351680.0,5.625
165,1359872.0,5.625
166,1368064.0,5.625
167,1376256.0,6.25
168,1384448.0,6.875
169,1392640.0,8.75
170,1400832.0,9.0625
171,1409024.0,5.3125
172,1417216.0,9.6875
173,1425408.0,9.0625
174,1433600.0,5.3125
175,1441792.0,8.4375
176,1449984.0,6.875
177,1458176.0,6.5625
178,1466368.0,8.4375
179,1474560.0,5.9375
180,1482752.0,9.6875
181,1490944.0,6.25
182,1499136.0,7.8125
183,1507328.0,8.125
184,1515520.0,6.25
185,1523712.0,7.5
186,1531904.0,8.75
187,1540096.0,8.4375
188,1548288.0,6.875
189,1556480.0,7.5
190,1564672.0,6.5625
191,1572864.0,4.6875
192,1581056.0,5.0
193,1589248.0,6.875
194,1597440.0,6.5625
195,1605632.0,7.8125
196,1613824.0,9.6875
197,1622016.0,10.625
198,1630208.0,9.375
199,1638400.0,7.5
200,1646592.0,6.25
201,1654784.0,6.875
202,1662976.0,6.875
203,1671168.0,9.6875
204,1679360.0,6.25
205,1687552.0,7.5
206,1695744.0,9.0625
207,1703936.0,9.375
