,Step,Average_Reward
0,8192.0,0.9375
1,16384.0,1.5625
2,24576.0,1.875
3,32768.0,0.9375
4,40960.0,0.625
5,49152.0,1.5625
6,57344.0,2.5
7,65536.0,1.25
8,73728.0,1.5625
9,81920.0,1.875
10,90112.0,3.4375
11,98304.0,2.8125
12,106496.0,2.8125
13,114688.0,2.1875
14,122880.0,2.1875
15,131072.0,3.125
16,139264.0,2.5
17,147456.0,3.125
18,155648.0,1.25
19,163840.0,2.1875
20,172032.0,3.4375
21,180224.0,2.1875
22,188416.0,2.1875
23,196608.0,3.125
24,204800.0,3.125
25,212992.0,3.75
26,221184.0,1.875
27,229376.0,1.5625
28,237568.0,2.8125
29,245760.0,3.75
30,253952.0,4.0625
31,262144.0,2.5
32,270336.0,2.8125
33,278528.0,2.8125
34,286720.0,3.75
35,294912.0,2.8125
36,303104.0,5.625
37,311296.0,4.6875
38,319488.0,3.4375
39,327680.0,5.0
40,335872.0,4.6875
41,344064.0,4.0625
42,352256.0,3.4375
43,360448.0,3.75
44,368640.0,4.6875
45,376832.0,6.25
46,385024.0,3.4375
47,393216.0,5.625
48,401408.0,6.5625
49,409600.0,5.625
50,417792.0,6.875
51,425984.0,7.1875
52,434176.0,7.8125
53,442368.0,7.5
54,450560.0,5.625
55,458752.0,7.5
56,466944.0,5.625
57,475136.0,6.25
58,483328.0,7.1875
59,491520.0,5.9375
60,499712.0,7.1875
61,507904.0,7.8125
62,516096.0,9.6875
63,524288.0,9.0625
64,532480.0,7.1875
65,540672.0,4.6875
66,548864.0,5.3125
67,557056.0,5.3125
68,565248.0,6.875
69,573440.0,8.75
70,581632.0,4.6875
71,589824.0,8.75
72,598016.0,7.1875
73,606208.0,8.125
74,614400.0,7.1875
75,622592.0,10.0
76,630784.0,11.25
77,638976.0,5.3125
78,647168.0,9.0625
79,655360.0,9.6875
80,663552.0,6.875
81,671744.0,8.4375
82,679936.0,8.75
83,688128.0,9.0625
84,696320.0,10.9375
85,704512.0,6.25
86,712704.0,7.1875
87,720896.0,10.0
88,729088.0,5.9375
89,737280.0,9.0625
90,745472.0,7.8125
91,753664.0,9.6875
92,761856.0,6.5625
93,770048.0,8.4375
94,778240.0,7.5
95,786432.0,8.125
96,794624.0,9.0625
97,802816.0,9.375
98,811008.0,8.4375
99,819200.0,7.8125
100,827392.0,14.375
101,835584.0,11.875
102,843776.0,9.375
103,851968.0,12.1875
104,860160.0,8.125
105,868352.0,11.875
106,876544.0,11.25
107,884736.0,8.75
108,892928.0,12.5
109,901120.0,10.9375
110,909312.0,10.3125
111,917504.0,9.6875
112,925696.0,12.1875
113,933888.0,10.9375
114,942080.0,10.3125
115,950272.0,7.5
116,958464.0,7.5
117,966656.0,9.6875
118,974848.0,12.5
119,983040.0,9.375
120,991232.0,9.6875
121,999424.0,11.875
122,1007616.0,14.0625
123,1015808.0,11.5625
124,1024000.0,11.5625
125,1032192.0,10.9375
126,1040384.0,13.125
127,1048576.0,12.5
128,1056768.0,13.75
129,1064960.0,10.0
130,1073152.0,14.375
131,1081344.0,14.375
132,1089536.0,11.875
133,1097728.0,11.875
134,1105920.0,10.9375
135,1114112.0,11.5625
136,1122304.0,12.8125
137,1130496.0,11.25
138,1138688.0,10.9375
139,1146880.0,12.5
140,1155072.0,12.5
141,1163264.0,8.75
142,1171456.0,11.25
143,1179648.0,13.4375
144,1187840.0,13.125
145,1196032.0,11.25
146,1204224.0,10.625
147,1212416.0,6.875
148,1220608.0,9.375
149,1228800.0,11.5625
150,1236992.0,13.125
151,1245184.0,7.1875
