,Step,Average_Reward
0,8192.0,0.9375
1,16384.0,1.5625
2,24576.0,0.625
3,32768.0,0.0
4,40960.0,0.625
5,49152.0,0.3125
6,57344.0,3.125
7,65536.0,1.5625
8,73728.0,2.8125
9,81920.0,1.5625
10,90112.0,1.25
11,98304.0,1.5625
12,106496.0,2.5
13,114688.0,6.25
14,122880.0,5.3125
15,131072.0,7.1875
16,139264.0,7.5
17,147456.0,10.3125
18,155648.0,11.875
19,163840.0,12.5
20,172032.0,11.5625
21,180224.0,10.9375
22,188416.0,13.4375
23,196608.0,15.625
24,204800.0,14.6875
25,212992.0,19.0625
26,221184.0,16.5625
27,229376.0,19.375
28,237568.0,16.875
29,245760.0,22.5
30,253952.0,18.4375
31,262144.0,19.375
32,270336.0,22.8125
33,278528.0,17.1875
34,286720.0,21.875
35,294912.0,16.25
36,303104.0,22.1875
37,311296.0,20.625
38,319488.0,24.0625
39,327680.0,22.1875
40,335872.0,19.375
41,344064.0,22.8125
42,352256.0,22.1875
43,360448.0,21.5625
44,368640.0,25.9375
45,376832.0,19.0625
46,385024.0,22.8125
47,393216.0,21.5625
48,401408.0,20.625
49,409600.0,22.5
50,417792.0,24.0625
51,425984.0,23.125
52,434176.0,21.5625
53,442368.0,23.75
54,450560.0,21.875
55,458752.0,23.125
56,466944.0,24.375
57,475136.0,20.0
58,483328.0,20.9375
59,491520.0,24.375
60,499712.0,24.6875
61,507904.0,22.8125
62,516096.0,22.8125
63,524288.0,23.125
64,532480.0,23.4375
65,540672.0,23.75
66,548864.0,22.5
67,557056.0,26.25
68,565248.0,23.4375
69,573440.0,23.125
70,581632.0,23.75
71,589824.0,26.25
72,598016.0,24.0625
73,606208.0,25.625
74,614400.0,23.75
75,622592.0,28.125
76,630784.0,20.9375
77,638976.0,22.8125
78,647168.0,24.0625
79,655360.0,25.0
80,663552.0,25.9375
81,671744.0,21.875
82,679936.0,24.6875
83,688128.0,24.6875
84,696320.0,24.6875
85,704512.0,26.25
86,712704.0,25.0
87,720896.0,25.625
88,729088.0,23.75
89,737280.0,24.6875
90,745472.0,23.4375
91,753664.0,29.6875
92,761856.0,24.0625
93,770048.0,27.5
94,778240.0,24.0625
95,786432.0,24.6875
96,794624.0,25.625
97,802816.0,25.0
98,811008.0,24.6875
99,819200.0,25.0
100,827392.0,26.875
101,835584.0,22.1875
102,843776.0,27.1875
103,851968.0,25.9375
104,860160.0,24.6875
105,868352.0,26.875
106,876544.0,25.3125
107,884736.0,26.5625
108,892928.0,25.0
109,901120.0,24.375
110,909312.0,27.8125
111,917504.0,25.3125
112,925696.0,24.6875
113,933888.0,25.625
114,942080.0,25.9375
115,950272.0,28.75
116,958464.0,25.9375
117,966656.0,26.5625
118,974848.0,27.1875
119,983040.0,25.3125
120,991232.0,30.0
121,999424.0,25.0
122,1007616.0,25.9375
123,1015808.0,22.8125
124,1024000.0,25.3125
125,1032192.0,25.9375
126,1040384.0,25.625
127,1048576.0,30.3125
128,1056768.0,25.625
129,1064960.0,25.9375
130,1073152.0,25.625
131,1081344.0,24.0625
132,1089536.0,28.75
133,1097728.0,26.875
134,1105920.0,24.6875
135,1114112.0,24.0625
136,1122304.0,26.25
137,1130496.0,27.1875
138,1138688.0,24.0625
139,1146880.0,27.8125
140,1155072.0,27.1875
141,1163264.0,28.4375
142,1171456.0,25.9375
143,1179648.0,27.5
144,1187840.0,28.75
145,1196032.0,26.5625
146,1204224.0,29.0625
147,1212416.0,26.25
148,1220608.0,27.5
149,1228800.0,28.4375
150,1236992.0,28.125
151,1245184.0,28.125
