,Step,Average_Reward
0,4096.0,0.0
1,8192.0,0.3125
2,12288.0,0.625
3,16384.0,0.625
4,20480.0,0.0
5,24576.0,0.3125
6,28672.0,0.3125
7,32768.0,0.625
8,36864.0,0.9375
9,40960.0,0.625
10,45056.0,1.25
11,49152.0,0.3125
12,53248.0,0.9375
13,57344.0,0.625
14,61440.0,0.9375
15,65536.0,0.0
16,69632.0,0.9375
17,73728.0,0.3125
18,77824.0,0.625
19,81920.0,0.625
20,86016.0,0.9375
21,90112.0,0.625
22,94208.0,0.625
23,98304.0,0.9375
24,102400.0,0.625
25,106496.0,0.3125
26,110592.0,0.3125
27,114688.0,1.5625
28,118784.0,0.625
29,122880.0,0.625
30,126976.0,1.5625
31,131072.0,0.625
32,135168.0,0.3125
33,139264.0,0.625
34,143360.0,0.9375
35,147456.0,0.625
36,151552.0,1.25
37,155648.0,1.25
38,159744.0,0.9375
39,163840.0,1.5625
40,167936.0,0.625
41,172032.0,0.3125
42,176128.0,1.875
43,180224.0,0.625
44,184320.0,0.625
45,188416.0,0.625
46,192512.0,1.25
47,196608.0,0.9375
48,200704.0,1.25
49,204800.0,1.25
50,208896.0,0.625
51,212992.0,0.9375
52,217088.0,1.25
53,221184.0,0.9375
54,225280.0,1.25
55,229376.0,1.25
56,233472.0,1.5625
57,237568.0,1.875
58,241664.0,1.25
59,245760.0,1.25
60,249856.0,0.9375
61,253952.0,3.4375
62,258048.0,1.25
63,262144.0,2.5
64,266240.0,2.5
65,270336.0,1.25
66,274432.0,0.9375
67,278528.0,2.5
68,282624.0,3.125
69,286720.0,2.1875
70,290816.0,2.5
71,294912.0,4.0625
72,299008.0,2.1875
73,303104.0,1.5625
74,307200.0,3.75
75,311296.0,2.5
76,315392.0,2.8125
77,319488.0,5.0
78,323584.0,3.75
79,327680.0,3.125
80,331776.0,3.4375
81,335872.0,2.8125
82,339968.0,2.8125
83,344064.0,3.75
84,348160.0,4.375
85,352256.0,3.4375
86,356352.0,3.75
87,360448.0,3.75
88,364544.0,5.625
89,368640.0,2.5
