,Step,Average_Reward
0,8192.0,0.9375
1,16384.0,0.3125
2,24576.0,0.625
3,32768.0,1.5625
4,40960.0,0.3125
5,49152.0,0.3125
6,57344.0,0.625
7,65536.0,1.5625
8,73728.0,1.5625
9,81920.0,2.8125
10,90112.0,2.1875
11,98304.0,4.0625
12,106496.0,3.125
13,114688.0,5.0
14,122880.0,7.1875
15,131072.0,3.75
16,139264.0,8.75
17,147456.0,5.9375
18,155648.0,9.375
19,163840.0,9.375
20,172032.0,11.5625
21,180224.0,10.9375
22,188416.0,13.4375
23,196608.0,12.5
24,204800.0,16.25
25,212992.0,14.6875
26,221184.0,18.4375
27,229376.0,17.1875
28,237568.0,18.4375
29,245760.0,18.125
30,253952.0,17.1875
31,262144.0,17.5
32,270336.0,20.0
33,278528.0,19.375
34,286720.0,19.0625
35,294912.0,19.375
36,303104.0,21.25
37,311296.0,18.125
38,319488.0,19.375
39,327680.0,24.0625
40,335872.0,20.0
41,344064.0,18.125
42,352256.0,22.1875
43,360448.0,20.9375
44,368640.0,22.5
45,376832.0,23.4375
46,385024.0,22.1875
47,393216.0,22.1875
48,401408.0,21.25
49,409600.0,19.375
50,417792.0,25.625
51,425984.0,24.0625
52,434176.0,20.0
53,442368.0,20.3125
54,450560.0,24.0625
55,458752.0,21.25
56,466944.0,21.5625
57,475136.0,21.875
58,483328.0,25.625
59,491520.0,20.625
60,499712.0,23.4375
61,507904.0,25.625
62,516096.0,22.8125
63,524288.0,20.3125
64,532480.0,23.75
65,540672.0,22.1875
66,548864.0,20.9375
67,557056.0,19.6875
68,565248.0,18.75
69,573440.0,23.125
70,581632.0,22.1875
71,589824.0,22.8125
72,598016.0,24.0625
73,606208.0,20.0
74,614400.0,22.8125
75,622592.0,23.75
76,630784.0,23.125
77,638976.0,22.8125
78,647168.0,24.6875
79,655360.0,26.5625
80,663552.0,24.6875
81,671744.0,22.5
82,679936.0,23.125
83,688128.0,19.0625
84,696320.0,21.875
85,704512.0,23.125
86,712704.0,21.875
87,720896.0,26.875
88,729088.0,24.0625
89,737280.0,23.125
90,745472.0,23.125
91,753664.0,22.8125
92,761856.0,24.6875
93,770048.0,25.9375
94,778240.0,20.0
95,786432.0,20.9375
96,794624.0,25.9375
97,802816.0,27.1875
98,811008.0,22.8125
99,819200.0,20.625
100,827392.0,23.4375
101,835584.0,25.3125
102,843776.0,23.75
103,851968.0,25.625
104,860160.0,25.625
105,868352.0,20.625
106,876544.0,26.5625
107,884736.0,25.3125
108,892928.0,27.5
109,901120.0,26.25
110,909312.0,25.3125
111,917504.0,23.4375
112,925696.0,25.0
113,933888.0,19.375
114,942080.0,23.125
115,950272.0,27.1875
116,958464.0,22.8125
117,966656.0,27.1875
118,974848.0,23.125
119,983040.0,23.4375
120,991232.0,20.9375
121,999424.0,25.3125
122,1007616.0,26.875
123,1015808.0,24.0625
124,1024000.0,26.5625
125,1032192.0,26.5625
126,1040384.0,21.875
127,1048576.0,22.1875
128,1056768.0,23.125
129,1064960.0,23.125
130,1073152.0,25.3125
131,1081344.0,26.5625
132,1089536.0,23.75
133,1097728.0,20.625
134,1105920.0,22.5
135,1114112.0,25.625
136,1122304.0,24.0625
137,1130496.0,21.5625
138,1138688.0,24.6875
139,1146880.0,21.25
140,1155072.0,24.0625
141,1163264.0,24.375
142,1171456.0,25.625
143,1179648.0,22.1875
144,1187840.0,25.3125
