,Step,Average_Reward
0,8192.0,0.0
1,16384.0,1.5625
2,24576.0,1.5625
3,32768.0,0.9375
4,40960.0,0.9375
5,49152.0,1.5625
6,57344.0,0.625
7,65536.0,1.875
8,73728.0,0.625
9,81920.0,1.875
10,90112.0,1.875
11,98304.0,1.25
12,106496.0,3.125
13,114688.0,0.625
14,122880.0,1.5625
15,131072.0,1.5625
16,139264.0,1.875
17,147456.0,0.625
18,155648.0,2.8125
19,163840.0,2.5
20,172032.0,1.25
21,180224.0,2.5
22,188416.0,2.8125
23,196608.0,1.875
24,204800.0,2.5
25,212992.0,4.0625
26,221184.0,3.75
27,229376.0,4.6875
28,237568.0,5.3125
29,245760.0,5.9375
30,253952.0,5.3125
31,262144.0,5.0
32,270336.0,6.875
33,278528.0,4.6875
34,286720.0,7.8125
35,294912.0,6.5625
36,303104.0,9.6875
37,311296.0,9.0625
38,319488.0,10.0
39,327680.0,11.875
40,335872.0,12.5
41,344064.0,11.875
42,352256.0,9.6875
43,360448.0,10.0
44,368640.0,9.6875
45,376832.0,11.875
46,385024.0,14.0625
47,393216.0,12.1875
48,401408.0,13.75
49,409600.0,12.5
50,417792.0,16.875
51,425984.0,15.625
52,434176.0,11.875
53,442368.0,14.375
54,450560.0,15.3125
55,458752.0,12.8125
56,466944.0,13.75
57,475136.0,17.1875
58,483328.0,15.3125
59,491520.0,17.5
60,499712.0,21.25
61,507904.0,13.125
62,516096.0,17.5
63,524288.0,16.5625
64,532480.0,15.9375
65,540672.0,17.5
66,548864.0,18.4375
67,557056.0,15.9375
68,565248.0,20.3125
69,573440.0,17.8125
70,581632.0,25.625
71,589824.0,18.125
72,598016.0,18.75
73,606208.0,19.6875
74,614400.0,20.9375
75,622592.0,20.0
76,630784.0,20.0
77,638976.0,24.375
78,647168.0,23.4375
79,655360.0,19.375
80,663552.0,24.375
81,671744.0,21.25
82,679936.0,21.25
83,688128.0,23.4375
84,696320.0,21.25
85,704512.0,21.25
86,712704.0,19.6875
87,720896.0,20.9375
88,729088.0,23.4375
89,737280.0,20.9375
90,745472.0,23.125
91,753664.0,21.25
92,761856.0,25.625
93,770048.0,21.875
94,778240.0,23.4375
95,786432.0,21.875
96,794624.0,24.375
97,802816.0,25.9375
98,811008.0,23.75
99,819200.0,26.875
100,827392.0,20.625
101,835584.0,20.3125
102,843776.0,25.0
103,851968.0,17.8125
104,860160.0,21.25
105,868352.0,22.8125
106,876544.0,23.75
107,884736.0,23.75
108,892928.0,20.3125
109,901120.0,22.5
110,909312.0,20.0
111,917504.0,20.0
112,925696.0,21.25
113,933888.0,21.25
114,942080.0,18.4375
115,950272.0,20.9375
116,958464.0,21.5625
117,966656.0,20.3125
118,974848.0,21.875
119,983040.0,20.9375
120,991232.0,22.5
121,999424.0,23.125
122,1007616.0,20.625
123,1015808.0,22.1875
124,1024000.0,20.625
125,1032192.0,26.25
126,1040384.0,22.1875
127,1048576.0,24.0625
128,1056768.0,19.375
129,1064960.0,24.0625
130,1073152.0,19.375
131,1081344.0,18.75
132,1089536.0,21.5625
133,1097728.0,22.8125
134,1105920.0,24.375
135,1114112.0,22.1875
136,1122304.0,23.4375
137,1130496.0,22.1875
138,1138688.0,21.25
139,1146880.0,16.25
140,1155072.0,22.8125
141,1163264.0,21.875
142,1171456.0,22.1875
143,1179648.0,19.375
144,1187840.0,22.8125
145,1196032.0,23.125
146,1204224.0,19.6875
147,1212416.0,17.8125
148,1220608.0,24.6875
149,1228800.0,23.125
150,1236992.0,22.1875
151,1245184.0,21.5625
152,1253376.0,21.875
153,1261568.0,21.25
154,1269760.0,22.1875
155,1277952.0,22.1875
156,1286144.0,20.3125
157,1294336.0,22.8125
158,1302528.0,21.25
159,1310720.0,18.75
160,1318912.0,19.6875
161,1327104.0,25.625
162,1335296.0,23.125
163,1343488.0,23.125
164,1351680.0,20.625
165,1359872.0,23.125
166,1368064.0,20.625
167,1376256.0,25.0
168,1384448.0,21.5625
169,1392640.0,19.6875
170,1400832.0,25.0
171,1409024.0,23.125
172,1417216.0,21.25
173,1425408.0,22.5
174,1433600.0,23.4375
175,1441792.0,21.5625
176,1449984.0,22.8125
177,1458176.0,21.5625
178,1466368.0,25.625
179,1474560.0,21.875
180,1482752.0,22.8125
181,1490944.0,23.125
182,1499136.0,25.0
183,1507328.0,21.5625
184,1515520.0,21.875
185,1523712.0,19.6875
186,1531904.0,22.5
187,1540096.0,24.0625
188,1548288.0,24.375
189,1556480.0,22.1875
190,1564672.0,23.4375
191,1572864.0,25.9375
192,1581056.0,21.5625
193,1589248.0,24.375
194,1597440.0,26.875
195,1605632.0,26.25
196,1613824.0,25.3125
197,1622016.0,23.125
198,1630208.0,23.75
199,1638400.0,24.375
200,1646592.0,24.375
201,1654784.0,24.6875
202,1662976.0,24.0625
203,1671168.0,25.0
204,1679360.0,22.1875
205,1687552.0,25.625
206,1695744.0,21.875
207,1703936.0,25.9375
208,1712128.0,20.625
209,1720320.0,23.75
210,1728512.0,26.875
211,1736704.0,24.6875
212,1744896.0,24.6875
213,1753088.0,22.5
214,1761280.0,27.5
215,1769472.0,21.25
216,1777664.0,23.125
217,1785856.0,26.5625
218,1794048.0,25.0
219,1802240.0,25.3125
220,1810432.0,20.9375
221,1818624.0,23.4375
222,1826816.0,22.8125
223,1835008.0,22.5
224,1843200.0,27.8125
225,1851392.0,23.75
226,1859584.0,28.75
227,1867776.0,23.75
228,1875968.0,27.5
229,1884160.0,23.75
230,1892352.0,25.9375
231,1900544.0,24.6875
232,1908736.0,27.8125
233,1916928.0,25.9375
234,1925120.0,26.25
235,1933312.0,25.9375
236,1941504.0,28.125
237,1949696.0,27.8125
238,1957888.0,30.3125
239,1966080.0,24.375
240,1974272.0,23.75
241,1982464.0,24.6875
242,1990656.0,21.875
243,1998848.0,23.125
244,2007040.0,25.0
245,2015232.0,25.9375
246,2023424.0,24.375
247,2031616.0,23.125
248,2039808.0,27.1875
249,2048000.0,27.8125
250,2056192.0,22.8125
251,2064384.0,25.9375
252,2072576.0,22.5
253,2080768.0,25.9375
254,2088960.0,25.9375
255,2097152.0,23.125
256,2105344.0,22.5
257,2113536.0,23.75
258,2121728.0,20.625
259,2129920.0,25.9375
260,2138112.0,22.5
261,2146304.0,24.375
262,2154496.0,24.0625
263,2162688.0,26.5625
264,2170880.0,25.3125
265,2179072.0,26.5625
266,2187264.0,22.8125
267,2195456.0,25.625
268,2203648.0,26.5625
269,2211840.0,25.625
270,2220032.0,22.5
271,2228224.0,25.0
272,2236416.0,21.875
273,2244608.0,28.125
274,2252800.0,23.125
275,2260992.0,22.5
276,2269184.0,26.875
277,2277376.0,23.75
278,2285568.0,24.375
279,2293760.0,25.0
280,2301952.0,27.5
281,2310144.0,23.4375
282,2318336.0,26.5625
283,2326528.0,24.0625
284,2334720.0,25.0
285,2342912.0,27.1875
286,2351104.0,22.1875
287,2359296.0,25.0
288,2367488.0,25.3125
289,2375680.0,25.9375
290,2383872.0,23.75
291,2392064.0,26.5625
292,2400256.0,25.3125
293,2408448.0,22.8125
294,2416640.0,25.9375
295,2424832.0,24.6875
296,2433024.0,26.875
297,2441216.0,25.0
298,2449408.0,25.625
299,2457600.0,27.8125
300,2465792.0,23.125
301,2473984.0,27.5
302,2482176.0,25.625
303,2490368.0,24.6875
304,2498560.0,22.1875
305,2506752.0,25.625
306,2514944.0,24.375
307,2523136.0,25.3125
308,2531328.0,28.4375
309,2539520.0,27.1875
310,2547712.0,26.5625
311,2555904.0,25.3125
312,2564096.0,26.25
313,2572288.0,28.125
314,2580480.0,27.8125
315,2588672.0,23.4375
316,2596864.0,24.375
317,2605056.0,24.6875
318,2613248.0,25.3125
319,2621440.0,23.75
320,2629632.0,26.25
321,2637824.0,21.5625
322,2646016.0,25.3125
323,2654208.0,28.4375
324,2662400.0,26.875
325,2670592.0,24.0625
326,2678784.0,24.0625
327,2686976.0,27.1875
328,2695168.0,27.5
329,2703360.0,23.75
330,2711552.0,25.9375
331,2719744.0,27.5
332,2727936.0,29.0625
333,2736128.0,22.5
334,2744320.0,23.125
335,2752512.0,23.75
336,2760704.0,25.3125
337,2768896.0,27.5
338,2777088.0,27.5
339,2785280.0,30.3125
340,2793472.0,24.6875
341,2801664.0,24.0625
342,2809856.0,25.0
343,2818048.0,23.4375
344,2826240.0,25.625
345,2834432.0,29.0625
346,2842624.0,26.5625
347,2850816.0,26.5625
348,2859008.0,28.4375
349,2867200.0,26.25
350,2875392.0,25.625
351,2883584.0,24.6875
352,2891776.0,27.5
353,2899968.0,25.9375
354,2908160.0,23.125
355,2916352.0,25.3125
356,2924544.0,23.4375
357,2932736.0,22.1875
358,2940928.0,27.5
359,2949120.0,24.0625
360,2957312.0,26.875
361,2965504.0,25.9375
362,2973696.0,25.0
363,2981888.0,27.8125
364,2990080.0,25.625
365,2998272.0,26.875
366,3006464.0,26.875
367,3014656.0,23.4375
368,3022848.0,25.9375
369,3031040.0,26.875
370,3039232.0,25.9375
371,3047424.0,24.6875
372,3055616.0,24.375
373,3063808.0,20.625
374,3072000.0,26.25
375,3080192.0,26.875
376,3088384.0,22.1875
377,3096576.0,24.375
378,3104768.0,25.9375
379,3112960.0,23.125
380,3121152.0,24.6875
381,3129344.0,25.9375
382,3137536.0,26.875
383,3145728.0,26.25
384,3153920.0,30.625
385,3162112.0,28.75
386,3170304.0,25.3125
387,3178496.0,25.3125
388,3186688.0,26.875
389,3194880.0,24.375
390,3203072.0,28.75
391,3211264.0,24.375
392,3219456.0,26.875
393,3227648.0,21.5625
394,3235840.0,24.0625
395,3244032.0,26.875
396,3252224.0,25.0
397,3260416.0,21.875
398,3268608.0,29.0625
399,3276800.0,24.0625
400,3284992.0,26.875
401,3293184.0,27.8125
402,3301376.0,25.625
403,3309568.0,27.8125
404,3317760.0,28.4375
405,3325952.0,25.0
406,3334144.0,27.1875
407,3342336.0,26.5625
408,3350528.0,23.4375
409,3358720.0,25.625
410,3366912.0,27.8125
411,3375104.0,26.25
412,3383296.0,26.5625
413,3391488.0,29.375
414,3399680.0,26.5625
415,3407872.0,28.75
416,3416064.0,27.8125
417,3424256.0,26.25
418,3432448.0,25.0
419,3440640.0,25.625
420,3448832.0,24.6875
421,3457024.0,30.3125
422,3465216.0,23.4375
423,3473408.0,25.625
424,3481600.0,25.0
425,3489792.0,25.0
426,3497984.0,24.375
427,3506176.0,27.8125
428,3514368.0,23.75
429,3522560.0,26.25
430,3530752.0,29.6875
431,3538944.0,27.8125
432,3547136.0,27.5
433,3555328.0,27.1875
434,3563520.0,25.0
435,3571712.0,23.125
436,3579904.0,27.8125
437,3588096.0,28.125
438,3596288.0,27.8125
439,3604480.0,27.1875
440,3612672.0,28.125
441,3620864.0,27.1875
442,3629056.0,25.625
443,3637248.0,26.25
444,3645440.0,25.3125
445,3653632.0,28.4375
446,3661824.0,25.0
447,3670016.0,22.8125
448,3678208.0,25.0
449,3686400.0,27.5
450,3694592.0,24.0625
451,3702784.0,26.5625
452,3710976.0,23.75
453,3719168.0,22.8125
454,3727360.0,26.875
455,3735552.0,24.0625
456,3743744.0,25.3125
457,3751936.0,26.25
458,3760128.0,26.875
459,3768320.0,26.875
460,3776512.0,27.8125
461,3784704.0,27.5
462,3792896.0,26.5625
463,3801088.0,27.5
464,3809280.0,23.125
465,3817472.0,23.4375
466,3825664.0,26.25
467,3833856.0,29.0625
468,3842048.0,27.1875
469,3850240.0,25.3125
470,3858432.0,23.4375
471,3866624.0,28.125
472,3874816.0,25.3125
473,3883008.0,28.125
474,3891200.0,26.875
475,3899392.0,25.3125
476,3907584.0,24.6875
477,3915776.0,29.0625
478,3923968.0,26.25
479,3932160.0,26.5625
480,3940352.0,27.1875
481,3948544.0,25.3125
482,3956736.0,28.75
483,3964928.0,25.9375
484,3973120.0,25.0
485,3981312.0,28.75
486,3989504.0,29.375
487,3997696.0,33.75
