,Step,Average_Reward
0,8192.0,1.5625
1,16384.0,0.3125
2,24576.0,0.625
3,32768.0,0.9375
4,40960.0,1.5625
5,49152.0,1.25
6,57344.0,1.5625
7,65536.0,1.5625
8,73728.0,1.25
9,81920.0,1.875
10,90112.0,2.5
11,98304.0,2.5
12,106496.0,6.25
13,114688.0,8.4375
14,122880.0,7.8125
15,131072.0,8.125
16,139264.0,11.5625
17,147456.0,8.75
18,155648.0,13.125
19,163840.0,11.875
20,172032.0,15.9375
21,180224.0,13.4375
22,188416.0,12.8125
23,196608.0,13.75
24,204800.0,17.1875
25,212992.0,15.9375
26,221184.0,15.9375
27,229376.0,16.25
28,237568.0,15.625
29,245760.0,19.6875
30,253952.0,14.6875
31,262144.0,16.5625
32,270336.0,19.6875
33,278528.0,17.5
34,286720.0,18.75
35,294912.0,21.5625
36,303104.0,18.125
37,311296.0,19.375
38,319488.0,18.4375
39,327680.0,19.0625
40,335872.0,22.5
41,344064.0,22.1875
42,352256.0,21.25
43,360448.0,15.9375
44,368640.0,24.375
45,376832.0,20.3125
46,385024.0,23.125
47,393216.0,21.875
48,401408.0,23.75
49,409600.0,24.375
50,417792.0,24.0625
51,425984.0,26.875
52,434176.0,25.3125
53,442368.0,24.6875
54,450560.0,22.5
55,458752.0,23.75
56,466944.0,23.125
57,475136.0,25.0
58,483328.0,24.0625
59,491520.0,28.75
60,499712.0,24.0625
61,507904.0,27.5
62,516096.0,26.875
63,524288.0,28.125
64,532480.0,28.125
65,540672.0,28.4375
66,548864.0,25.3125
67,557056.0,28.125
68,565248.0,25.3125
69,573440.0,31.5625
70,581632.0,27.5
71,589824.0,27.8125
72,598016.0,29.0625
73,606208.0,29.0625
74,614400.0,29.375
75,622592.0,30.0
76,630784.0,29.0625
77,638976.0,25.9375
78,647168.0,26.875
79,655360.0,28.4375
80,663552.0,23.75
81,671744.0,31.875
82,679936.0,32.8125
83,688128.0,28.75
84,696320.0,29.375
85,704512.0,29.6875
86,712704.0,31.25
87,720896.0,28.125
88,729088.0,30.3125
89,737280.0,27.1875
90,745472.0,32.5
91,753664.0,27.5
92,761856.0,27.8125
93,770048.0,31.25
94,778240.0,30.625
95,786432.0,30.9375
96,794624.0,32.5
97,802816.0,29.0625
98,811008.0,30.625
99,819200.0,29.0625
100,827392.0,30.3125
101,835584.0,29.375
102,843776.0,27.1875
103,851968.0,29.6875
104,860160.0,27.5
105,868352.0,28.125
106,876544.0,30.9375
107,884736.0,29.6875
108,892928.0,29.375
109,901120.0,30.0
110,909312.0,29.6875
111,917504.0,29.375
112,925696.0,26.875
113,933888.0,33.4375
114,942080.0,35.3125
115,950272.0,29.6875
116,958464.0,34.6875
117,966656.0,30.625
118,974848.0,27.5
119,983040.0,33.75
120,991232.0,31.5625
121,999424.0,31.25
122,1007616.0,29.375
123,1015808.0,32.1875
124,1024000.0,34.0625
125,1032192.0,30.0
126,1040384.0,33.125
127,1048576.0,31.5625
128,1056768.0,30.625
129,1064960.0,34.375
130,1073152.0,34.0625
131,1081344.0,30.9375
132,1089536.0,30.625
133,1097728.0,33.125
134,1105920.0,29.375
135,1114112.0,39.0625
136,1122304.0,32.1875
137,1130496.0,33.125
138,1138688.0,25.9375
139,1146880.0,35.3125
140,1155072.0,27.8125
141,1163264.0,31.5625
142,1171456.0,34.6875
143,1179648.0,33.125
144,1187840.0,31.5625
145,1196032.0,28.75
146,1204224.0,33.125
147,1212416.0,34.0625
148,1220608.0,30.3125
149,1228800.0,34.0625
150,1236992.0,36.5625
151,1245184.0,34.0625
152,1253376.0,34.0625
153,1261568.0,36.875
154,1269760.0,31.25
155,1277952.0,32.1875
156,1286144.0,32.5
157,1294336.0,28.75
158,1302528.0,30.3125
159,1310720.0,32.5
160,1318912.0,32.8125
161,1327104.0,35.9375
162,1335296.0,34.0625
163,1343488.0,28.125
164,1351680.0,39.0625
165,1359872.0,29.375
166,1368064.0,34.6875
167,1376256.0,30.9375
168,1384448.0,39.6875
169,1392640.0,30.9375
170,1400832.0,33.125
171,1409024.0,27.8125
172,1417216.0,34.0625
173,1425408.0,29.6875
174,1433600.0,38.125
175,1441792.0,33.75
176,1449984.0,30.0
177,1458176.0,39.0625
178,1466368.0,33.75
179,1474560.0,31.25
180,1482752.0,37.1875
181,1490944.0,31.25
182,1499136.0,33.75
183,1507328.0,34.6875
184,1515520.0,34.0625
185,1523712.0,36.875
186,1531904.0,30.0
187,1540096.0,31.875
188,1548288.0,31.25
189,1556480.0,34.6875
190,1564672.0,28.75
191,1572864.0,35.625
192,1581056.0,35.625
193,1589248.0,35.625
194,1597440.0,33.75
195,1605632.0,30.3125
196,1613824.0,33.75
197,1622016.0,29.0625
198,1630208.0,33.125
199,1638400.0,30.9375
200,1646592.0,33.4375
201,1654784.0,36.25
202,1662976.0,29.6875
203,1671168.0,38.4375
204,1679360.0,33.4375
205,1687552.0,37.5
206,1695744.0,35.9375
207,1703936.0,36.5625
208,1712128.0,31.5625
209,1720320.0,34.375
210,1728512.0,33.75
211,1736704.0,35.0
212,1744896.0,34.375
213,1753088.0,32.5
214,1761280.0,36.875
215,1769472.0,34.6875
216,1777664.0,36.25
217,1785856.0,34.6875
218,1794048.0,36.25
219,1802240.0,33.75
220,1810432.0,30.3125
221,1818624.0,31.875
222,1826816.0,36.875
223,1835008.0,35.3125
224,1843200.0,33.4375
225,1851392.0,36.5625
226,1859584.0,35.3125
227,1867776.0,38.75
228,1875968.0,38.75
229,1884160.0,33.75
230,1892352.0,35.3125
231,1900544.0,33.125
232,1908736.0,38.4375
233,1916928.0,34.375
234,1925120.0,34.6875
235,1933312.0,34.6875
236,1941504.0,34.375
237,1949696.0,33.75
238,1957888.0,32.8125
239,1966080.0,35.625
240,1974272.0,33.125
241,1982464.0,38.75
242,1990656.0,36.875
243,1998848.0,35.625
244,2007040.0,34.0625
245,2015232.0,37.5
246,2023424.0,34.375
247,2031616.0,33.125
248,2039808.0,36.875
249,2048000.0,31.875
250,2056192.0,29.0625
251,2064384.0,35.0
252,2072576.0,32.8125
253,2080768.0,38.125
254,2088960.0,33.4375
255,2097152.0,38.75
256,2105344.0,35.9375
257,2113536.0,34.375
258,2121728.0,36.5625
259,2129920.0,36.875
260,2138112.0,34.6875
261,2146304.0,33.75
262,2154496.0,35.625
263,2162688.0,36.25
264,2170880.0,38.125
265,2179072.0,38.75
266,2187264.0,35.9375
267,2195456.0,32.1875
268,2203648.0,38.75
269,2211840.0,35.0
270,2220032.0,40.0
271,2228224.0,34.0625
272,2236416.0,32.5
273,2244608.0,42.5
274,2252800.0,31.25
275,2260992.0,29.0625
276,2269184.0,39.375
277,2277376.0,37.1875
278,2285568.0,33.75
279,2293760.0,36.875
280,2301952.0,37.1875
281,2310144.0,33.75
282,2318336.0,32.5
283,2326528.0,35.0
284,2334720.0,35.9375
285,2342912.0,35.9375
286,2351104.0,34.375
287,2359296.0,35.3125
288,2367488.0,37.1875
289,2375680.0,36.25
290,2383872.0,35.9375
291,2392064.0,37.8125
292,2400256.0,39.0625
293,2408448.0,37.5
294,2416640.0,34.0625
295,2424832.0,34.0625
296,2433024.0,31.875
297,2441216.0,35.625
298,2449408.0,34.6875
299,2457600.0,33.125
300,2465792.0,42.5
301,2473984.0,35.9375
302,2482176.0,35.3125
303,2490368.0,39.0625
304,2498560.0,37.1875
305,2506752.0,33.4375
306,2514944.0,32.5
307,2523136.0,34.0625
308,2531328.0,37.5
309,2539520.0,34.6875
310,2547712.0,39.6875
311,2555904.0,31.5625
312,2564096.0,34.0625
313,2572288.0,39.6875
314,2580480.0,32.1875
315,2588672.0,39.0625
316,2596864.0,35.3125
317,2605056.0,39.6875
318,2613248.0,33.4375
319,2621440.0,38.4375
320,2629632.0,36.25
321,2637824.0,36.5625
322,2646016.0,32.1875
323,2654208.0,31.875
324,2662400.0,35.9375
325,2670592.0,34.6875
326,2678784.0,40.9375
327,2686976.0,32.8125
328,2695168.0,36.25
329,2703360.0,33.75
330,2711552.0,35.625
331,2719744.0,37.5
332,2727936.0,35.625
333,2736128.0,38.4375
334,2744320.0,36.5625
335,2752512.0,35.625
336,2760704.0,34.6875
337,2768896.0,32.5
338,2777088.0,33.4375
339,2785280.0,35.3125
340,2793472.0,38.125
341,2801664.0,32.8125
342,2809856.0,37.1875
343,2818048.0,33.75
344,2826240.0,38.125
345,2834432.0,34.0625
346,2842624.0,37.1875
347,2850816.0,38.125
348,2859008.0,33.125
349,2867200.0,37.1875
350,2875392.0,34.6875
351,2883584.0,33.125
352,2891776.0,34.0625
353,2899968.0,41.875
354,2908160.0,40.3125
355,2916352.0,37.8125
356,2924544.0,35.3125
357,2932736.0,34.375
358,2940928.0,37.5
359,2949120.0,37.1875
360,2957312.0,33.125
361,2965504.0,36.5625
362,2973696.0,40.3125
363,2981888.0,36.25
364,2990080.0,32.5
365,2998272.0,32.5
366,3006464.0,35.625
367,3014656.0,34.0625
368,3022848.0,35.9375
369,3031040.0,35.9375
370,3039232.0,35.3125
371,3047424.0,32.8125
372,3055616.0,35.0
373,3063808.0,35.9375
374,3072000.0,36.5625
375,3080192.0,36.875
376,3088384.0,30.9375
377,3096576.0,39.0625
378,3104768.0,32.1875
379,3112960.0,34.6875
380,3121152.0,35.3125
381,3129344.0,35.3125
382,3137536.0,32.1875
383,3145728.0,33.125
384,3153920.0,34.375
385,3162112.0,37.1875
386,3170304.0,35.625
387,3178496.0,33.4375
388,3186688.0,38.4375
389,3194880.0,37.1875
390,3203072.0,35.0
391,3211264.0,31.875
392,3219456.0,35.9375
393,3227648.0,36.875
394,3235840.0,38.125
395,3244032.0,32.8125
396,3252224.0,37.5
397,3260416.0,32.1875
398,3268608.0,37.1875
399,3276800.0,39.0625
400,3284992.0,37.1875
401,3293184.0,34.375
402,3301376.0,34.6875
403,3309568.0,34.0625
404,3317760.0,37.5
405,3325952.0,37.8125
406,3334144.0,36.875
407,3342336.0,40.625
408,3350528.0,35.3125
409,3358720.0,35.9375
410,3366912.0,34.6875
411,3375104.0,41.25
412,3383296.0,34.375
413,3391488.0,33.125
414,3399680.0,35.9375
415,3407872.0,35.625
416,3416064.0,38.75
417,3424256.0,40.625
418,3432448.0,39.0625
419,3440640.0,35.3125
420,3448832.0,37.8125
421,3457024.0,38.75
422,3465216.0,38.125
423,3473408.0,35.625
424,3481600.0,36.875
425,3489792.0,39.0625
426,3497984.0,38.75
427,3506176.0,30.625
428,3514368.0,36.875
429,3522560.0,32.5
430,3530752.0,41.5625
431,3538944.0,39.375
432,3547136.0,35.625
433,3555328.0,33.125
434,3563520.0,37.1875
435,3571712.0,37.8125
436,3579904.0,38.125
437,3588096.0,34.6875
438,3596288.0,34.6875
439,3604480.0,39.6875
440,3612672.0,35.3125
441,3620864.0,35.625
442,3629056.0,36.25
443,3637248.0,35.0
444,3645440.0,36.5625
445,3653632.0,37.5
446,3661824.0,35.0
447,3670016.0,37.8125
448,3678208.0,39.0625
449,3686400.0,40.0
450,3694592.0,35.3125
451,3702784.0,36.875
452,3710976.0,40.3125
453,3719168.0,36.25
454,3727360.0,34.0625
455,3735552.0,33.125
456,3743744.0,34.0625
457,3751936.0,35.3125
458,3760128.0,33.75
459,3768320.0,34.6875
460,3776512.0,33.75
461,3784704.0,35.3125
462,3792896.0,32.8125
463,3801088.0,34.6875
464,3809280.0,33.75
465,3817472.0,30.625
466,3825664.0,34.6875
467,3833856.0,35.625
468,3842048.0,34.6875
469,3850240.0,39.6875
470,3858432.0,35.0
471,3866624.0,34.6875
472,3874816.0,35.3125
473,3883008.0,33.75
474,3891200.0,36.875
475,3899392.0,34.375
476,3907584.0,37.8125
477,3915776.0,34.0625
478,3923968.0,38.4375
479,3932160.0,34.6875
480,3940352.0,35.625
481,3948544.0,33.4375
482,3956736.0,40.9375
483,3964928.0,32.8125
484,3973120.0,36.25
485,3981312.0,31.5625
486,3989504.0,37.8125
487,3997696.0,35.0
488,4005888.0,35.9375
489,4014080.0,36.875
490,4022272.0,38.125
491,4030464.0,39.0625
492,4038656.0,38.125
493,4046848.0,34.6875
494,4055040.0,34.375
495,4063232.0,32.8125
496,4071424.0,34.0625
497,4079616.0,40.3125
498,4087808.0,31.5625
499,4096000.0,36.875
500,4104192.0,36.25
501,4112384.0,36.875
502,4120576.0,32.1875
503,4128768.0,40.3125
504,4136960.0,39.6875
505,4145152.0,33.4375
506,4153344.0,35.0
507,4161536.0,34.6875
508,4169728.0,34.375
509,4177920.0,35.3125
510,4186112.0,34.375
511,4194304.0,36.25
512,4202496.0,32.8125
513,4210688.0,35.9375
