,Step,Average_Reward
0,8192.0,1.25
1,16384.0,2.1875
2,24576.0,1.875
3,32768.0,1.25
4,40960.0,0.9375
5,49152.0,0.625
6,57344.0,1.875
7,65536.0,2.1875
8,73728.0,1.5625
9,81920.0,0.625
10,90112.0,1.5625
11,98304.0,0.9375
12,106496.0,0.625
13,114688.0,0.3125
14,122880.0,0.625
15,131072.0,0.625
16,139264.0,1.875
17,147456.0,1.25
18,155648.0,1.25
19,163840.0,0.625
20,172032.0,1.5625
21,180224.0,0.9375
22,188416.0,1.5625
23,196608.0,0.9375
24,204800.0,1.875
25,212992.0,1.25
26,221184.0,1.5625
27,229376.0,0.9375
28,237568.0,0.625
29,245760.0,1.875
30,253952.0,1.5625
31,262144.0,1.25
32,270336.0,0.625
33,278528.0,3.75
34,286720.0,0.625
35,294912.0,2.8125
36,303104.0,3.125
37,311296.0,0.9375
38,319488.0,2.8125
39,327680.0,5.3125
40,335872.0,3.75
41,344064.0,3.4375
42,352256.0,6.25
43,360448.0,4.375
44,368640.0,4.0625
45,376832.0,5.0
46,385024.0,5.625
47,393216.0,4.0625
48,401408.0,3.75
49,409600.0,7.8125
50,417792.0,5.9375
51,425984.0,5.3125
52,434176.0,6.875
53,442368.0,6.5625
54,450560.0,8.75
55,458752.0,9.0625
56,466944.0,5.9375
57,475136.0,11.5625
58,483328.0,8.75
59,491520.0,7.5
60,499712.0,6.875
61,507904.0,11.875
62,516096.0,12.5
63,524288.0,13.125
64,532480.0,10.625
65,540672.0,12.5
66,548864.0,9.0625
67,557056.0,12.8125
68,565248.0,9.6875
69,573440.0,10.3125
70,581632.0,14.0625
71,589824.0,11.25
72,598016.0,12.5
73,606208.0,10.9375
74,614400.0,13.75
75,622592.0,11.875
76,630784.0,10.9375
77,638976.0,14.375
78,647168.0,12.1875
79,655360.0,13.4375
80,663552.0,10.0
81,671744.0,12.8125
82,679936.0,11.875
83,688128.0,9.6875
84,696320.0,9.375
85,704512.0,10.625
86,712704.0,9.6875
87,720896.0,10.9375
88,729088.0,10.9375
89,737280.0,9.6875
90,745472.0,10.625
91,753664.0,10.625
92,761856.0,10.9375
93,770048.0,9.0625
94,778240.0,9.375
95,786432.0,11.25
96,794624.0,12.1875
97,802816.0,9.6875
98,811008.0,11.875
99,819200.0,9.0625
100,827392.0,7.8125
101,835584.0,9.375
102,843776.0,7.1875
103,851968.0,8.75
104,860160.0,10.625
105,868352.0,8.4375
106,876544.0,7.1875
107,884736.0,4.6875
108,892928.0,7.8125
109,901120.0,6.875
110,909312.0,7.8125
111,917504.0,7.1875
112,925696.0,5.625
113,933888.0,5.0
114,942080.0,5.625
115,950272.0,5.625
116,958464.0,4.6875
117,966656.0,5.9375
118,974848.0,6.875
119,983040.0,5.3125
120,991232.0,5.625
121,999424.0,5.0
122,1007616.0,6.5625
123,1015808.0,6.5625
124,1024000.0,5.3125
125,1032192.0,6.25
126,1040384.0,6.875
127,1048576.0,5.3125
128,1056768.0,8.4375
129,1064960.0,5.625
130,1073152.0,6.875
131,1081344.0,6.25
132,1089536.0,4.6875
133,1097728.0,5.3125
134,1105920.0,5.625
135,1114112.0,5.9375
136,1122304.0,6.5625
137,1130496.0,7.8125
138,1138688.0,12.1875
139,1146880.0,11.5625
140,1155072.0,11.5625
141,1163264.0,7.8125
142,1171456.0,8.4375
143,1179648.0,9.6875
144,1187840.0,11.25
145,1196032.0,7.8125
146,1204224.0,8.125
147,1212416.0,12.1875
148,1220608.0,9.375
149,1228800.0,10.3125
150,1236992.0,10.625
151,1245184.0,8.125
152,1253376.0,7.8125
153,1261568.0,9.375
154,1269760.0,8.4375
155,1277952.0,10.9375
156,1286144.0,8.4375
157,1294336.0,5.9375
158,1302528.0,10.625
159,1310720.0,8.4375
160,1318912.0,8.125
161,1327104.0,8.125
162,1335296.0,8.75
163,1343488.0,11.25
164,1351680.0,11.5625
165,1359872.0,11.5625
166,1368064.0,10.0
167,1376256.0,8.4375
168,1384448.0,7.5
169,1392640.0,12.1875
170,1400832.0,8.4375
171,1409024.0,5.625
172,1417216.0,9.6875
173,1425408.0,9.0625
174,1433600.0,11.875
175,1441792.0,13.75
176,1449984.0,10.3125
177,1458176.0,7.8125
178,1466368.0,13.125
179,1474560.0,11.875
180,1482752.0,10.625
181,1490944.0,11.5625
182,1499136.0,10.3125
183,1507328.0,14.6875
184,1515520.0,11.5625
185,1523712.0,10.9375
186,1531904.0,10.625
187,1540096.0,10.0
188,1548288.0,12.8125
189,1556480.0,13.4375
190,1564672.0,16.875
191,1572864.0,13.125
192,1581056.0,11.875
193,1589248.0,11.875
194,1597440.0,14.375
195,1605632.0,14.0625
196,1613824.0,13.125
197,1622016.0,14.6875
198,1630208.0,10.625
199,1638400.0,15.625
200,1646592.0,11.875
201,1654784.0,16.875
202,1662976.0,16.5625
203,1671168.0,15.0
204,1679360.0,15.3125
205,1687552.0,13.75
206,1695744.0,17.1875
207,1703936.0,15.3125
208,1712128.0,13.4375
209,1720320.0,11.5625
210,1728512.0,14.0625
211,1736704.0,12.5
212,1744896.0,14.6875
213,1753088.0,17.1875
214,1761280.0,15.625
215,1769472.0,15.625
216,1777664.0,13.4375
217,1785856.0,17.5
218,1794048.0,10.9375
219,1802240.0,14.0625
220,1810432.0,13.75
221,1818624.0,12.5
222,1826816.0,11.5625
223,1835008.0,13.4375
224,1843200.0,15.3125
225,1851392.0,12.8125
226,1859584.0,8.75
227,1867776.0,13.4375
228,1875968.0,12.1875
229,1884160.0,11.5625
230,1892352.0,10.0
231,1900544.0,5.625
232,1908736.0,6.875
233,1916928.0,9.0625
234,1925120.0,8.125
235,1933312.0,6.25
236,1941504.0,10.625
237,1949696.0,10.3125
238,1957888.0,8.4375
239,1966080.0,7.5
240,1974272.0,8.125
241,1982464.0,9.375
242,1990656.0,6.875
243,1998848.0,5.9375
244,2007040.0,10.3125
245,2015232.0,9.375
246,2023424.0,7.5
247,2031616.0,11.5625
248,2039808.0,10.3125
249,2048000.0,8.125
250,2056192.0,6.875
251,2064384.0,11.875
252,2072576.0,8.4375
253,2080768.0,10.3125
254,2088960.0,6.875
255,2097152.0,10.0
256,2105344.0,11.875
257,2113536.0,10.3125
258,2121728.0,11.875
259,2129920.0,13.75
260,2138112.0,10.625
261,2146304.0,12.5
262,2154496.0,9.0625
263,2162688.0,10.625
264,2170880.0,8.75
265,2179072.0,11.25
266,2187264.0,13.125
267,2195456.0,11.875
268,2203648.0,14.375
269,2211840.0,10.9375
270,2220032.0,14.375
271,2228224.0,11.5625
272,2236416.0,11.25
273,2244608.0,12.8125
274,2252800.0,12.5
275,2260992.0,14.0625
276,2269184.0,16.5625
277,2277376.0,16.5625
278,2285568.0,13.4375
279,2293760.0,11.875
280,2301952.0,17.5
281,2310144.0,15.625
282,2318336.0,15.0
283,2326528.0,16.25
284,2334720.0,13.75
285,2342912.0,10.0
286,2351104.0,13.4375
287,2359296.0,11.5625
288,2367488.0,9.375
289,2375680.0,10.9375
290,2383872.0,12.8125
291,2392064.0,9.375
292,2400256.0,11.5625
293,2408448.0,8.75
294,2416640.0,14.0625
295,2424832.0,9.0625
296,2433024.0,10.625
297,2441216.0,12.5
298,2449408.0,6.875
299,2457600.0,8.125
300,2465792.0,9.375
301,2473984.0,11.25
302,2482176.0,6.5625
303,2490368.0,12.8125
304,2498560.0,8.4375
305,2506752.0,10.0
306,2514944.0,6.5625
307,2523136.0,9.0625
308,2531328.0,8.75
309,2539520.0,10.9375
310,2547712.0,10.625
311,2555904.0,10.3125
312,2564096.0,13.125
313,2572288.0,10.3125
314,2580480.0,8.4375
315,2588672.0,9.375
316,2596864.0,10.3125
317,2605056.0,9.375
318,2613248.0,12.1875
319,2621440.0,16.25
320,2629632.0,7.8125
321,2637824.0,4.0625
322,2646016.0,5.625
323,2654208.0,11.5625
324,2662400.0,11.25
325,2670592.0,7.1875
326,2678784.0,5.3125
327,2686976.0,10.3125
328,2695168.0,9.0625
329,2703360.0,6.875
330,2711552.0,10.9375
331,2719744.0,5.3125
332,2727936.0,11.875
333,2736128.0,7.8125
334,2744320.0,7.5
335,2752512.0,11.5625
336,2760704.0,9.0625
337,2768896.0,10.625
338,2777088.0,11.875
339,2785280.0,9.0625
340,2793472.0,12.5
341,2801664.0,8.125
342,2809856.0,10.625
343,2818048.0,8.125
344,2826240.0,10.3125
345,2834432.0,7.5
346,2842624.0,11.5625
347,2850816.0,9.6875
348,2859008.0,10.3125
349,2867200.0,12.8125
350,2875392.0,9.6875
351,2883584.0,7.8125
352,2891776.0,11.5625
353,2899968.0,12.5
354,2908160.0,9.6875
355,2916352.0,9.6875
356,2924544.0,12.8125
357,2932736.0,13.4375
358,2940928.0,10.3125
359,2949120.0,12.1875
360,2957312.0,8.75
361,2965504.0,10.625
362,2973696.0,11.875
363,2981888.0,10.625
364,2990080.0,8.125
365,2998272.0,12.1875
366,3006464.0,11.25
367,3014656.0,12.5
368,3022848.0,12.1875
369,3031040.0,6.5625
370,3039232.0,11.5625
371,3047424.0,8.125
372,3055616.0,9.6875
373,3063808.0,10.3125
374,3072000.0,10.0
375,3080192.0,10.3125
376,3088384.0,10.625
377,3096576.0,9.375
378,3104768.0,7.1875
379,3112960.0,5.9375
380,3121152.0,10.0
381,3129344.0,9.6875
382,3137536.0,7.1875
383,3145728.0,6.5625
384,3153920.0,9.0625
385,3162112.0,10.3125
386,3170304.0,7.1875
387,3178496.0,8.75
388,3186688.0,12.5
389,3194880.0,11.25
390,3203072.0,6.875
391,3211264.0,12.1875
392,3219456.0,12.1875
393,3227648.0,12.5
394,3235840.0,9.375
395,3244032.0,8.75
396,3252224.0,12.5
397,3260416.0,9.375
398,3268608.0,8.75
399,3276800.0,7.8125
400,3284992.0,14.0625
401,3293184.0,7.5
402,3301376.0,9.375
403,3309568.0,11.875
404,3317760.0,9.0625
405,3325952.0,5.0
406,3334144.0,11.875
407,3342336.0,9.6875
408,3350528.0,11.875
409,3358720.0,10.3125
410,3366912.0,7.8125
411,3375104.0,9.0625
412,3383296.0,8.4375
413,3391488.0,9.375
414,3399680.0,10.9375
415,3407872.0,10.0
416,3416064.0,10.0
417,3424256.0,13.4375
418,3432448.0,10.3125
419,3440640.0,10.3125
420,3448832.0,8.4375
421,3457024.0,7.8125
422,3465216.0,10.0
423,3473408.0,8.125
424,3481600.0,10.625
425,3489792.0,5.3125
426,3497984.0,8.4375
427,3506176.0,11.25
428,3514368.0,9.6875
429,3522560.0,8.75
430,3530752.0,6.5625
431,3538944.0,6.25
432,3547136.0,6.5625
433,3555328.0,11.25
434,3563520.0,7.1875
435,3571712.0,12.5
436,3579904.0,11.5625
437,3588096.0,9.0625
438,3596288.0,10.9375
439,3604480.0,11.875
440,3612672.0,9.375
441,3620864.0,7.5
442,3629056.0,5.0
443,3637248.0,6.875
444,3645440.0,8.125
445,3653632.0,11.5625
446,3661824.0,10.625
447,3670016.0,16.5625
448,3678208.0,7.5
449,3686400.0,8.125
450,3694592.0,11.25
451,3702784.0,12.8125
452,3710976.0,10.3125
453,3719168.0,9.6875
454,3727360.0,7.5
455,3735552.0,10.3125
456,3743744.0,8.75
457,3751936.0,12.1875
458,3760128.0,5.3125
459,3768320.0,9.6875
460,3776512.0,8.4375
461,3784704.0,9.0625
462,3792896.0,12.8125
463,3801088.0,9.375
464,3809280.0,6.875
465,3817472.0,12.1875
466,3825664.0,6.25
467,3833856.0,6.25
468,3842048.0,10.625
469,3850240.0,10.625
470,3858432.0,12.8125
471,3866624.0,10.3125
472,3874816.0,10.3125
473,3883008.0,8.125
474,3891200.0,12.1875
475,3899392.0,7.8125
476,3907584.0,8.4375
477,3915776.0,8.4375
478,3923968.0,10.625
479,3932160.0,10.9375
480,3940352.0,13.75
481,3948544.0,10.625
482,3956736.0,11.25
483,3964928.0,14.0625
484,3973120.0,12.8125
485,3981312.0,13.4375
486,3989504.0,8.125
487,3997696.0,13.125
488,4005888.0,10.3125
489,4014080.0,8.75
490,4022272.0,12.8125
491,4030464.0,11.875
492,4038656.0,15.0
493,4046848.0,10.9375
494,4055040.0,10.625
495,4063232.0,7.1875
496,4071424.0,10.625
497,4079616.0,13.125
498,4087808.0,15.3125
499,4096000.0,9.0625
500,4104192.0,7.8125
501,4112384.0,6.875
502,4120576.0,9.0625
503,4128768.0,7.1875
504,4136960.0,6.875
505,4145152.0,6.25
506,4153344.0,8.125
507,4161536.0,5.0
508,4169728.0,7.5
509,4177920.0,7.8125
510,4186112.0,7.8125
511,4194304.0,9.375
512,4202496.0,8.75
513,4210688.0,9.6875
514,4218880.0,11.25
515,4227072.0,12.5
516,4235264.0,15.625
517,4243456.0,9.0625
518,4251648.0,17.1875
519,4259840.0,9.375
520,4268032.0,9.375
521,4276224.0,7.5
522,4284416.0,10.0
523,4292608.0,9.6875
524,4300800.0,9.6875
525,4308992.0,11.25
526,4317184.0,8.125
527,4325376.0,12.1875
528,4333568.0,11.25
529,4341760.0,7.1875
530,4349952.0,13.4375
531,4358144.0,9.0625
532,4366336.0,8.4375
533,4374528.0,11.5625
534,4382720.0,10.9375
535,4390912.0,10.625
536,4399104.0,7.8125
537,4407296.0,9.375
538,4415488.0,7.5
539,4423680.0,8.75
540,4431872.0,8.75
541,4440064.0,10.3125
542,4448256.0,11.875
543,4456448.0,7.8125
544,4464640.0,9.0625
545,4472832.0,10.9375
546,4481024.0,9.375
547,4489216.0,10.625
548,4497408.0,9.6875
549,4505600.0,11.875
550,4513792.0,10.3125
551,4521984.0,12.8125
552,4530176.0,5.9375
553,4538368.0,10.625
554,4546560.0,7.8125
555,4554752.0,9.6875
556,4562944.0,9.6875
557,4571136.0,7.8125
558,4579328.0,9.6875
559,4587520.0,9.6875
560,4595712.0,10.0
561,4603904.0,10.3125
562,4612096.0,10.3125
563,4620288.0,8.4375
564,4628480.0,10.0
565,4636672.0,10.0
566,4644864.0,9.0625
567,4653056.0,6.875
568,4661248.0,10.9375
569,4669440.0,9.0625
570,4677632.0,9.6875
571,4685824.0,6.875
572,4694016.0,11.25
573,4702208.0,7.1875
574,4710400.0,10.9375
575,4718592.0,9.375
576,4726784.0,9.0625
577,4734976.0,10.9375
578,4743168.0,10.0
579,4751360.0,10.0
580,4759552.0,14.375
581,4767744.0,9.0625
582,4775936.0,8.4375
583,4784128.0,12.1875
584,4792320.0,10.9375
585,4800512.0,10.625
586,4808704.0,11.5625
587,4816896.0,10.0
588,4825088.0,7.1875
589,4833280.0,8.4375
590,4841472.0,8.4375
591,4849664.0,8.4375
592,4857856.0,11.25
593,4866048.0,6.875
594,4874240.0,13.4375
595,4882432.0,8.4375
596,4890624.0,10.625
597,4898816.0,8.125
598,4907008.0,11.25
599,4915200.0,11.875
600,4923392.0,8.75
601,4931584.0,7.8125
602,4939776.0,8.125
603,4947968.0,7.5
604,4956160.0,11.5625
605,4964352.0,8.75
606,4972544.0,10.9375
607,4980736.0,8.125
608,4988928.0,9.375
609,4997120.0,10.0
610,5005312.0,12.1875
611,5013504.0,7.8125
612,5021696.0,10.0
613,5029888.0,8.75
614,5038080.0,12.1875
615,5046272.0,10.3125
616,5054464.0,11.5625
617,5062656.0,11.25
618,5070848.0,10.0
619,5079040.0,7.1875
620,5087232.0,8.4375
621,5095424.0,8.4375
622,5103616.0,9.6875
623,5111808.0,9.0625
624,5120000.0,7.1875
625,5128192.0,9.375
626,5136384.0,8.125
627,5144576.0,9.375
628,5152768.0,9.6875
629,5160960.0,8.125
630,5169152.0,8.125
631,5177344.0,10.0
632,5185536.0,7.5
633,5193728.0,9.0625
634,5201920.0,10.9375
635,5210112.0,7.5
636,5218304.0,7.1875
637,5226496.0,9.6875
638,5234688.0,10.0
639,5242880.0,6.25
640,5251072.0,13.125
641,5259264.0,8.4375
642,5267456.0,8.75
643,5275648.0,8.75
644,5283840.0,8.75
645,5292032.0,8.4375
646,5300224.0,12.1875
647,5308416.0,11.25
648,5316608.0,14.375
649,5324800.0,13.75
650,5332992.0,9.6875
651,5341184.0,15.625
652,5349376.0,13.4375
653,5357568.0,11.25
654,5365760.0,15.9375
655,5373952.0,11.25
656,5382144.0,8.4375
657,5390336.0,10.3125
658,5398528.0,12.1875
659,5406720.0,14.375
660,5414912.0,12.5
661,5423104.0,11.25
662,5431296.0,8.4375
663,5439488.0,8.4375
664,5447680.0,10.3125
665,5455872.0,9.6875
666,5464064.0,8.4375
667,5472256.0,13.4375
668,5480448.0,13.125
669,5488640.0,9.0625
670,5496832.0,10.0
671,5505024.0,12.5
672,5513216.0,10.625
673,5521408.0,13.125
674,5529600.0,15.625
675,5537792.0,8.4375
676,5545984.0,13.75
677,5554176.0,9.0625
678,5562368.0,10.9375
679,5570560.0,8.75
680,5578752.0,9.0625
681,5586944.0,10.3125
682,5595136.0,10.625
683,5603328.0,10.3125
684,5611520.0,10.3125
685,5619712.0,8.4375
686,5627904.0,12.5
