,Step,Average_Reward
0,16384.0,4.6875
1,32768.0,1.875
2,49152.0,2.8125
3,65536.0,4.0625
4,81920.0,4.0625
5,98304.0,5.625
6,114688.0,11.25
7,131072.0,15.0
8,147456.0,22.5
9,163840.0,28.75
10,180224.0,30.3125
11,196608.0,28.125
12,212992.0,30.9375
13,229376.0,30.3125
14,245760.0,35.9375
15,262144.0,34.0625
16,278528.0,39.0625
17,294912.0,33.75
18,311296.0,36.25
19,327680.0,35.3125
20,344064.0,37.1875
21,360448.0,41.875
22,376832.0,45.625
23,393216.0,44.6875
24,409600.0,45.625
25,425984.0,48.125
26,442368.0,52.5
27,458752.0,50.3125
28,475136.0,45.0
29,491520.0,47.5
30,507904.0,47.5
31,524288.0,42.8125
32,540672.0,46.25
33,557056.0,46.5625
34,573440.0,46.25
35,589824.0,50.0
36,606208.0,48.4375
37,622592.0,47.1875
38,638976.0,40.625
39,655360.0,49.375
40,671744.0,46.5625
41,688128.0,48.125
42,704512.0,48.75
43,720896.0,52.8125
44,737280.0,55.0
45,753664.0,54.0625
46,770048.0,54.0625
47,786432.0,54.375
48,802816.0,53.125
49,819200.0,55.3125
50,835584.0,56.5625
51,851968.0,52.1875
52,868352.0,51.5625
53,884736.0,55.0
54,901120.0,50.9375
55,917504.0,55.9375
56,933888.0,53.125
57,950272.0,59.375
58,966656.0,51.25
59,983040.0,60.0
60,999424.0,61.875
61,1015808.0,58.75
62,1032192.0,57.8125
63,1048576.0,56.5625
64,1064960.0,59.375
65,1081344.0,53.4375
66,1097728.0,56.5625
67,1114112.0,59.375
68,1130496.0,57.5
69,1146880.0,58.125
70,1163264.0,58.75
71,1179648.0,60.625
72,1196032.0,59.375
73,1212416.0,58.4375
74,1228800.0,59.6875
75,1245184.0,66.875
76,1261568.0,67.5
77,1277952.0,55.0
78,1294336.0,64.375
79,1310720.0,66.5625
80,1327104.0,67.5
81,1343488.0,65.9375
82,1359872.0,66.25
83,1376256.0,67.1875
84,1392640.0,67.1875
85,1409024.0,61.5625
86,1425408.0,62.5
87,1441792.0,63.125
88,1458176.0,59.6875
89,1474560.0,67.1875
90,1490944.0,70.0
91,1507328.0,63.4375
92,1523712.0,68.4375
93,1540096.0,60.9375
94,1556480.0,59.375
95,1572864.0,67.1875
96,1589248.0,64.6875
97,1605632.0,62.8125
98,1622016.0,63.75
99,1638400.0,61.5625
100,1654784.0,58.4375
101,1671168.0,64.375
102,1687552.0,61.875
103,1703936.0,62.1875
104,1720320.0,70.0
105,1736704.0,64.6875
106,1753088.0,61.5625
107,1769472.0,60.3125
108,1785856.0,59.0625
109,1802240.0,61.875
110,1818624.0,61.875
111,1835008.0,61.875
112,1851392.0,62.5
113,1867776.0,55.625
114,1884160.0,65.625
115,1900544.0,58.125
116,1916928.0,62.5
117,1933312.0,59.375
118,1949696.0,59.6875
119,1966080.0,59.6875
120,1982464.0,57.1875
121,1998848.0,66.5625
122,2015232.0,61.25
123,2031616.0,63.75
124,2048000.0,63.4375
125,2064384.0,61.5625
126,2080768.0,62.1875
127,2097152.0,66.25
128,2113536.0,68.125
129,2129920.0,68.75
130,2146304.0,66.5625
131,2162688.0,67.5
132,2179072.0,63.75
133,2195456.0,67.8125
134,2211840.0,65.0
135,2228224.0,65.3125
136,2244608.0,63.4375
137,2260992.0,69.0625
138,2277376.0,73.125
139,2293760.0,64.6875
140,2310144.0,65.9375
141,2326528.0,69.0625
142,2342912.0,65.3125
143,2359296.0,65.0
144,2375680.0,64.6875
145,2392064.0,67.5
146,2408448.0,70.3125
147,2424832.0,67.1875
148,2441216.0,65.9375
149,2457600.0,65.3125
150,2473984.0,57.5
151,2490368.0,67.1875
152,2506752.0,71.5625
153,2523136.0,66.875
154,2539520.0,67.1875
155,2555904.0,65.9375
156,2572288.0,69.6875
157,2588672.0,69.6875
158,2605056.0,64.375
159,2621440.0,62.8125
160,2637824.0,60.9375
161,2654208.0,74.6875
162,2670592.0,63.75
163,2686976.0,68.125
164,2703360.0,69.0625
165,2719744.0,65.0
166,2736128.0,67.8125
167,2752512.0,68.4375
168,2768896.0,67.1875
169,2785280.0,63.75
170,2801664.0,69.0625
171,2818048.0,70.0
172,2834432.0,67.5
173,2850816.0,66.5625
174,2867200.0,73.75
175,2883584.0,70.3125
176,2899968.0,67.8125
177,2916352.0,69.6875
178,2932736.0,68.4375
179,2949120.0,65.3125
180,2965504.0,74.0625
181,2981888.0,68.4375
182,2998272.0,65.3125
183,3014656.0,71.25
184,3031040.0,65.9375
185,3047424.0,72.8125
186,3063808.0,71.875
187,3080192.0,70.0
188,3096576.0,66.25
189,3112960.0,72.8125
190,3129344.0,70.0
191,3145728.0,73.125
192,3162112.0,69.6875
193,3178496.0,72.1875
194,3194880.0,67.8125
195,3211264.0,69.0625
196,3227648.0,71.875
197,3244032.0,72.1875
198,3260416.0,69.375
199,3276800.0,72.1875
200,3293184.0,70.9375
201,3309568.0,71.5625
202,3325952.0,71.5625
203,3342336.0,74.6875
204,3358720.0,65.9375
205,3375104.0,71.5625
206,3391488.0,70.0
207,3407872.0,66.25
208,3424256.0,70.0
209,3440640.0,80.9375
210,3457024.0,70.625
211,3473408.0,73.4375
212,3489792.0,68.4375
213,3506176.0,67.8125
214,3522560.0,80.625
215,3538944.0,72.5
