,Step,Average_Reward
0,8192.0,1.875
1,16384.0,0.625
2,24576.0,1.875
3,32768.0,1.25
4,40960.0,1.5625
5,49152.0,1.875
6,57344.0,1.875
7,65536.0,2.1875
8,73728.0,2.5
9,81920.0,2.1875
10,90112.0,7.5
11,98304.0,4.375
12,106496.0,6.25
13,114688.0,8.4375
14,122880.0,9.375
15,131072.0,10.9375
16,139264.0,10.9375
17,147456.0,14.6875
18,155648.0,16.5625
19,163840.0,15.0
20,172032.0,12.8125
21,180224.0,15.9375
22,188416.0,13.75
23,196608.0,16.875
24,204800.0,14.0625
25,212992.0,17.5
26,221184.0,17.8125
27,229376.0,18.4375
28,237568.0,18.125
29,245760.0,20.0
30,253952.0,19.0625
31,262144.0,19.6875
32,270336.0,18.4375
33,278528.0,20.0
34,286720.0,16.25
35,294912.0,21.5625
36,303104.0,18.4375
37,311296.0,21.875
38,319488.0,18.75
39,327680.0,19.375
40,335872.0,23.75
41,344064.0,18.4375
42,352256.0,21.25
43,360448.0,20.3125
44,368640.0,25.625
45,376832.0,22.8125
46,385024.0,22.8125
47,393216.0,22.1875
48,401408.0,25.625
49,409600.0,22.5
50,417792.0,23.75
51,425984.0,23.125
52,434176.0,24.0625
53,442368.0,20.3125
54,450560.0,23.125
55,458752.0,22.8125
56,466944.0,22.5
57,475136.0,23.125
58,483328.0,24.0625
59,491520.0,19.0625
60,499712.0,26.25
61,507904.0,20.9375
62,516096.0,26.5625
63,524288.0,28.125
64,532480.0,22.8125
65,540672.0,26.875
66,548864.0,20.625
67,557056.0,24.375
68,565248.0,23.75
69,573440.0,22.5
70,581632.0,27.8125
71,589824.0,22.1875
72,598016.0,22.1875
73,606208.0,24.6875
74,614400.0,23.125
75,622592.0,27.1875
76,630784.0,23.75
77,638976.0,23.4375
78,647168.0,27.5
79,655360.0,20.0
80,663552.0,25.3125
81,671744.0,26.875
82,679936.0,26.875
83,688128.0,27.1875
84,696320.0,26.875
85,704512.0,24.6875
86,712704.0,20.0
87,720896.0,23.75
88,729088.0,24.6875
89,737280.0,26.875
90,745472.0,22.5
91,753664.0,25.0
92,761856.0,26.5625
93,770048.0,25.0
94,778240.0,20.9375
95,786432.0,26.875
96,794624.0,24.6875
97,802816.0,25.625
98,811008.0,26.25
99,819200.0,25.625
100,827392.0,24.375
101,835584.0,22.5
102,843776.0,26.5625
103,851968.0,20.9375
104,860160.0,28.125
105,868352.0,25.3125
106,876544.0,25.9375
107,884736.0,25.625
108,892928.0,24.6875
109,901120.0,25.0
110,909312.0,21.5625
111,917504.0,23.125
112,925696.0,20.0
113,933888.0,25.9375
114,942080.0,25.625
115,950272.0,23.75
116,958464.0,22.8125
117,966656.0,25.9375
118,974848.0,26.25
119,983040.0,25.0
120,991232.0,23.125
121,999424.0,27.5
122,1007616.0,24.0625
123,1015808.0,23.75
124,1024000.0,27.5
125,1032192.0,22.5
126,1040384.0,25.3125
127,1048576.0,26.875
128,1056768.0,23.125
129,1064960.0,24.6875
130,1073152.0,23.75
131,1081344.0,21.875
132,1089536.0,25.0
133,1097728.0,26.875
134,1105920.0,25.625
135,1114112.0,24.0625
136,1122304.0,25.3125
137,1130496.0,25.625
