,Step,Average_Reward
0,8192.0,1.875
1,16384.0,2.5
2,24576.0,0.625
3,32768.0,1.875
4,40960.0,1.5625
5,49152.0,0.9375
6,57344.0,1.5625
7,65536.0,1.875
8,73728.0,1.875
9,81920.0,1.5625
10,90112.0,1.875
11,98304.0,2.8125
12,106496.0,4.375
13,114688.0,4.0625
14,122880.0,3.4375
15,131072.0,6.5625
16,139264.0,6.5625
17,147456.0,6.875
18,155648.0,6.875
19,163840.0,10.0
20,172032.0,8.75
21,180224.0,12.8125
22,188416.0,10.9375
23,196608.0,11.25
24,204800.0,11.25
25,212992.0,11.25
26,221184.0,10.3125
27,229376.0,16.25
28,237568.0,10.9375
29,245760.0,13.125
30,253952.0,11.875
31,262144.0,11.5625
32,270336.0,15.625
33,278528.0,12.5
34,286720.0,17.5
35,294912.0,15.9375
36,303104.0,17.5
37,311296.0,15.9375
38,319488.0,14.375
39,327680.0,18.4375
40,335872.0,16.875
41,344064.0,19.6875
42,352256.0,18.4375
43,360448.0,17.1875
44,368640.0,15.9375
45,376832.0,16.875
46,385024.0,18.75
47,393216.0,21.5625
48,401408.0,17.8125
49,409600.0,20.625
50,417792.0,20.9375
51,425984.0,21.5625
52,434176.0,20.9375
53,442368.0,22.5
54,450560.0,21.875
55,458752.0,25.9375
56,466944.0,21.875
57,475136.0,22.8125
58,483328.0,25.625
59,491520.0,23.75
60,499712.0,22.1875
61,507904.0,22.8125
62,516096.0,20.3125
63,524288.0,27.1875
64,532480.0,25.3125
65,540672.0,25.9375
66,548864.0,20.0
67,557056.0,22.5
68,565248.0,28.4375
69,573440.0,26.875
70,581632.0,24.6875
71,589824.0,24.6875
72,598016.0,24.6875
73,606208.0,25.3125
74,614400.0,24.0625
75,622592.0,23.75
76,630784.0,26.5625
77,638976.0,23.4375
78,647168.0,26.25
79,655360.0,25.0
80,663552.0,28.75
81,671744.0,24.0625
82,679936.0,25.3125
83,688128.0,26.875
84,696320.0,29.375
85,704512.0,27.5
86,712704.0,28.4375
87,720896.0,29.375
88,729088.0,28.75
89,737280.0,25.9375
90,745472.0,26.25
91,753664.0,28.75
92,761856.0,25.0
93,770048.0,32.1875
94,778240.0,26.5625
95,786432.0,27.5
96,794624.0,34.0625
97,802816.0,28.4375
98,811008.0,31.25
99,819200.0,28.4375
100,827392.0,29.6875
101,835584.0,28.4375
102,843776.0,27.5
103,851968.0,28.4375
104,860160.0,30.3125
105,868352.0,25.625
106,876544.0,30.625
107,884736.0,29.6875
108,892928.0,28.4375
109,901120.0,27.1875
110,909312.0,25.0
111,917504.0,28.125
112,925696.0,25.625
113,933888.0,31.5625
114,942080.0,29.375
115,950272.0,31.5625
116,958464.0,26.5625
117,966656.0,27.8125
118,974848.0,32.1875
119,983040.0,31.875
120,991232.0,29.375
121,999424.0,30.0
122,1007616.0,28.125
123,1015808.0,30.625
124,1024000.0,33.125
125,1032192.0,27.8125
126,1040384.0,30.625
127,1048576.0,30.0
128,1056768.0,30.0
129,1064960.0,27.8125
130,1073152.0,27.1875
131,1081344.0,31.875
132,1089536.0,33.4375
133,1097728.0,28.125
134,1105920.0,26.5625
135,1114112.0,29.6875
136,1122304.0,26.5625
137,1130496.0,29.0625
138,1138688.0,28.4375
139,1146880.0,29.0625
