,Step,Average_Reward
0,8192.0,2.1875
1,16384.0,1.5625
2,24576.0,0.625
3,32768.0,0.9375
4,40960.0,0.625
5,49152.0,1.875
6,57344.0,1.5625
7,65536.0,1.5625
8,73728.0,0.9375
9,81920.0,2.5
10,90112.0,2.5
11,98304.0,4.375
12,106496.0,5.3125
13,114688.0,6.25
14,122880.0,7.8125
15,131072.0,10.625
16,139264.0,8.75
17,147456.0,8.75
18,155648.0,10.3125
19,163840.0,10.625
20,172032.0,14.0625
21,180224.0,12.8125
22,188416.0,16.25
23,196608.0,17.1875
24,204800.0,15.9375
25,212992.0,15.0
26,221184.0,15.0
27,229376.0,13.125
28,237568.0,17.5
29,245760.0,16.5625
30,253952.0,18.125
31,262144.0,18.4375
32,270336.0,16.875
33,278528.0,18.125
34,286720.0,16.25
35,294912.0,16.875
36,303104.0,19.0625
37,311296.0,18.125
38,319488.0,18.75
39,327680.0,19.6875
40,335872.0,18.125
41,344064.0,19.375
42,352256.0,15.9375
43,360448.0,19.0625
44,368640.0,17.1875
45,376832.0,18.125
46,385024.0,20.0
47,393216.0,19.6875
48,401408.0,20.0
49,409600.0,18.4375
50,417792.0,21.5625
51,425984.0,19.0625
52,434176.0,21.5625
53,442368.0,19.6875
54,450560.0,20.3125
55,458752.0,20.0
56,466944.0,22.5
57,475136.0,18.75
58,483328.0,21.5625
59,491520.0,20.0
60,499712.0,16.5625
61,507904.0,18.75
62,516096.0,21.875
63,524288.0,22.1875
64,532480.0,20.625
65,540672.0,22.8125
66,548864.0,18.125
67,557056.0,21.5625
68,565248.0,24.0625
69,573440.0,21.25
70,581632.0,19.375
71,589824.0,18.75
72,598016.0,23.75
73,606208.0,21.25
74,614400.0,20.3125
75,622592.0,22.8125
76,630784.0,20.3125
77,638976.0,21.25
78,647168.0,20.0
79,655360.0,22.1875
80,663552.0,22.1875
81,671744.0,21.25
82,679936.0,24.375
83,688128.0,21.25
84,696320.0,20.3125
85,704512.0,23.4375
86,712704.0,22.8125
87,720896.0,19.375
88,729088.0,23.75
89,737280.0,23.75
90,745472.0,18.75
91,753664.0,21.25
92,761856.0,18.4375
93,770048.0,21.5625
94,778240.0,23.4375
95,786432.0,21.5625
96,794624.0,20.3125
97,802816.0,22.5
98,811008.0,21.5625
99,819200.0,23.4375
100,827392.0,24.6875
101,835584.0,20.3125
102,843776.0,22.1875
103,851968.0,21.875
104,860160.0,26.5625
105,868352.0,23.125
106,876544.0,22.8125
107,884736.0,27.1875
108,892928.0,25.0
109,901120.0,25.625
110,909312.0,24.0625
111,917504.0,21.25
112,925696.0,25.625
113,933888.0,23.4375
114,942080.0,22.8125
115,950272.0,27.1875
116,958464.0,25.9375
117,966656.0,23.4375
118,974848.0,22.8125
119,983040.0,23.125
120,991232.0,22.5
121,999424.0,22.1875
122,1007616.0,25.0
123,1015808.0,20.0
124,1024000.0,23.125
125,1032192.0,25.0
126,1040384.0,21.5625
127,1048576.0,22.8125
128,1056768.0,25.3125
129,1064960.0,22.5
130,1073152.0,21.875
131,1081344.0,24.375
132,1089536.0,21.875
133,1097728.0,26.5625
134,1105920.0,22.1875
135,1114112.0,20.3125
136,1122304.0,25.0
137,1130496.0,24.6875
138,1138688.0,23.75
139,1146880.0,24.375
140,1155072.0,26.25
141,1163264.0,22.1875
142,1171456.0,23.75
143,1179648.0,25.625
144,1187840.0,25.9375
145,1196032.0,26.5625
146,1204224.0,23.125
147,1212416.0,24.0625
148,1220608.0,25.9375
149,1228800.0,22.8125
150,1236992.0,24.375
151,1245184.0,24.375
152,1253376.0,23.125
153,1261568.0,24.375
154,1269760.0,21.875
155,1277952.0,25.625
156,1286144.0,23.75
157,1294336.0,20.9375
158,1302528.0,21.25
159,1310720.0,23.75
160,1318912.0,26.25
161,1327104.0,23.4375
162,1335296.0,25.3125
163,1343488.0,23.75
164,1351680.0,24.0625
165,1359872.0,23.125
166,1368064.0,24.375
167,1376256.0,25.9375
168,1384448.0,26.875
169,1392640.0,21.5625
170,1400832.0,25.3125
171,1409024.0,23.125
172,1417216.0,20.0
173,1425408.0,25.625
174,1433600.0,24.6875
175,1441792.0,25.9375
176,1449984.0,25.0
177,1458176.0,22.8125
178,1466368.0,23.125
179,1474560.0,25.0
180,1482752.0,26.5625
181,1490944.0,22.1875
182,1499136.0,25.3125
183,1507328.0,25.0
184,1515520.0,22.8125
185,1523712.0,23.75
186,1531904.0,25.9375
187,1540096.0,19.375
188,1548288.0,24.6875
189,1556480.0,25.0
190,1564672.0,25.0
191,1572864.0,25.0
192,1581056.0,29.0625
193,1589248.0,26.25
194,1597440.0,25.625
195,1605632.0,20.9375
196,1613824.0,23.75
197,1622016.0,28.125
198,1630208.0,26.875
199,1638400.0,23.75
200,1646592.0,26.5625
201,1654784.0,27.8125
202,1662976.0,22.5
203,1671168.0,28.4375
204,1679360.0,28.125
205,1687552.0,22.8125
206,1695744.0,24.375
207,1703936.0,24.0625
208,1712128.0,25.625
209,1720320.0,26.875
210,1728512.0,25.9375
211,1736704.0,28.75
212,1744896.0,25.0
213,1753088.0,25.3125
214,1761280.0,21.25
215,1769472.0,24.375
216,1777664.0,26.875
217,1785856.0,26.5625
218,1794048.0,26.875
219,1802240.0,23.75
220,1810432.0,27.1875
221,1818624.0,24.6875
222,1826816.0,23.125
223,1835008.0,27.1875
224,1843200.0,24.6875
225,1851392.0,23.75
226,1859584.0,26.25
227,1867776.0,24.0625
228,1875968.0,23.75
229,1884160.0,25.3125
230,1892352.0,26.5625
231,1900544.0,22.8125
232,1908736.0,28.4375
233,1916928.0,23.4375
234,1925120.0,24.6875
235,1933312.0,28.4375
236,1941504.0,26.5625
237,1949696.0,26.25
238,1957888.0,23.4375
239,1966080.0,28.4375
240,1974272.0,22.1875
241,1982464.0,23.4375
242,1990656.0,23.125
243,1998848.0,21.25
244,2007040.0,26.875
245,2015232.0,26.25
246,2023424.0,29.375
247,2031616.0,26.5625
248,2039808.0,26.875
249,2048000.0,22.1875
250,2056192.0,26.875
251,2064384.0,28.125
252,2072576.0,27.5
253,2080768.0,30.3125
254,2088960.0,27.1875
255,2097152.0,27.8125
256,2105344.0,26.875
257,2113536.0,25.3125
258,2121728.0,25.0
259,2129920.0,23.125
260,2138112.0,25.0
261,2146304.0,22.5
262,2154496.0,29.0625
263,2162688.0,23.75
264,2170880.0,26.875
265,2179072.0,22.5
266,2187264.0,27.8125
267,2195456.0,24.0625
268,2203648.0,26.875
269,2211840.0,25.0
270,2220032.0,25.3125
271,2228224.0,22.5
272,2236416.0,24.6875
273,2244608.0,21.875
274,2252800.0,27.8125
275,2260992.0,26.875
276,2269184.0,25.625
277,2277376.0,25.9375
278,2285568.0,25.625
279,2293760.0,24.375
280,2301952.0,23.75
281,2310144.0,25.9375
282,2318336.0,25.9375
283,2326528.0,24.375
284,2334720.0,24.375
285,2342912.0,27.8125
286,2351104.0,24.6875
287,2359296.0,24.0625
288,2367488.0,27.5
289,2375680.0,27.5
290,2383872.0,27.5
291,2392064.0,29.6875
292,2400256.0,26.875
293,2408448.0,27.1875
294,2416640.0,31.5625
295,2424832.0,25.3125
296,2433024.0,27.8125
297,2441216.0,30.0
298,2449408.0,27.1875
299,2457600.0,26.875
300,2465792.0,26.25
301,2473984.0,29.375
302,2482176.0,27.1875
303,2490368.0,25.9375
304,2498560.0,26.25
305,2506752.0,25.625
306,2514944.0,29.0625
307,2523136.0,25.0
308,2531328.0,25.625
309,2539520.0,27.8125
310,2547712.0,27.1875
311,2555904.0,27.8125
312,2564096.0,26.5625
313,2572288.0,31.5625
314,2580480.0,28.75
315,2588672.0,27.8125
316,2596864.0,25.625
317,2605056.0,25.0
318,2613248.0,26.5625
319,2621440.0,30.0
320,2629632.0,29.375
321,2637824.0,25.0
322,2646016.0,25.625
323,2654208.0,26.875
324,2662400.0,27.5
325,2670592.0,29.6875
326,2678784.0,26.25
327,2686976.0,25.9375
328,2695168.0,27.8125
329,2703360.0,25.9375
330,2711552.0,26.5625
331,2719744.0,26.5625
332,2727936.0,26.25
333,2736128.0,22.8125
334,2744320.0,27.1875
335,2752512.0,27.1875
336,2760704.0,31.5625
337,2768896.0,25.9375
338,2777088.0,30.9375
339,2785280.0,24.0625
340,2793472.0,23.125
341,2801664.0,29.0625
342,2809856.0,28.125
343,2818048.0,28.125
344,2826240.0,26.875
345,2834432.0,30.0
346,2842624.0,24.375
347,2850816.0,26.25
348,2859008.0,29.6875
349,2867200.0,26.875
350,2875392.0,25.3125
351,2883584.0,25.3125
352,2891776.0,27.1875
353,2899968.0,27.1875
354,2908160.0,25.9375
355,2916352.0,29.0625
356,2924544.0,27.8125
357,2932736.0,28.125
358,2940928.0,27.5
359,2949120.0,29.375
360,2957312.0,28.125
361,2965504.0,25.9375
362,2973696.0,28.4375
363,2981888.0,25.625
364,2990080.0,25.3125
365,2998272.0,34.0625
366,3006464.0,28.75
367,3014656.0,21.25
368,3022848.0,24.0625
369,3031040.0,27.8125
370,3039232.0,27.8125
371,3047424.0,26.5625
372,3055616.0,31.5625
373,3063808.0,28.4375
374,3072000.0,26.25
375,3080192.0,26.875
376,3088384.0,28.4375
377,3096576.0,25.3125
378,3104768.0,26.5625
379,3112960.0,26.25
380,3121152.0,25.625
381,3129344.0,27.8125
382,3137536.0,28.125
383,3145728.0,25.9375
384,3153920.0,29.6875
385,3162112.0,27.8125
386,3170304.0,28.75
387,3178496.0,25.9375
388,3186688.0,26.875
389,3194880.0,25.3125
390,3203072.0,31.5625
391,3211264.0,24.6875
392,3219456.0,26.25
393,3227648.0,31.875
394,3235840.0,29.0625
395,3244032.0,24.375
396,3252224.0,30.0
397,3260416.0,28.125
398,3268608.0,32.1875
399,3276800.0,26.25
400,3284992.0,28.125
401,3293184.0,27.8125
402,3301376.0,27.1875
403,3309568.0,24.6875
404,3317760.0,28.4375
405,3325952.0,25.0
406,3334144.0,26.875
407,3342336.0,27.5
408,3350528.0,30.0
409,3358720.0,22.8125
410,3366912.0,26.5625
411,3375104.0,25.3125
412,3383296.0,27.1875
413,3391488.0,27.5
414,3399680.0,29.0625
415,3407872.0,28.125
416,3416064.0,27.5
417,3424256.0,25.625
418,3432448.0,29.6875
419,3440640.0,26.875
420,3448832.0,28.125
421,3457024.0,28.75
422,3465216.0,26.5625
423,3473408.0,25.625
424,3481600.0,27.1875
425,3489792.0,25.3125
426,3497984.0,27.8125
427,3506176.0,28.75
428,3514368.0,28.75
429,3522560.0,29.375
430,3530752.0,26.25
431,3538944.0,31.25
432,3547136.0,28.75
433,3555328.0,25.0
434,3563520.0,28.75
435,3571712.0,28.4375
436,3579904.0,27.1875
437,3588096.0,29.0625
438,3596288.0,30.625
439,3604480.0,26.875
440,3612672.0,25.625
441,3620864.0,31.25
442,3629056.0,29.0625
443,3637248.0,28.125
444,3645440.0,33.125
445,3653632.0,30.625
446,3661824.0,29.6875
447,3670016.0,29.375
448,3678208.0,27.5
449,3686400.0,31.25
450,3694592.0,28.4375
451,3702784.0,22.5
452,3710976.0,29.375
453,3719168.0,26.5625
454,3727360.0,28.125
455,3735552.0,25.3125
456,3743744.0,28.4375
457,3751936.0,28.75
458,3760128.0,29.0625
459,3768320.0,28.125
460,3776512.0,26.875
461,3784704.0,30.0
462,3792896.0,26.25
463,3801088.0,25.0
464,3809280.0,31.875
465,3817472.0,26.25
466,3825664.0,27.1875
467,3833856.0,29.0625
468,3842048.0,28.125
469,3850240.0,24.0625
470,3858432.0,30.9375
471,3866624.0,28.75
472,3874816.0,29.0625
473,3883008.0,26.875
474,3891200.0,27.5
475,3899392.0,26.875
476,3907584.0,25.9375
477,3915776.0,26.25
478,3923968.0,29.6875
479,3932160.0,26.5625
480,3940352.0,27.5
481,3948544.0,27.5
482,3956736.0,22.5
483,3964928.0,20.9375
484,3973120.0,26.875
485,3981312.0,33.4375
486,3989504.0,27.5
487,3997696.0,26.25
488,4005888.0,31.25
489,4014080.0,26.25
490,4022272.0,29.375
491,4030464.0,23.75
492,4038656.0,29.6875
493,4046848.0,25.9375
494,4055040.0,27.8125
495,4063232.0,26.875
496,4071424.0,30.3125
497,4079616.0,30.0
498,4087808.0,27.1875
499,4096000.0,32.1875
500,4104192.0,26.25
501,4112384.0,26.5625
502,4120576.0,25.625
503,4128768.0,24.6875
504,4136960.0,27.1875
505,4145152.0,25.625
506,4153344.0,28.75
507,4161536.0,27.1875
508,4169728.0,27.5
509,4177920.0,31.5625
510,4186112.0,29.6875
511,4194304.0,28.125
512,4202496.0,24.375
513,4210688.0,29.0625
514,4218880.0,25.0
515,4227072.0,25.625
516,4235264.0,29.6875
517,4243456.0,27.8125
518,4251648.0,28.75
519,4259840.0,27.8125
520,4268032.0,30.0
521,4276224.0,27.1875
522,4284416.0,27.8125
523,4292608.0,24.6875
524,4300800.0,23.75
525,4308992.0,25.9375
526,4317184.0,28.4375
527,4325376.0,29.0625
528,4333568.0,27.5
529,4341760.0,27.5
530,4349952.0,29.0625
