,Step,Average_Reward
0,8192.0,0.625
1,16384.0,2.5
2,24576.0,0.9375
3,32768.0,1.25
4,40960.0,1.25
5,49152.0,0.625
6,57344.0,1.875
7,65536.0,0.625
8,73728.0,1.5625
9,81920.0,1.25
10,90112.0,1.5625
11,98304.0,1.875
12,106496.0,0.625
13,114688.0,1.5625
14,122880.0,1.5625
15,131072.0,0.3125
16,139264.0,1.875
17,147456.0,0.9375
18,155648.0,3.4375
19,163840.0,0.625
20,172032.0,2.1875
21,180224.0,1.875
22,188416.0,0.3125
23,196608.0,3.125
24,204800.0,1.25
25,212992.0,3.4375
26,221184.0,3.125
27,229376.0,2.8125
28,237568.0,1.875
29,245760.0,3.75
30,253952.0,2.5
31,262144.0,1.5625
32,270336.0,1.5625
33,278528.0,3.75
34,286720.0,1.5625
35,294912.0,1.5625
36,303104.0,2.1875
37,311296.0,1.25
38,319488.0,3.125
39,327680.0,2.8125
40,335872.0,1.875
41,344064.0,1.25
42,352256.0,2.5
43,360448.0,2.5
44,368640.0,4.0625
45,376832.0,3.125
46,385024.0,1.875
47,393216.0,3.125
48,401408.0,2.1875
49,409600.0,5.0
50,417792.0,3.75
51,425984.0,2.5
52,434176.0,1.5625
53,442368.0,2.5
54,450560.0,4.375
55,458752.0,3.4375
56,466944.0,3.4375
57,475136.0,2.8125
58,483328.0,1.875
59,491520.0,2.8125
60,499712.0,2.5
61,507904.0,3.4375
62,516096.0,2.8125
63,524288.0,3.125
64,532480.0,5.0
65,540672.0,2.8125
66,548864.0,5.0
67,557056.0,3.4375
68,565248.0,3.4375
69,573440.0,4.0625
70,581632.0,2.8125
71,589824.0,5.3125
72,598016.0,2.8125
73,606208.0,5.0
74,614400.0,4.375
75,622592.0,4.375
76,630784.0,4.375
77,638976.0,4.375
78,647168.0,7.1875
79,655360.0,2.1875
80,663552.0,7.8125
81,671744.0,7.5
82,679936.0,7.8125
83,688128.0,3.4375
84,696320.0,4.6875
85,704512.0,3.125
86,712704.0,4.375
87,720896.0,4.6875
88,729088.0,4.6875
89,737280.0,4.0625
90,745472.0,4.375
91,753664.0,4.375
92,761856.0,3.125
93,770048.0,5.625
94,778240.0,6.5625
95,786432.0,5.3125
96,794624.0,8.125
97,802816.0,6.875
98,811008.0,2.8125
99,819200.0,6.5625
100,827392.0,7.5
101,835584.0,5.625
102,843776.0,8.125
103,851968.0,4.375
104,860160.0,5.0
105,868352.0,7.5
106,876544.0,3.75
107,884736.0,8.125
108,892928.0,8.4375
109,901120.0,6.25
110,909312.0,5.3125
111,917504.0,4.0625
112,925696.0,4.0625
113,933888.0,5.0
114,942080.0,7.8125
115,950272.0,6.875
116,958464.0,4.375
117,966656.0,5.9375
118,974848.0,8.125
119,983040.0,6.875
120,991232.0,8.125
121,999424.0,6.875
122,1007616.0,7.1875
123,1015808.0,7.8125
124,1024000.0,7.1875
125,1032192.0,7.8125
126,1040384.0,8.75
127,1048576.0,8.125
128,1056768.0,8.4375
129,1064960.0,7.1875
130,1073152.0,12.5
131,1081344.0,10.3125
132,1089536.0,7.8125
133,1097728.0,13.125
134,1105920.0,6.5625
