,Step,Average_Reward
0,8192.0,0.9375
1,16384.0,0.9375
2,24576.0,1.25
3,32768.0,0.625
4,40960.0,0.625
5,49152.0,1.875
6,57344.0,2.1875
7,65536.0,2.1875
8,73728.0,3.125
9,81920.0,1.875
10,90112.0,2.8125
11,98304.0,3.125
12,106496.0,2.8125
13,114688.0,5.0
14,122880.0,5.0
15,131072.0,7.5
16,139264.0,6.25
17,147456.0,6.875
18,155648.0,6.875
19,163840.0,9.0625
20,172032.0,12.1875
21,180224.0,12.1875
22,188416.0,14.375
23,196608.0,14.375
24,204800.0,14.6875
25,212992.0,16.25
26,221184.0,16.875
27,229376.0,19.375
28,237568.0,15.3125
29,245760.0,19.375
30,253952.0,19.6875
31,262144.0,17.8125
32,270336.0,21.5625
33,278528.0,24.0625
34,286720.0,18.125
35,294912.0,23.75
36,303104.0,19.6875
37,311296.0,19.6875
38,319488.0,28.4375
39,327680.0,20.625
40,335872.0,22.5
41,344064.0,24.375
42,352256.0,24.6875
43,360448.0,21.5625
44,368640.0,24.0625
45,376832.0,23.125
46,385024.0,22.8125
47,393216.0,22.1875
48,401408.0,25.625
49,409600.0,25.625
50,417792.0,22.5
51,425984.0,22.1875
52,434176.0,19.0625
53,442368.0,25.9375
54,450560.0,21.25
55,458752.0,23.4375
56,466944.0,18.125
57,475136.0,20.0
58,483328.0,23.4375
59,491520.0,19.0625
60,499712.0,24.375
61,507904.0,17.1875
62,516096.0,16.5625
63,524288.0,13.125
64,532480.0,15.625
65,540672.0,15.625
66,548864.0,16.25
67,557056.0,17.5
68,565248.0,20.0
69,573440.0,16.25
70,581632.0,15.0
71,589824.0,11.875
72,598016.0,11.25
73,606208.0,9.375
74,614400.0,13.4375
75,622592.0,15.9375
76,630784.0,11.25
77,638976.0,10.3125
78,647168.0,13.125
79,655360.0,9.6875
80,663552.0,11.875
81,671744.0,10.625
82,679936.0,11.25
83,688128.0,8.125
84,696320.0,8.75
85,704512.0,14.375
86,712704.0,12.5
87,720896.0,14.375
88,729088.0,11.875
89,737280.0,10.9375
90,745472.0,9.375
91,753664.0,12.5
92,761856.0,15.9375
93,770048.0,15.9375
94,778240.0,14.0625
95,786432.0,15.3125
96,794624.0,13.75
97,802816.0,13.125
98,811008.0,9.375
99,819200.0,12.1875
100,827392.0,9.0625
101,835584.0,12.5
102,843776.0,15.9375
103,851968.0,13.4375
104,860160.0,12.5
105,868352.0,17.1875
106,876544.0,10.0
107,884736.0,13.75
108,892928.0,8.125
109,901120.0,12.1875
110,909312.0,12.5
111,917504.0,14.0625
112,925696.0,10.9375
113,933888.0,12.5
114,942080.0,11.25
115,950272.0,10.0
116,958464.0,7.8125
117,966656.0,12.1875
118,974848.0,12.5
119,983040.0,11.25
120,991232.0,7.5
121,999424.0,7.1875
122,1007616.0,7.1875
123,1015808.0,10.0
124,1024000.0,8.75
125,1032192.0,7.8125
126,1040384.0,12.1875
127,1048576.0,10.0
128,1056768.0,13.125
129,1064960.0,14.6875
130,1073152.0,16.25
131,1081344.0,11.875
132,1089536.0,10.9375
133,1097728.0,8.75
134,1105920.0,13.75
135,1114112.0,13.75
136,1122304.0,9.0625
137,1130496.0,10.625
138,1138688.0,12.5
139,1146880.0,12.8125
140,1155072.0,15.0
141,1163264.0,13.75
142,1171456.0,12.1875
143,1179648.0,15.0
144,1187840.0,14.0625
145,1196032.0,13.4375
146,1204224.0,17.5
147,1212416.0,16.25
148,1220608.0,17.5
149,1228800.0,15.3125
150,1236992.0,12.8125
151,1245184.0,15.0
152,1253376.0,15.9375
153,1261568.0,14.0625
154,1269760.0,16.5625
155,1277952.0,14.0625
156,1286144.0,10.9375
157,1294336.0,10.9375
158,1302528.0,9.375
159,1310720.0,10.3125
160,1318912.0,10.3125
161,1327104.0,11.25
162,1335296.0,13.75
