,Step,Average_Reward
0,8192.0,0.9375
1,16384.0,0.9375
2,24576.0,0.9375
3,32768.0,1.25
4,40960.0,1.5625
5,49152.0,1.875
6,57344.0,3.125
7,65536.0,3.75
8,73728.0,3.4375
9,81920.0,2.1875
10,90112.0,4.0625
11,98304.0,6.25
12,106496.0,5.3125
13,114688.0,5.625
14,122880.0,7.1875
15,131072.0,5.9375
16,139264.0,5.625
17,147456.0,8.4375
18,155648.0,7.8125
19,163840.0,6.5625
20,172032.0,9.6875
21,180224.0,10.0
22,188416.0,13.75
23,196608.0,14.0625
24,204800.0,9.6875
25,212992.0,11.875
26,221184.0,9.6875
27,229376.0,14.0625
28,237568.0,13.125
29,245760.0,15.625
30,253952.0,16.5625
31,262144.0,11.875
32,270336.0,17.1875
33,278528.0,15.625
34,286720.0,15.0
35,294912.0,18.4375
36,303104.0,14.375
37,311296.0,14.6875
38,319488.0,18.125
39,327680.0,15.625
40,335872.0,16.875
41,344064.0,14.6875
42,352256.0,16.5625
43,360448.0,17.5
44,368640.0,19.0625
45,376832.0,17.1875
46,385024.0,17.5
47,393216.0,18.4375
48,401408.0,20.9375
49,409600.0,15.0
50,417792.0,14.0625
51,425984.0,19.0625
52,434176.0,15.9375
53,442368.0,16.25
54,450560.0,18.4375
55,458752.0,18.125
56,466944.0,19.6875
57,475136.0,19.6875
58,483328.0,9.375
59,491520.0,10.625
60,499712.0,17.5
61,507904.0,17.1875
62,516096.0,16.5625
63,524288.0,19.6875
64,532480.0,16.5625
65,540672.0,18.125
66,548864.0,14.375
67,557056.0,11.875
68,565248.0,11.5625
69,573440.0,15.3125
70,581632.0,17.8125
71,589824.0,13.125
72,598016.0,11.5625
73,606208.0,12.8125
74,614400.0,13.75
75,622592.0,11.875
76,630784.0,11.5625
77,638976.0,10.9375
78,647168.0,14.375
79,655360.0,11.875
80,663552.0,13.75
81,671744.0,12.5
82,679936.0,12.5
83,688128.0,10.9375
84,696320.0,15.3125
85,704512.0,15.3125
86,712704.0,11.25
87,720896.0,15.3125
88,729088.0,11.875
89,737280.0,14.0625
90,745472.0,16.875
91,753664.0,14.6875
92,761856.0,14.6875
93,770048.0,17.8125
94,778240.0,20.3125
95,786432.0,17.1875
96,794624.0,20.0
97,802816.0,15.3125
98,811008.0,18.4375
99,819200.0,13.4375
100,827392.0,17.1875
101,835584.0,16.875
102,843776.0,9.0625
103,851968.0,9.6875
104,860160.0,14.375
105,868352.0,12.1875
106,876544.0,10.3125
107,884736.0,16.5625
108,892928.0,14.6875
109,901120.0,10.625
110,909312.0,13.75
111,917504.0,10.0
112,925696.0,10.9375
113,933888.0,11.875
114,942080.0,10.625
115,950272.0,14.0625
116,958464.0,16.5625
117,966656.0,14.6875
118,974848.0,15.625
119,983040.0,14.0625
120,991232.0,12.5
121,999424.0,13.4375
122,1007616.0,20.625
123,1015808.0,16.25
124,1024000.0,15.9375
125,1032192.0,15.9375
126,1040384.0,14.0625
127,1048576.0,19.0625
128,1056768.0,12.1875
129,1064960.0,11.875
130,1073152.0,17.1875
131,1081344.0,13.75
132,1089536.0,18.125
133,1097728.0,17.5
134,1105920.0,16.5625
135,1114112.0,14.375
136,1122304.0,12.5
137,1130496.0,14.6875
138,1138688.0,11.875
139,1146880.0,18.4375
140,1155072.0,14.375
141,1163264.0,17.8125
142,1171456.0,15.3125
143,1179648.0,19.6875
144,1187840.0,19.6875
145,1196032.0,15.3125
146,1204224.0,19.6875
147,1212416.0,14.6875
148,1220608.0,18.4375
149,1228800.0,10.0
150,1236992.0,15.625
151,1245184.0,16.5625
152,1253376.0,7.5
153,1261568.0,13.75
154,1269760.0,16.25
155,1277952.0,18.75
156,1286144.0,15.625
157,1294336.0,14.6875
158,1302528.0,15.625
159,1310720.0,18.125
160,1318912.0,16.5625
