,Step,Average_Reward
0,8192.0,0.9375
1,16384.0,1.25
2,24576.0,2.1875
3,32768.0,0.9375
4,40960.0,1.5625
5,49152.0,2.1875
6,57344.0,1.875
7,65536.0,3.125
8,73728.0,1.25
9,81920.0,3.4375
10,90112.0,3.4375
11,98304.0,1.5625
12,106496.0,5.9375
13,114688.0,4.0625
14,122880.0,2.1875
15,131072.0,4.6875
16,139264.0,2.8125
17,147456.0,5.3125
18,155648.0,5.3125
19,163840.0,5.3125
20,172032.0,4.6875
21,180224.0,9.375
22,188416.0,7.1875
23,196608.0,5.9375
24,204800.0,10.9375
25,212992.0,9.0625
26,221184.0,14.0625
27,229376.0,13.125
28,237568.0,11.875
29,245760.0,15.9375
30,253952.0,15.625
31,262144.0,17.1875
32,270336.0,18.75
33,278528.0,21.25
34,286720.0,20.3125
35,294912.0,21.25
36,303104.0,15.625
37,311296.0,16.875
38,319488.0,21.875
39,327680.0,17.8125
40,335872.0,19.6875
41,344064.0,20.9375
42,352256.0,20.3125
43,360448.0,19.6875
44,368640.0,23.125
45,376832.0,22.1875
46,385024.0,28.125
47,393216.0,23.125
48,401408.0,15.625
49,409600.0,22.8125
50,417792.0,20.3125
51,425984.0,21.875
52,434176.0,21.25
53,442368.0,21.25
54,450560.0,21.25
55,458752.0,20.625
56,466944.0,25.0
57,475136.0,23.125
58,483328.0,20.3125
59,491520.0,21.875
60,499712.0,22.1875
61,507904.0,18.75
62,516096.0,18.125
63,524288.0,20.0
64,532480.0,20.3125
65,540672.0,18.75
66,548864.0,20.9375
67,557056.0,18.125
68,565248.0,19.6875
69,573440.0,22.5
70,581632.0,19.375
71,589824.0,21.875
72,598016.0,21.875
73,606208.0,17.5
74,614400.0,18.75
75,622592.0,20.3125
76,630784.0,20.3125
77,638976.0,22.5
78,647168.0,22.8125
79,655360.0,16.5625
80,663552.0,22.1875
81,671744.0,16.875
82,679936.0,15.625
83,688128.0,19.375
84,696320.0,18.75
85,704512.0,14.6875
86,712704.0,18.125
87,720896.0,15.9375
88,729088.0,13.75
89,737280.0,19.6875
90,745472.0,19.375
91,753664.0,11.25
92,761856.0,15.3125
93,770048.0,19.375
94,778240.0,18.4375
95,786432.0,20.625
96,794624.0,19.6875
97,802816.0,24.0625
98,811008.0,20.625
99,819200.0,20.625
100,827392.0,20.0
101,835584.0,21.875
102,843776.0,19.375
103,851968.0,20.625
104,860160.0,25.9375
105,868352.0,20.3125
106,876544.0,24.0625
107,884736.0,21.5625
108,892928.0,15.0
109,901120.0,17.1875
110,909312.0,20.3125
111,917504.0,21.25
112,925696.0,21.875
113,933888.0,22.5
114,942080.0,15.9375
115,950272.0,20.625
116,958464.0,18.4375
117,966656.0,17.5
118,974848.0,20.9375
119,983040.0,21.5625
120,991232.0,13.4375
121,999424.0,18.125
122,1007616.0,18.75
123,1015808.0,20.9375
124,1024000.0,18.125
125,1032192.0,17.5
126,1040384.0,18.4375
127,1048576.0,20.0
128,1056768.0,18.75
129,1064960.0,14.375
130,1073152.0,18.75
131,1081344.0,18.75
132,1089536.0,15.3125
133,1097728.0,16.25
134,1105920.0,15.0
135,1114112.0,18.4375
136,1122304.0,16.875
137,1130496.0,19.6875
138,1138688.0,17.5
139,1146880.0,16.5625
140,1155072.0,21.875
141,1163264.0,16.25
142,1171456.0,15.0
143,1179648.0,19.375
144,1187840.0,20.625
145,1196032.0,15.3125
146,1204224.0,15.9375
147,1212416.0,14.0625
148,1220608.0,15.625
149,1228800.0,15.625
150,1236992.0,16.875
151,1245184.0,18.125
152,1253376.0,18.125
153,1261568.0,17.8125
154,1269760.0,20.3125
155,1277952.0,17.1875
156,1286144.0,14.375
157,1294336.0,20.625
158,1302528.0,18.125
159,1310720.0,20.0
160,1318912.0,14.6875
161,1327104.0,16.25
162,1335296.0,19.6875
163,1343488.0,18.4375
164,1351680.0,16.25
165,1359872.0,15.625
166,1368064.0,23.4375
167,1376256.0,17.5
168,1384448.0,19.6875
169,1392640.0,18.125
170,1400832.0,20.9375
171,1409024.0,17.5
172,1417216.0,20.3125
173,1425408.0,20.625
174,1433600.0,16.25
175,1441792.0,16.25
176,1449984.0,15.9375
177,1458176.0,17.1875
178,1466368.0,12.1875
179,1474560.0,17.1875
180,1482752.0,15.3125
181,1490944.0,12.8125
182,1499136.0,14.375
183,1507328.0,13.75
184,1515520.0,13.75
185,1523712.0,17.5
186,1531904.0,17.8125
187,1540096.0,12.5
188,1548288.0,17.8125
189,1556480.0,10.625
190,1564672.0,17.5
191,1572864.0,16.875
192,1581056.0,18.125
193,1589248.0,10.9375
194,1597440.0,15.9375
195,1605632.0,18.75
196,1613824.0,17.1875
197,1622016.0,17.8125
198,1630208.0,17.8125
199,1638400.0,13.75
200,1646592.0,18.125
201,1654784.0,19.6875
202,1662976.0,17.1875
203,1671168.0,15.9375
204,1679360.0,19.375
205,1687552.0,16.875
206,1695744.0,17.8125
207,1703936.0,20.0
208,1712128.0,14.0625
209,1720320.0,19.6875
210,1728512.0,18.125
211,1736704.0,19.375
212,1744896.0,22.8125
213,1753088.0,20.625
214,1761280.0,21.25
215,1769472.0,22.1875
216,1777664.0,17.1875
217,1785856.0,20.625
218,1794048.0,20.3125
219,1802240.0,22.8125
220,1810432.0,24.0625
221,1818624.0,27.1875
222,1826816.0,22.5
223,1835008.0,25.3125
224,1843200.0,22.1875
225,1851392.0,25.3125
226,1859584.0,21.875
227,1867776.0,24.375
228,1875968.0,23.75
229,1884160.0,21.25
230,1892352.0,21.25
231,1900544.0,21.25
232,1908736.0,25.0
233,1916928.0,20.3125
234,1925120.0,21.5625
235,1933312.0,18.125
236,1941504.0,20.9375
237,1949696.0,26.25
238,1957888.0,19.6875
239,1966080.0,24.0625
240,1974272.0,21.5625
241,1982464.0,23.4375
242,1990656.0,27.5
243,1998848.0,22.8125
244,2007040.0,24.0625
245,2015232.0,21.5625
246,2023424.0,24.0625
247,2031616.0,29.0625
248,2039808.0,25.9375
249,2048000.0,26.875
250,2056192.0,22.8125
251,2064384.0,26.5625
252,2072576.0,29.0625
253,2080768.0,29.375
254,2088960.0,26.5625
255,2097152.0,21.25
256,2105344.0,27.1875
257,2113536.0,21.25
258,2121728.0,21.5625
259,2129920.0,25.625
260,2138112.0,21.875
261,2146304.0,29.375
262,2154496.0,23.125
263,2162688.0,23.125
264,2170880.0,21.875
265,2179072.0,18.4375
266,2187264.0,24.0625
267,2195456.0,25.625
268,2203648.0,22.1875
269,2211840.0,25.9375
270,2220032.0,20.0
271,2228224.0,19.6875
272,2236416.0,20.9375
273,2244608.0,20.625
274,2252800.0,24.6875
275,2260992.0,17.5
276,2269184.0,21.875
277,2277376.0,18.125
278,2285568.0,22.8125
279,2293760.0,17.1875
280,2301952.0,22.5
281,2310144.0,25.0
282,2318336.0,27.5
283,2326528.0,16.25
284,2334720.0,22.8125
285,2342912.0,13.125
286,2351104.0,21.5625
287,2359296.0,17.5
288,2367488.0,23.125
289,2375680.0,20.625
290,2383872.0,25.9375
291,2392064.0,19.6875
292,2400256.0,19.0625
293,2408448.0,18.75
294,2416640.0,14.0625
295,2424832.0,25.0
296,2433024.0,21.5625
297,2441216.0,25.0
298,2449408.0,20.3125
299,2457600.0,22.1875
300,2465792.0,20.625
301,2473984.0,24.0625
302,2482176.0,22.1875
303,2490368.0,21.875
304,2498560.0,19.0625
305,2506752.0,20.0
306,2514944.0,23.4375
307,2523136.0,23.75
308,2531328.0,24.6875
309,2539520.0,17.1875
